"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"26","Atlanta Falcons (ATL)","2","0","0","0","0","0","0","1","3.0","3.0","14.8%"
"27","Cincinnati Bengals (CIN)","1","0","0","1","0","0","0","1","2.0","2.0","20.4%"
"28","Cleveland Browns (CLE)","3","0","0","1","0","0","0","1","2.0","2.0","34.4%"
"29","New York Jets (NYJ)","3","0","0","0","0","0","0","1","2.0","2.0","70.6%"
"30","Las Vegas Raiders (LV)","1","0","0","0","0","0","0","1","1.0","1.0","3.3%"
"31","Carolina Panthers (CAR)","1","0","1","0","0","0","0","1","-1.0","-1.0","1.0%"
"32","Washington Commanders (WAS)","1","0","0","0","0","0","0","1","-3.0","-3.0","48.8%"
""
""
"1","Buffalo Bills (BUF)","2","3","0","0","1","0","0","1","18.0","18.0","55.2%"
"2","Arizona Cardinals (ARI)","5","0","1","1","0","0","0","1","17.0","17.0","9.7%"
"3","Houston Texans (HOU)","7","2","0","0","0","0","0","1","15.0","15.0","72.1%"
"4","Pittsburgh Steelers (PIT)","2","2","0","0","0","0","0","1","13.0","13.0","87.9%"
"5","Minnesota Vikings (MIN)","6","1","1","1","0","0","0","1","13.0","13.0","76.7%"
"6","Los Angeles Chargers (LAC)","2","1","0","0","0","0","0","1","11.0","11.0","51.5%"
"7","Kansas City Chiefs (KC)","3","0","1","2","1","0","0","1","11.0","11.0","87.9%"
"8","New York Jets (NYJ)","4","1","1","1","0","0","0","1","11.0","11.0","70.6%"
"9","Green Bay Packers (GB)","1","3","0","1","0","0","0","1","11.0","11.0","35.9%"
"10","Cleveland Browns (CLE)","4","0","0","1","0","1","0","1","10.0","10.0","34.4%"
"11","Cincinnati Bengals (CIN)","2","2","1","1","0","0","0","1","9.0","9.0","20.4%"
"12","New Orleans Saints (NO)","3","2","0","1","0","0","0","1","8.0","8.0","25.7%"
"13","Detroit Lions (DET)","5","1","0","2","0","0","0","1","8.0","8.0","75.1%"
"14","San Francisco 49ers (SF)","4","1","1","2","0","0","0","1","8.0","8.0","81.1%"
"15","Baltimore Ravens (BAL)","5","1","0","1","0","0","0","1","7.0","7.0","73.2%"
"16","Seattle Seahawks (SEA)","3","0","0","1","0","0","0","1","6.0","6.0","11.1%"
"17","Denver Broncos (DEN)","2","0","0","0","0","0","0","1","6.0","6.0","74.4%"
"18","Chicago Bears (CHI)","3","0","1","1","0","0","0","1","6.0","6.0","51.7%"
"19","Tampa Bay Buccaneers (TB)","0","2","0","0","0","0","0","1","5.0","5.0","36.1%"
"20","Carolina Panthers (CAR)","1","1","1","1","0","0","0","1","5.0","5.0","1.0%"
"21","New York Giants (NYG)","5","0","0","0","0","0","0","1","5.0","5.0","19.3%"
"22","Washington Commanders (WAS)","1","0","1","1","0","0","0","1","4.0","4.0","48.8%"
"23","Las Vegas Raiders (LV)","2","1","0","0","0","0","0","1","4.0","4.0","3.3%"
"24","New England Patriots (NE)","3","0","0","0","0","0","0","1","3.0","3.0","5.8%"
"25","Atlanta Falcons (ATL)","1","1","0","0","0","0","0","1","3.0","3.0","14.8%"
"26","Jacksonville Jaguars (JAC)","2","0","0","1","0","0","0","1","3.0","3.0","6.0%"
"27","Indianapolis Colts (IND)","0","0","1","1","0","0","0","1","3.0","3.0","8.1%"
"28","Tennessee Titans (TEN)","2","0","0","0","0","0","0","1","2.0","2.0","10.8%"
"29","Philadelphia Eagles (PHI)","1","0","0","0","0","0","0","1","1.0","1.0","64.9%"
"30","Dallas Cowboys (DAL)","1","1","0","0","0","0","0","1","1.0","1.0","24.7%"
"31","Miami Dolphins (MIA)","0","0","0","0","0","0","0","1","0.0","0.0","47.0%"
"32","Los Angeles Rams (LAR)","1","0","1","1","0","0","0","1","-1.0","-1.0","13.2%"
""
""
"1","Green Bay Packers (GB)","8","2","1","1","1","0","0","1","21.0","21.0","35.9%"
"2","New York Jets (NYJ)","7","0","1","1","0","0","0","1","16.0","16.0","70.6%"
"3","Denver Broncos (DEN)","7","1","1","1","0","0","0","1","15.0","15.0","74.4%"
"4","Minnesota Vikings (MIN)","5","2","0","0","0","0","0","1","13.0","13.0","76.7%"
"5","Seattle Seahawks (SEA)","6","0","0","2","0","0","0","1","13.0","13.0","11.1%"
"6","Buffalo Bills (BUF)","5","1","1","1","0","0","0","1","13.0","13.0","55.2%"
"7","New York Giants (NYG)","8","0","2","1","0","0","0","1","13.0","13.0","19.3%"
"8","Indianapolis Colts (IND)","4","2","1","1","0","0","0","1","11.0","11.0","8.1%"
"9","New Orleans Saints (NO)","4","1","1","2","0","0","0","1","11.0","11.0","25.7%"
"10","Pittsburgh Steelers (PIT)","5","0","0","1","0","0","0","1","9.0","9.0","87.9%"
"11","Miami Dolphins (MIA)","3","2","0","0","0","0","0","1","7.0","7.0","47.0%"
"12","Philadelphia Eagles (PHI)","1","1","0","0","0","0","0","1","7.0","7.0","64.9%"
"13","Detroit Lions (DET)","1","1","0","0","0","0","0","1","7.0","7.0","75.1%"
"14","Cleveland Browns (CLE)","2","0","2","1","0","0","0","1","6.0","6.0","34.4%"
"15","Los Angeles Chargers (LAC)","2","1","0","0","0","0","0","1","5.0","5.0","51.5%"
"16","Arizona Cardinals (ARI)","2","1","0","0","0","0","0","1","5.0","5.0","9.7%"
"17","Chicago Bears (CHI)","1","2","0","0","0","0","0","1","5.0","5.0","51.7%"
"18","Kansas City Chiefs (KC)","2","1","0","1","0","0","0","1","5.0","5.0","87.9%"
"19","Carolina Panthers (CAR)","3","1","0","0","0","0","0","1","5.0","5.0","1.0%"
"20","Baltimore Ravens (BAL)","3","0","1","1","0","0","0","1","5.0","5.0","73.2%"
"21","Houston Texans (HOU)","4","0","0","1","0","0","0","1","3.0","3.0","72.1%"
"22","San Francisco 49ers (SF)","3","0","0","0","0","0","0","1","3.0","3.0","81.1%"
"23","Los Angeles Rams (LAR)","1","0","1","2","0","0","0","1","3.0","3.0","13.2%"
"24","Tennessee Titans (TEN)","3","0","0","0","0","0","0","1","3.0","3.0","10.8%"
"25","Atlanta Falcons (ATL)","0","1","0","0","0","0","0","1","2.0","2.0","14.8%"
"26","New England Patriots (NE)","2","0","0","1","0","0","0","1","2.0","2.0","5.8%"
"27","Tampa Bay Buccaneers (TB)","0","0","1","1","0","0","0","1","2.0","2.0","36.1%"
"28","Washington Commanders (WAS)","2","0","0","0","0","0","0","1","1.0","1.0","48.8%"
"29","Dallas Cowboys (DAL)","0","0","0","0","0","0","0","1","-1.0","-1.0","24.7%"
"30","Jacksonville Jaguars (JAC)","0","0","0","0","0","0","0","1","-2.0","-2.0","6.0%"
"31","Las Vegas Raiders (LV)","2","0","0","0","0","0","0","1","-2.0","-2.0","3.3%"
"32","Cincinnati Bengals (CIN)","2","0","0","1","0","0","0","1","-2.0","-2.0","20.4%"
""
""
"1","San Francisco 49ers (SF)","6","1","2","4","1","0","0","1","22.0","22.0","81.1%"
"2","Atlanta Falcons (ATL)","1","1","1","0","2","0","0","1","17.0","17.0","14.8%"
"3","Tampa Bay Buccaneers (TB)","6","0","2","2","0","0","0","1","11.0","11.0","36.1%"
"4","Cleveland Browns (CLE)","2","0","1","1","1","0","0","1","11.0","11.0","34.4%"
"5","Denver Broncos (DEN)","5","0","1","1","0","0","0","1","11.0","11.0","74.4%"
"6","Tennessee Titans (TEN)","2","0","1","0","0","1","0","1","10.0","10.0","10.8%"
"7","Las Vegas Raiders (LV)","3","1","0","0","0","0","0","1","9.0","9.0","3.3%"
"8","Baltimore Ravens (BAL)","3","0","1","1","0","0","0","1","9.0","9.0","73.2%"
"9","Chicago Bears (CHI)","3","1","1","1","0","0","0","1","8.0","8.0","51.7%"
"10","Los Angeles Chargers (LAC)","3","1","1","1","0","0","0","1","8.0","8.0","51.5%"
"11","Minnesota Vikings (MIN)","1","3","1","1","0","0","0","1","8.0","8.0","76.7%"
"12","Indianapolis Colts (IND)","4","0","2","2","0","0","0","1","8.0","8.0","8.1%"
"13","Washington Commanders (WAS)","4","0","1","2","0","0","0","1","7.0","7.0","48.8%"
"14","Green Bay Packers (GB)","2","1","2","1","0","0","0","1","7.0","7.0","35.9%"
"15","Kansas City Chiefs (KC)","2","0","0","0","0","0","0","1","6.0","6.0","87.9%"
"16","Detroit Lions (DET)","3","1","1","1","0","0","0","1","6.0","6.0","75.1%"
"17","New York Jets (NYJ)","0","0","1","1","0","0","0","1","6.0","6.0","70.6%"
"18","New England Patriots (NE)","1","1","1","0","0","0","0","1","5.0","5.0","5.8%"
"19","Jacksonville Jaguars (JAC)","2","0","1","0","0","0","0","1","4.0","4.0","6.0%"
"20","Dallas Cowboys (DAL)","1","1","0","0","0","0","0","1","4.0","4.0","24.7%"
"21","New Orleans Saints (NO)","1","1","0","1","0","0","0","1","4.0","4.0","25.7%"
"22","Philadelphia Eagles (PHI)","2","0","0","0","0","0","0","1","3.0","3.0","64.9%"
"23","Los Angeles Rams (LAR)","3","0","0","1","0","0","0","1","3.0","3.0","13.2%"
"24","Miami Dolphins (MIA)","1","1","0","0","0","0","0","1","2.0","2.0","47.0%"
"25","Pittsburgh Steelers (PIT)","2","0","0","1","0","0","0","1","2.0","2.0","87.9%"
"26","New York Giants (NYG)","1","0","0","1","0","0","0","1","2.0","2.0","19.3%"
"27","Houston Texans (HOU)","1","0","0","0","0","0","0","1","2.0","2.0","72.1%"
"28","Cincinnati Bengals (CIN)","0","1","0","0","0","0","0","1","2.0","2.0","20.4%"
"29","Seattle Seahawks (SEA)","3","0","0","0","0","1","0","1","1.0","1.0","11.1%"
"30","Carolina Panthers (CAR)","0","1","0","0","0","0","0","1","1.0","1.0","1.0%"
"31","Buffalo Bills (BUF)","1","0","1","2","0","0","0","1","-1.0","-1.0","55.2%"
"32","Arizona Cardinals (ARI)","0","1","0","0","0","0","0","1","-2.0","-2.0","9.7%"
""
""
"1","New York Giants (NYG)","7","0","1","1","0","0","1","1","18.0","18.0","19.3%"
"2","Minnesota Vikings (MIN)","3","3","0","1","1","0","0","1","16.0","16.0","76.7%"
"3","Denver Broncos (DEN)","3","3","0","0","1","0","0","1","16.0","16.0","74.4%"
"4","Chicago Bears (CHI)","4","1","2","2","0","0","0","1","14.0","14.0","51.7%"
"5","Washington Commanders (WAS)","7","0","1","1","0","0","0","1","13.0","13.0","48.8%"
"6","Green Bay Packers (GB)","3","1","1","1","0","0","0","1","13.0","13.0","35.9%"
"7","San Francisco 49ers (SF)","1","1","0","1","0","0","1","1","11.0","11.0","81.1%"
"8","Seattle Seahawks (SEA)","3","0","1","2","1","0","0","1","11.0","11.0","11.1%"
"9","Pittsburgh Steelers (PIT)","2","2","1","2","0","0","0","1","11.0","11.0","87.9%"
"10","Los Angeles Rams (LAR)","2","1","0","1","1","0","0","1","10.0","10.0","13.2%"
"11","New England Patriots (NE)","3","1","1","0","0","0","0","1","10.0","10.0","5.8%"
"12","New York Jets (NYJ)","4","1","1","0","0","0","0","1","9.0","9.0","70.6%"
"13","Arizona Cardinals (ARI)","2","2","1","1","0","0","0","1","9.0","9.0","9.7%"
