"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"50","Javonte Williams (DEN)","8","23","2.9","9","0","0","1","2","0","0.0","0","0","1","2.3","2.3","85.3%"
"51","Chase Brown (CIN)","3","11","3.7","8","0","0","3","3","12","4.0","0","0","1","2.3","2.3","77.7%"
"52","Miles Sanders (CAR)","5","22","4.4","8","0","0","0","2","0","0","0","0","1","2.2","2.2","3.4%"
"53","Tyler Allgeier (ATL)","3","21","7.0","13","0","0","0","0","0","0","0","0","1","2.1","2.1","39.5%"
"54","Jaylen Warren (PIT)","2","7","3.5","8","0","0","2","2","13","6.5","0","0","1","2.0","2.0","62.0%"
"55","Raheem Mostert (MIA)","6","9","1.5","6","0","0","2","3","10","5.0","0","0","1","1.9","1.9","65.8%"
"56","Hunter Luepke (DAL)","0","0","0","0","0","0","2","2","18","9.0","0","0","1","1.8","1.8","0.1%"
"57","Trey Benson (ARI)","3","13","4.3","6","0","0","1","1","5","5.0","0","0","1","1.8","1.8","26.9%"
"58","Antonio Gibson (NE)","7","18","2.6","8","0","0","0","0","0","0","0","0","1","1.8","1.8","20.5%"
"59","Braelon Allen (NYJ)","1","8","8.0","8","0","0","1","1","9","9.0","0","0","1","1.7","1.7","26.4%"
"60","Dameon Pierce (HOU)","3","16","5.3","9","0","0","0","0","0","0","0","0","1","1.6","1.6","4.9%"
"61","Ronnie Rivers (LAR)","2","16","8.0","12","0","0","0","0","0","0","0","0","1","1.6","1.6","0.1%"
"62","Eric Gray (NYG)","2","6","3.0","6","0","0","1","1","9","9.0","0","0","1","1.5","1.5","1.2%"
"63","Chuba Hubbard (CAR)","6","14","2.3","7","0","0","0","0","0","0","0","0","1","1.4","1.4","90.9%"
"64","Audric Estime (DEN)","2","14","7.0","12","0","0","0","0","0","0","0","0","1","1.4","1.4","22.0%"
"65","Cordarrelle Patterson (PIT)","4","13","3.3","5","0","0","0","0","0","0","0","0","1","1.3","1.3","1.1%"
"66","Kenneth Gainwell (PHI)","1","2","2.0","2","0","0","1","1","10","10.0","0","0","1","1.2","1.2","2.7%"
"67","Jordan Mims (NO)","4","11","2.8","5","0","0","0","0","0","0","0","0","1","1.1","1.1","0.1%"
"68","Travis Homer (CHI)","2","10","5.0","6","0","0","0","0","0","0","0","0","1","1.0","1.0","0.1%"
"69","Samaje Perine (KC)","0","0","0","0","0","0","1","2","10","10.0","0","0","1","1.0","1.0","17.4%"
"70","Jaleel McLaughlin (DEN)","10","27","2.7","15","0","0","5","5","1","0.2","0","1","1","0.8","0.8","15.4%"
"71","Alec Ingold (MIA)","2","8","4.0","6","0","0","0","1","0","0","0","0","1","0.8","0.8","0.1%"
"72","Tyrone Tracy Jr. (NYG)","2","2","1.0","2","0","0","1","3","5","5.0","0","0","1","0.7","0.7","81.9%"
"73","Ty Johnson (BUF)","2","7","3.5","6","0","0","0","1","0","0","0","0","1","0.7","0.7","1.7%"
"74","Mike Boone (CAR)","4","7","1.8","5","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"75","Deuce Vaughn (DAL)","1","4","4.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","1.2%"
"76","Khalil Herbert (CIN)","2","4","2.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","14.6%"
"77","Michael Burton (DEN)","0","0","0","0","0","0","1","1","3","3.0","0","0","1","0.3","0.3","0.0%"
"78","Dare Ogunbowale (HOU)","0","0","0","0","0","0","1","1","3","3.0","0","0","1","0.3","0.3","0.9%"
"79","Carson Steele (KC)","2","3","1.5","5","0","0","0","0","0","0","0","0","1","0.3","0.3","3.0%"
"80","J.J. Taylor (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"81","Trey Sermon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","6.7%"
"82","Darrynton Evans (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","AJ Dillon (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"84","Clyde Edwards-Helaire (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.7%"
"85","Cam Akers (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.0%"
"86","D'Ernest Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"87","Joshua Kelley (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Salvon Ahmed (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","JaMycal Hasty (NE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"90","Patrick Taylor Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Trayveon Williams (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"93","Craig Reynolds (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"94","Khari Blasingame (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"95","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"97","Jonathan Ward (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Raheem Blackshear (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"99","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Keaton Mitchell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.4%"
"101","Xazavian Valladay (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Kenny McIntosh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"103","Evan Hull (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"104","Roschon Johnson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.4%"
"105","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Scott Matlock (LAC)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.2%"
"107","Brittain Brown (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"109","Troy Hairston II (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Aaron Shampklin (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Tyreik McAllister (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"112","Chris Collier (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Jacob Kibodi (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Louis Rees-Zammit (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Isaac Guerendo (SF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","5.9%"
"118","Blake Watson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Michael Wiley (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Kimani Vidal (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.4%"
"121","Jawhar Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Sione Vaki (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"123","Ian Wheeler (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Terrell Jennings (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","British Brooks (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"126","Rasheen Ali (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"127","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"128","Isaiah Davis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"129","Ellis Merriweather (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Owen Wright (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Chris Brooks (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"132","Deneric Prince (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Zavier Scott (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Robert Burns (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Dillon Johnson (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Cody Schrader (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Dylan Laube (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.2%"
"138","Jonathon Brooks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.2%"
"139","Jaylen Wright (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.0%"
"140","Jabari Small (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Tyrion Davis-Price (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Chris Rodriguez Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"143","Tyler Goodson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"144","Kendall Milton (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Will Shipley (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.9%"
"146","George Holani (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","D.J. Williams (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","Blake Corum (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","16.8%"
"149","Michael Carter (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"150","Keilan Robinson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Jase McClellan (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"152","Elijah Mitchell (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"153","Chris Evans (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Kevin Harris (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Kendre Miller (NO)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","7.4%"
"157","Tyler Badie (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"158","Hassan Haskins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Sean Tucker (TB)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.8%"
"160","Israel Abanikanda (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"161","Velus Jones Jr. (JAC)","2","11","5.5","6","0","0","1","1","8","8.0","0","1","1","0.0","0.0","0.1%"
"162","Malik Davis (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","MarShawn Lloyd (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.6%"
"164","Sincere McCormick (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Keaontay Ingram (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Kene Nwangwu (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Adam Prentice (NO)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"168","Gary Brightwell (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Avery Williams (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"170","Nick Bellore (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"171","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Kenny Irons (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Anthony Alridge (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Chad Simpson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Dantrell Savage (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Garrett Mills (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Madison Hedgecock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Jeremy McNichols (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"183","Kareem Hunt (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88.5%"
"184","D'Onta Foreman (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","5.6%"
"185","Christian McCaffrey (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.7%"
"186","Dalvin Cook (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6%"
"187","Nyheim Hines (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"188","Nick Chubb (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84.3%"
"189","Patrick Ricard (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"190","Chase Edmonds (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"191","Ameer Abdullah (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","25.9%"
"192","Brennan Clay (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Tim Flanders (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"195","Myles Gaskin (MIN)","1","-3","-3.0","0","0","0","0","0","0","0","0","0","1","-0.3","-0.3","0.0%"
"196","C.J. Ham (MIN)","0","0","0","0","0","0","2","2","11","5.5","0","1","1","-0.9","-0.9","0.1%"
""
""
"1","Alvin Kamara (NO)","20","115","5.8","15","0","3","2","3","65","32.5","1","0","1","42.0","42.0","99.2%"
"2","James Cook (BUF)","11","78","7.1","49","1","2","1","1","17","17.0","1","0","1","27.5","27.5","98.3%"
"3","De'Von Achane (MIA)","22","96","4.4","17","0","0","7","7","69","9.9","1","0","1","22.5","22.5","99.5%"
"4","J.K. Dobbins (LAC)","17","131","7.7","43","1","1","1","1","0","0.0","0","0","1","19.1","19.1","91.4%"
"5","James Conner (ARI)","21","122","5.8","22","1","1","1","1","2","2.0","0","0","1","18.4","18.4","95.8%"
"6","Braelon Allen (NYJ)","7","33","4.7","20","1","1","2","4","23","11.5","1","0","1","17.6","17.6","26.4%"
"7","Breece Hall (NYJ)","14","62","4.4","30","1","0","7","8","52","7.4","1","0","1","17.4","17.4","99.6%"
"8","Jordan Mason (SF)","20","100","5.0","22","1","1","1","1","4","4.0","0","0","1","16.4","16.4","69.5%"
"9","Derrick Henry (BAL)","18","84","4.7","29","1","1","1","1","12","12.0","0","0","1","15.6","15.6","99.7%"
"10","Rhamondre Stevenson (NE)","21","81","3.9","18","0","1","2","5","9","4.5","0","0","1","15.0","15.0","92.0%"
"11","Saquon Barkley (PHI)","22","95","4.3","11","0","0","4","5","21","5.3","0","0","1","13.6","13.6","99.8%"
"12","Brian Robinson Jr. (WAS)","17","133","7.8","40","2","0","1","3","3","3.0","0","0","1","13.6","13.6","91.2%"
"13","Jonathan Taylor (IND)","12","103","8.6","29","1","0","2","4","32","16.0","0","0","1","13.5","13.5","99.7%"
"14","Devin Singletary (NYG)","16","95","5.9","22","1","1","1","1","0","0.0","0","1","1","13.5","13.5","51.9%"
"15","Josh Jacobs (GB)","32","151","4.7","34","1","0","0","0","0","0","0","1","1","13.1","13.1","98.6%"
"16","David Montgomery (DET)","11","35","3.2","9","0","1","4","4","35","8.8","0","0","1","13.0","13.0","96.1%"
"17","Zach Charbonnet (SEA)","14","38","2.7","9","0","1","5","5","31","6.2","0","0","1","12.9","12.9","60.3%"
"18","Bijan Robinson (ATL)","14","97","6.9","19","0","0","4","5","25","6.3","0","0","1","12.2","12.2","99.8%"
"19","Travis Etienne Jr. (JAC)","13","52","4.0","20","1","1","3","4","6","2.0","0","0","1","11.8","11.8","85.6%"
"20","Kyren Williams (LAR)","12","25","2.1","9","0","1","4","5","27","6.8","0","0","1","11.2","11.2","99.6%"
"21","Isiah Pacheco (KC)","19","90","4.7","11","0","0","5","5","21","4.2","0","0","1","11.1","11.1","91.7%"
"22","Jahmyr Gibbs (DET)","13","84","6.5","24","2","0","7","7","22","3.1","0","0","1","10.6","10.6","99.8%"
"23","Antonio Gibson (NE)","11","96","8.7","45","1","0","1","1","7","7.0","0","0","1","10.3","10.3","20.5%"
"24","Tony Pollard (TEN)","17","62","3.6","15","0","0","5","6","40","8.0","0","0","1","10.2","10.2","92.1%"
"25","Austin Ekeler (WAS)","8","38","4.8","13","0","0","3","3","47","15.7","0","0","1","8.5","8.5","81.4%"
"26","Ty Chandler (MIN)","10","82","8.2","25","1","0","0","0","0","0","0","0","1","8.2","8.2","23.7%"
"27","Chuba Hubbard (CAR)","10","64","6.4","23","1","0","4","5","12","3.0","0","0","1","7.6","7.6","90.9%"
"28","Najee Harris (PIT)","17","69","4.1","11","0","0","1","2","5","5.0","0","0","1","7.4","7.4","91.8%"
"29","Khalil Herbert (CIN)","2","3","1.5","2","0","1","2","2","4","2.0","0","0","1","6.7","6.7","14.6%"
"30","Javonte Williams (DEN)","11","17","1.5","5","0","0","5","5","48","9.6","0","0","1","6.5","6.5","85.3%"
"31","Tyler Allgeier (ATL)","9","53","5.9","15","0","0","1","1","12","12.0","0","0","1","6.5","6.5","39.5%"
"32","Jerome Ford (CLE)","7","64","9.1","36","1","0","1","2","0","0.0","0","0","1","6.4","6.4","50.8%"
"33","Alexander Mattison (LV)","4","1","0.3","3","0","1","0","0","0","0","0","0","1","6.1","6.1","50.7%"
"34","Jaylen Warren (PIT)","9","42","4.7","11","0","0","2","2","19","9.5","0","0","1","6.1","6.1","62.0%"
"35","Rico Dowdle (DAL)","7","30","4.3","7","0","0","4","5","29","7.3","0","0","1","5.9","5.9","66.5%"
"36","Gus Edwards (LAC)","18","59","3.3","6","0","0","0","0","0","0","0","0","1","5.9","5.9","22.9%"
"37","D'Onta Foreman (CLE)","14","42","3.0","9","0","0","1","1","9","9.0","0","0","1","5.1","5.1","5.6%"
"38","Joe Mixon (HOU)","9","25","2.8","16","0","0","3","5","25","8.3","0","0","1","5.0","5.0","99.1%"
"39","Aaron Jones (MIN)","9","32","3.6","9","0","0","5","6","36","7.2","0","1","1","4.8","4.8","96.6%"
"40","Zack Moss (CIN)","12","34","2.8","8","0","0","1","1","13","13.0","0","0","1","4.7","4.7","54.0%"
"41","Emari Demercado (ARI)","2","46","23.0","41","1","0","0","0","0","0","0","0","1","4.6","4.6","0.9%"
"42","D'Andre Swift (CHI)","14","18","1.3","7","0","0","4","5","24","6.0","0","0","1","4.2","4.2","92.9%"
"43","Jamaal Williams (NO)","8","39","4.9","11","0","0","0","0","0","0","0","0","1","3.9","3.9","3.8%"
"44","Zamir White (LV)","9","24","2.7","8","0","0","3","4","14","4.7","0","0","1","3.8","3.8","42.3%"
"45","Ezekiel Elliott (DAL)","6","16","2.7","7","0","0","2","3","16","8.0","0","0","1","3.2","3.2","36.5%"
"46","Ty Johnson (BUF)","1","-1","-1.0","0","0","0","1","2","33","33.0","0","0","1","3.2","3.2","1.7%"
"47","Justice Hill (BAL)","4","22","5.5","14","0","0","2","2","10","5.0","0","0","1","3.2","3.2","24.5%"
"48","Tyjae Spears (TEN)","6","20","3.3","7","0","0","2","2","11","5.5","0","0","1","3.1","3.1","50.7%"
"49","Chase Brown (CIN)","4","31","7.8","12","0","0","0","0","0","0","0","0","1","3.1","3.1","77.7%"
"50","Ray Davis (BUF)","9","29","3.2","10","0","0","1","1","-1","-1.0","0","0","1","2.8","2.8","20.8%"
"51","Blake Corum (LAR)","8","28","3.5","9","0","0","0","0","0","0","0","0","1","2.8","2.8","16.8%"
