"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Trey Hendrickson (CIN)","4","0","4","1","0","1","0","0","1","37.5","37.5","28.1%"
"2","Myles Garrett (CLE)","4","1","3","0","0","0","0","0","1","26.3","26.3","46.5%"
"3","Vita Vea (TB)","7","3","2","0","0","0","0","0","1","25.8","25.8","4.1%"
"4","Travon Walker (JAC)","6","1","0","0","0","0","1","1","1","24.8","24.8","19.5%"
"5","Dante Fowler Jr. (WAS)","3","3","2","0","0","1","0","0","1","23.8","23.8","10.4%"
"6","Micheal Clemons (NYJ)","2","1","2","0","0","1","0","0","1","20.8","20.8","0.2%"
"7","Josh Sweat (PHI)","3","2","2","1","0","0","0","0","1","20.5","20.5","4.7%"
"8","Carl Lawson (DAL)","2","0","2","0","0","1","0","0","1","20.0","20.0","0.2%"
"9","Greg Rousseau (BUF)","4","3","1","0","0","0","0","0","1","19.8","19.8","18.9%"
"10","Grover Stewart (IND)","2","2","2","0","0","1","0","0","1","19.0","19.0","5.2%"
"11","Josh Hines-Allen (JAC)","4","0","2","0","0","0","0","0","1","19.0","19.0","38.4%"
"12","Tuli Tuipulotu (LAC)","3","1","2.5","0","0","0","0","0","1","17.8","17.8","5.0%"
"13","Braden Fiske (LAR)","2","2","2","0","0","0","0","0","1","17.5","17.5","3.4%"
"14","Jonathan Greenard (MIN)","2","0","2","1","0","0","0","0","1","17.5","17.5","17.3%"
"15","Denico Autry (HOU)","3","0","2","0","0","0","0","0","1","17.5","17.5","2.4%"
"16","Morgan Fox (LAC)","2","0","2","1","0","0","0","0","1","17.5","17.5","0.1%"
"17","Charles Harris (CAR)","5","1","1","0","0","0","0","0","1","17.3","17.3","2.1%"
"18","Quinnen Williams (NYJ)","3","1","1.5","0","0","0","0","0","1","16.3","16.3","15.0%"
"19","Calijah Kancey (TB)","2","0","2","0","0","0","0","0","1","16.0","16.0","2.0%"
"20","Arden Key (TEN)","2","0","1","0","0","1","0","0","1","16.0","16.0","3.2%"
"21","Jeffery Simmons (TEN)","2","3","1","0","0","0","1","0","1","15.8","15.8","18.7%"
"22","Jared Verse (LAR)","3","1","1","1","0","0","0","0","1","15.8","15.8","20.4%"
"23","Tavius Robinson (BAL)","2","1","2","1","0","0","0","0","1","15.8","15.8","0.1%"
"24","Dalvin Tomlinson (CLE)","2","1","1.5","0","0","0","0","0","1","14.8","14.8","0.2%"
"25","DeForest Buckner (IND)","4","2","1","0","0","0","0","0","1","14.0","14.0","25.5%"
"26","George Karlaftis III (KC)","3","1","1","1","0","0","0","0","1","13.3","13.3","9.2%"
"27","Byron Young (LAR)","3","3","1","0","0","0","0","0","1","13.3","13.3","15.8%"
"28","Kobie Turner (LAR)","3","3","1","0","0","0","0","0","1","13.3","13.3","14.5%"
"29","Arnold Ebiketie (ATL)","3","2","1","0","0","0","0","0","1","12.5","12.5","5.5%"
"30","Xavier Thomas (ARI)","2","1","1.5","0","0","0","0","0","1","12.3","12.3","0.0%"
"31","Kris Jenkins Jr. (CIN)","2","3","1","0","0","0","0","0","1","11.8","11.8","0.9%"
"32","John Franklin-Myers (DEN)","2","2","1","0","0","0","0","0","1","11.0","11.0","0.5%"
"33","Yaya Diaby (TB)","3","2","0","0","0","0","0","0","1","11.0","11.0","2.7%"
"34","Deatrich Wise Jr. (NE)","2","1","1","0","0","0","0","0","1","10.3","10.3","0.7%"
"35","Carl Granderson (NO)","3","1","0.5","0","0","0","0","0","1","9.8","9.8","12.4%"
"36","Grady Jarrett (ATL)","2","0","1","0","0","0","0","0","1","9.5","9.5","2.2%"
"37","Jihad Ward (MIN)","2","0","1","0","0","0","0","0","1","9.5","9.5","0.0%"
"38","Malcolm Roach (DEN)","4","1","0","0","0","0","0","0","1","9.3","9.3","0.1%"
"39","Calais Campbell (MIA)","6","0","0","0","0","0","0","0","1","9.0","9.0","6.4%"
"40","Kwity Paye (IND)","1","1","1","0","0","0","0","0","1","8.8","8.8","3.2%"
"41","Broderick Washington Jr. (BAL)","3","3","0","1","0","0","0","0","1","8.3","8.3","0.1%"
"42","Solomon Thomas (NYJ)","1","0","1","0","0","0","0","0","1","8.0","8.0","0.1%"
"43","Chop Robinson (MIA)","1","0","1","0","0","0","0","0","1","8.0","8.0","2.8%"
"44","Chris Williams (CHI)","1","0","1","0","0","0","0","0","1","8.0","8.0","0.0%"
"45","Jordan Jefferson (JAC)","1","0","1","0","0","0","0","0","1","8.0","8.0","0.0%"
"46","Jeremiah Ledbetter (JAC)","2","3","0","0","0","0","0","0","1","7.8","7.8","0.1%"
"47","Da'Shawn Hand (MIA)","2","1","0","1","0","0","0","0","1","7.8","7.8","0.2%"
"48","Nik Bonitto (DEN)","3","1","0","0","0","0","0","0","1","7.8","7.8","3.7%"
"49","Leonard Williams (SEA)","2","3","0","0","0","0","0","0","1","7.8","7.8","6.2%"
"50","Nick Thurman (FA)","1","5","0","0","0","0","0","0","1","7.8","7.8","0.0%"
"51","A'Shawn Robinson (CAR)","4","2","0","0","0","0","0","0","1","7.5","7.5","6.7%"
"52","Daniel Ekuale (NE)","3","4","0","0","0","0","0","0","1","7.5","7.5","1.0%"
"53","Christian Elliss (NE)","4","2","0","0","0","0","0","0","1","7.5","7.5","2.1%"
"54","Kingsley Enagbare (GB)","2","2","0","0","0","0","0","0","1","7.0","7.0","0.1%"
"55","Maxx Crosby (LV)","1","2","0","1","0","0","0","0","1","7.0","7.0","60.7%"
"56","Brian Burns (NYG)","2","3","0","1","0","0","0","0","1","6.8","6.8","27.9%"
"57","Felix Anudike-Uzomah (KC)","2","2","0.5","0","0","0","0","0","1","6.5","6.5","0.2%"
"58","Davon Godchaux (NE)","1","3","0","0","0","0","0","0","1","6.3","6.3","1.7%"
"59","Isaiah McGuire (CLE)","2","1","0","0","0","0","0","0","1","6.3","6.3","0.1%"
"60","Harrison Phillips (MIN)","3","2","0","0","0","0","0","0","1","6.0","6.0","3.6%"
"61","Nathan Shepherd (NO)","1","3","0.5","0","0","0","0","0","1","5.8","5.8","0.2%"
"62","Dante Stills (ARI)","1","3","0.5","0","0","0","0","0","1","5.8","5.8","1.3%"
"63","Leonard Taylor III (NYJ)","2","0","0","0","0","0","0","0","1","5.5","5.5","0.1%"
"64","DeAngelo Malone (ATL)","2","0","0","0","0","0","0","0","1","5.5","5.5","0.0%"
"65","Roy Robertson-Harris (SEA)","1","2","0","0","0","0","0","0","1","5.5","5.5","0.1%"
"66","Boye Mafe (SEA)","1","2","0","0","0","0","0","0","1","5.5","5.5","9.6%"
"67","Tim Settle Jr. (HOU)","2","0","0","0","0","0","0","0","1","5.5","5.5","0.6%"
"68","Payton Turner (NO)","2","0","0","0","0","0","0","0","1","5.5","5.5","0.1%"
"69","Tyler Lacy (JAC)","2","3","0","0","0","0","0","0","1","5.3","5.3","0.0%"
"70","Levi Onwuzurike (ARI)","3","1","0","0","0","0","0","0","1","5.3","5.3","0.5%"
"71","Chauncey Golston (DAL)","2","3","0","0","0","0","0","0","1","5.3","5.3","9.0%"
