"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Nico Collins (HOU)","12","15","151","12.6","26","2","1","0","0","0","0","1","21.1","21.1","99.0%"
"2","Jayden Reed (GB)","7","8","139","19.9","42","3","1","1","2","0","0","1","20.1","20.1","92.9%"
"3","Jordan Addison (MIN)","3","4","72","24.0","29","2","1","1","7","1","0","1","19.9","19.9","77.1%"
"4","Dontayvion Wicks (GB)","5","13","78","15.6","36","1","2","0","0","0","0","1","19.8","19.8","16.7%"
"5","CeeDee Lamb (DAL)","7","8","98","14.0","55","1","1","3","8","0","0","1","16.6","16.6","99.8%"
"6","Brian Thomas Jr. (JAC)","6","9","86","14.3","32","1","1","1","13","0","0","1","15.9","15.9","88.2%"
"7","Mike Evans (TB)","8","14","94","11.8","21","1","1","0","0","0","0","1","15.4","15.4","97.5%"
"8","Amon-Ra St. Brown (DET)","6","6","45","7.5","17","0","1","0","0","0","0","1","14.8","14.8","99.8%"
"9","Justin Jefferson (MIN)","6","8","85","14.2","27","1","1","0","0","0","0","1","14.5","14.5","99.8%"
"10","Ja'Marr Chase (CIN)","3","6","85","28.3","63","1","1","0","0","0","0","1","14.5","14.5","99.8%"
"11","Diontae Johnson (BAL)","7","13","83","11.9","39","2","1","0","0","0","0","1","14.3","14.3","72.8%"
"12","Josh Downs (IND)","8","9","82","10.3","25","1","1","0","0","0","0","1","14.2","14.2","63.4%"
"13","Jameson Williams (DET)","2","2","80","40.0","70","1","1","0","0","0","0","1","14.0","14.0","82.6%"
"14","Xavier Legette (CAR)","6","10","66","11.0","17","0","1","2","10","0","0","1","13.6","13.6","39.8%"
"15","Stefon Diggs (HOU)","5","9","69","13.8","28","2","0","1","6","1","0","1","13.5","13.5","43.5%"
"16","Xavier Worthy (KC)","3","4","73","24.3","54","1","1","0","0","0","0","1","13.3","13.3","81.4%"
"17","Ladd McConkey (LAC)","5","7","67","13.4","37","1","1","0","0","0","0","1","12.7","12.7","84.7%"
"18","Christian Kirk (JAC)","7","12","61","8.7","20","1","1","0","0","0","0","1","12.1","12.1","48.4%"
"19","Courtland Sutton (DEN)","3","9","60","20.0","29","2","1","0","0","0","0","1","12.0","12.0","85.9%"
"20","Michael Pittman Jr. (IND)","6","9","113","18.8","32","3","0","0","0","0","0","1","11.3","11.3","85.7%"
"21","Terry McLaurin (WAS)","7","10","52","7.4","15","0","1","0","0","0","0","1","11.2","11.2","94.1%"
"22","Malik Nabers (NYG)","12","15","115","9.6","39","1","0","1","-4","0","0","1","11.1","11.1","98.5%"
"23","Marvin Harrison Jr. (ARI)","5","6","45","9.0","19","0","1","0","0","0","0","1","10.5","10.5","97.9%"
"24","Tre Tucker (LV)","5","6","41","8.2","14","0","0","1","3","1","0","1","10.4","10.4","6.7%"
"25","George Pickens (PIT)","7","11","113","16.1","38","2","0","0","0","0","1","1","9.3","9.3","95.0%"
"26","Jauan Jennings (SF)","3","6","88","29.3","45","2","0","0","0","0","0","1","8.8","8.8","72.3%"
"27","Chris Olave (NO)","8","10","87","10.9","18","0","0","0","0","0","0","1","8.7","8.7","87.6%"
"28","Trey Palmer (TB)","3","3","26","8.7","15","0","1","0","0","0","0","1","8.6","8.6","1.7%"
"29","Olamide Zaccheaus (WAS)","6","6","85","14.2","27","1","0","0","0","0","0","1","8.5","8.5","0.6%"
"30","DK Metcalf (SEA)","7","12","104","14.9","29","3","0","0","0","0","1","1","8.4","8.4","97.7%"
"31","DJ Moore (CHI)","3","6","22","7.3","9","0","1","0","0","0","0","1","8.2","8.2","94.0%"
"32","Tutu Atwell (LAR)","4","6","82","20.5","25","2","0","0","0","0","0","1","8.2","8.2","4.6%"
"33","DJ Turner (LV)","0","1","0","0","0","0","0","1","18","1","0","1","7.8","7.8","0.6%"
"34","Parris Campbell (PHI)","4","4","17","4.3","7","0","1","0","0","0","0","1","7.7","7.7","0.0%"
"35","Rashid Shaheed (NO)","8","11","83","10.4","25","1","0","2","14","0","1","1","7.7","7.7","24.6%"
"36","Jerry Jeudy (CLE)","6","9","72","12.0","19","0","0","0","0","0","0","1","7.2","7.2","58.7%"
"37","Deebo Samuel Sr. (SF)","3","5","58","19.3","53","1","0","2","14","0","0","1","7.2","7.2","98.2%"
"38","Wan'Dale Robinson (NYG)","11","14","71","6.5","11","0","0","0","0","0","0","1","7.1","7.1","49.8%"
"39","Chris Godwin (TB)","6","9","69","11.5","28","1","0","0","0","0","0","1","6.9","6.9","41.7%"
"40","Mike Williams (PIT)","4","5","67","16.8","22","3","0","0","0","0","0","1","6.7","6.7","20.7%"
"41","Drake London (ATL)","6","12","64","10.7","16","0","0","0","0","0","0","1","6.4","6.4","99.0%"
"42","Jordan Whittington (LAR)","6","8","62","10.3","16","0","0","0","0","0","0","1","6.2","6.2","2.9%"
"43","Khalil Shakir (BUF)","4","5","62","15.5","52","1","0","0","0","0","0","1","6.2","6.2","77.7%"
"44","Tyler Lockett (SEA)","5","9","61","12.2","29","1","0","0","0","0","0","1","6.1","6.1","63.2%"
"45","KhaDarel Hodge (ATL)","0","0","0","0","0","0","0","0","0","0","0","1","6.0","6.0","0.1%"
"46","Tee Higgins (CIN)","6","10","60","10.0","12","0","0","0","0","0","0","1","6.0","6.0","93.6%"
"47","Allen Lazard (NYJ)","5","8","58","11.6","25","1","0","0","0","0","0","1","5.8","5.8","19.3%"
"48","Darnell Mooney (ATL)","3","6","56","18.7","36","2","0","0","0","0","0","1","5.6","5.6","75.9%"
"49","Darius Slayton (NYG)","3","5","56","18.7","28","1","0","0","0","0","0","1","5.6","5.6","13.9%"
"50","Tim Patrick (DET)","2","2","52","26.0","29","2","0","0","0","0","0","1","5.2","5.2","0.8%"
"51","Ray-Ray McCloud III (ATL)","6","7","52","8.7","15","0","0","0","0","0","0","1","5.2","5.2","16.1%"
"52","Sterling Shepard (TB)","3","5","51","17.0","30","1","0","0","0","0","0","1","5.1","5.1","8.2%"
"53","Jaxon Smith-Njigba (SEA)","8","12","51","6.4","11","0","0","0","0","0","0","1","5.1","5.1","87.3%"
"54","Keon Coleman (BUF)","3","4","51","17.0","24","2","0","0","0","0","0","1","5.1","5.1","54.8%"
"55","Jakobi Meyers (LV)","5","10","49","9.8","19","0","0","0","0","0","0","1","4.9","4.9","64.9%"
"56","Brandon Aiyuk (SF)","2","5","48","24.0","38","1","0","0","0","0","0","1","4.8","4.8","56.7%"
"57","Tyreek Hill (MIA)","4","7","23","5.8","17","0","0","3","19","0","0","1","4.2","4.2","99.6%"
"58","Romeo Doubs (GB)","4","8","39","9.8","20","1","0","0","0","0","0","1","3.9","3.9","54.7%"
"59","Greg Dortch (ARI)","4","4","38","9.5","12","0","0","0","0","0","0","1","3.8","3.8","6.5%"
"60","Demarcus Robinson (LAR)","2","3","37","18.5","19","0","0","0","0","0","0","1","3.7","3.7","35.1%"
"61","Joshua Palmer (LAC)","3","4","36","12.0","26","1","0","0","0","0","0","1","3.6","3.6","15.6%"
"62","Jaylen Waddle (MIA)","4","6","36","9.0","18","0","0","0","0","0","0","1","3.6","3.6","87.8%"
"63","Amari Cooper (BUF)","4","8","35","8.8","13","0","0","0","0","0","0","1","3.5","3.5","89.5%"
"64","Tyler Boyd (TEN)","2","2","31","15.5","27","1","0","0","0","0","0","1","3.1","3.1","3.2%"
"65","DeAndre Hopkins (KC)","2","4","31","15.5","16","0","0","0","0","0","0","1","3.1","3.1","89.4%"
"66","Ja'Lynn Polk (NE)","3","7","30","10.0","21","1","0","0","0","0","0","1","3.0","3.0","6.2%"
"67","Jake Bobo (SEA)","3","3","30","10.0","11","0","0","0","0","0","0","1","3.0","3.0","0.2%"
"68","Andrei Iosivas (CIN)","1","1","29","29.0","29","1","0","0","0","0","0","1","2.9","2.9","4.0%"
"69","Bo Melton (GB)","1","3","28","28.0","28","1","0","0","0","0","0","1","2.8","2.8","0.6%"
"70","Justin Watson (KC)","2","3","27","13.5","17","0","0","0","0","0","0","1","2.7","2.7","0.7%"
"71","Noah Brown (WAS)","3","4","26","8.7","14","0","0","0","0","0","0","1","2.6","2.6","8.4%"
"72","Jonathan Mingo (DAL)","3","5","24","8.0","11","0","0","0","0","0","0","1","2.4","2.4","1.3%"
"73","Jalen Tolbert (DAL)","3","3","24","8.0","15","0","0","0","0","0","0","1","2.4","2.4","16.0%"
