"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Marvin Harrison Jr. (ARI)","4","8","130","32.5","60","3","2","0","0","0","0","1","25.0","25.0","97.9%"
"2","Calvin Ridley (TEN)","4","6","77","19.3","40","1","1","1","10","1","0","1","20.7","20.7","84.9%"
"3","Nico Collins (HOU)","8","10","135","16.9","28","2","1","0","0","0","0","1","19.5","19.5","99.0%"
"4","Justin Jefferson (MIN)","4","7","133","33.3","97","1","1","0","0","0","0","1","19.3","19.3","99.8%"
"5","DK Metcalf (SEA)","10","14","129","12.9","56","1","1","0","0","0","0","1","18.9","18.9","97.7%"
"6","Malik Nabers (NYG)","10","18","127","12.7","28","3","1","0","0","0","0","1","18.7","18.7","98.5%"
"7","Chris Godwin (TB)","7","8","117","16.7","41","1","1","0","0","0","0","1","17.7","17.7","41.7%"
"8","Quentin Johnston (LAC)","5","6","51","10.2","29","1","2","0","0","0","0","1","17.1","17.1","56.2%"
"9","Davante Adams (NYJ)","9","12","110","12.2","30","3","1","0","0","0","0","1","17.0","17.0","98.8%"
"10","Rashid Shaheed (NO)","4","4","96","24.0","70","1","1","3","13","0","0","1","16.9","16.9","24.6%"
"11","Zay Flowers (BAL)","7","11","91","13.0","21","1","1","0","0","0","0","1","15.1","15.1","96.5%"
"12","CeeDee Lamb (DAL)","4","7","90","22.5","65","1","1","0","0","0","0","1","15.0","15.0","99.8%"
"13","Darnell Mooney (ATL)","3","7","88","29.3","41","3","1","0","0","0","0","1","14.8","14.8","75.9%"
"14","DeVonta Smith (PHI)","7","10","76","10.9","19","0","1","0","0","0","0","1","13.6","13.6","95.6%"
"15","Rashee Rice (KC)","5","6","75","15.0","44","1","1","0","0","0","0","1","13.5","13.5","34.9%"
"16","Andrei Iosivas (CIN)","2","4","7","3.5","4","0","2","0","0","0","0","1","12.7","12.7","4.0%"
"17","Amon-Ra St. Brown (DET)","11","18","119","10.8","20","1","0","0","0","0","0","1","11.9","11.9","99.8%"
"18","Jaxon Smith-Njigba (SEA)","12","16","117","9.8","24","1","0","0","0","0","0","1","11.7","11.7","87.3%"
"19","Alec Pierce (IND)","5","7","56","11.2","18","0","1","0","0","0","0","1","11.6","11.6","23.7%"
"20","Drake London (ATL)","6","7","54","9.0","19","0","1","0","0","0","0","1","11.4","11.4","99.0%"
"21","Jalen Nailor (MIN)","3","4","54","18.0","26","1","1","0","0","0","0","1","11.4","11.4","9.4%"
"22","Deebo Samuel Sr. (SF)","8","10","110","13.8","28","2","0","2","-10","0","0","1","10.0","10.0","98.2%"
"23","Jameson Williams (DET)","5","11","79","15.8","50","1","0","1","15","0","0","1","9.4","9.4","82.6%"
"24","Brian Thomas Jr. (JAC)","2","4","94","47.0","66","2","0","0","0","0","0","1","9.4","9.4","88.2%"
"25","Josh Reynolds (DEN)","4","5","93","23.3","49","2","0","0","0","0","0","1","9.3","9.3","3.3%"
"26","Chris Olave (NO)","4","6","81","20.3","39","1","0","1","7","0","0","1","8.8","8.8","87.6%"
"27","Dontayvion Wicks (GB)","3","4","26","8.7","14","0","1","0","0","0","0","1","8.6","8.6","16.7%"
"28","Jalen Tolbert (DAL)","6","9","82","13.7","39","1","0","0","0","0","0","1","8.2","8.2","16.0%"
"29","Wan'Dale Robinson (NYG)","2","4","18","9.0","11","0","1","0","0","0","0","1","7.8","7.8","49.8%"
"30","Jerry Jeudy (CLE)","5","6","73","14.6","30","2","0","0","0","0","0","1","7.3","7.3","58.7%"
"31","Ja'Lynn Polk (NE)","2","3","12","6.0","7","0","1","1","0","0","0","1","7.2","7.2","6.2%"
"32","Garrett Wilson (NYJ)","4","6","57","14.3","26","1","0","1","5","0","0","1","6.2","6.2","99.4%"
"33","Romeo Doubs (GB)","3","3","62","20.7","39","1","0","0","0","0","0","1","6.2","6.2","54.7%"
"34","Noah Brown (WAS)","3","3","56","18.7","34","1","0","0","0","0","0","1","5.6","5.6","8.4%"
"35","Khalil Shakir (BUF)","5","5","54","10.8","21","1","0","1","2","0","0","1","5.6","5.6","77.7%"
"36","DJ Moore (CHI)","6","10","53","8.8","19","0","0","0","0","0","0","1","5.3","5.3","94.0%"
"37","Lil'Jordan Humphrey (DEN)","4","5","50","12.5","27","1","0","0","0","0","0","1","5.0","5.0","1.1%"
"38","Demarcus Robinson (LAR)","2","4","50","25.0","42","1","0","0","0","0","0","1","5.0","5.0","35.1%"
"39","Tutu Atwell (LAR)","3","4","48","16.0","21","1","0","0","0","0","0","1","4.8","4.8","4.6%"
"40","Jermaine Burton (CIN)","1","2","47","47.0","47","1","0","0","0","0","0","1","4.7","4.7","2.1%"
"41","Jayden Reed (GB)","2","2","9","4.5","9","0","0","2","37","0","0","1","4.6","4.6","92.9%"
"42","Jaylen Waddle (MIA)","4","4","41","10.3","21","1","0","1","4","0","0","1","4.5","4.5","87.8%"
"43","Ray-Ray McCloud III (ATL)","3","5","42","14.0","18","0","0","1","3","0","0","1","4.5","4.5","16.1%"
"44","Elijah Moore (CLE)","6","8","44","7.3","22","1","0","0","0","0","0","1","4.4","4.4","15.4%"
"45","Brandon Aiyuk (SF)","4","5","43","10.8","22","1","0","0","0","0","0","1","4.3","4.3","56.7%"
"46","Gabe Davis (JAC)","3","7","43","14.3","22","1","0","0","0","0","0","1","4.3","4.3","26.2%"
"47","Mike Evans (TB)","3","6","42","14.0","16","0","0","0","0","0","0","1","4.2","4.2","97.5%"
"48","Rashod Bateman (BAL)","3","4","40","13.3","18","0","0","0","0","0","0","1","4.0","4.0","31.0%"
"49","Jauan Jennings (SF)","2","4","37","18.5","25","1","0","0","0","0","0","1","3.7","3.7","72.3%"
