"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Sean Tucker (TB)","14","136","9.7","36","1","1","3","3","56","18.7","1","0","1","31.2","31.2","2.8%"
"2","Derrick Henry (BAL)","24","132","5.5","27","1","2","0","0","0","0","0","0","1","25.2","25.2","99.7%"
"3","Joe Mixon (HOU)","13","102","7.8","59","2","1","2","3","30","15.0","1","0","1","25.2","25.2","99.1%"
"4","Bijan Robinson (ATL)","15","95","6.3","17","0","2","3","4","10","3.3","0","0","1","22.5","22.5","99.8%"
"5","David Montgomery (DET)","12","80","6.7","19","0","2","1","1","0","0.0","0","0","1","20.0","20.0","96.1%"
"6","Tyler Allgeier (ATL)","18","105","5.8","20","1","1","1","1","3","3.0","0","0","1","18.8","18.8","39.5%"
"7","Najee Harris (PIT)","14","106","7.6","36","2","1","2","2","16","8.0","0","0","1","18.2","18.2","91.8%"
"8","D'Andre Swift (CHI)","17","91","5.4","19","0","1","4","4","28","7.0","0","0","1","17.9","17.9","92.9%"
"9","Breece Hall (NYJ)","18","113","6.3","42","2","0","5","6","56","11.2","0","0","1","16.9","16.9","99.6%"
"10","Tyrone Tracy Jr. (NYG)","17","50","2.9","11","0","1","6","6","57","9.5","0","0","1","16.7","16.7","81.9%"
"11","Bucky Irving (TB)","14","81","5.8","31","1","1","2","2","24","12.0","0","0","1","16.5","16.5","76.2%"
"12","J.K. Dobbins (LAC)","25","96","3.8","20","1","1","2","2","6","3.0","0","0","1","16.2","16.2","91.4%"
"13","Ray Davis (BUF)","20","97","4.9","15","0","0","3","3","55","18.3","0","0","1","15.2","15.2","20.8%"
"14","Tony Pollard (TEN)","17","93","5.5","23","1","1","3","3","-5","-1.7","0","0","1","14.8","14.8","92.1%"
"15","Dameon Pierce (HOU)","8","76","9.5","54","1","1","1","1","1","1.0","0","0","1","13.7","13.7","4.9%"
"16","Kenneth Walker III (SEA)","14","32","2.3","8","0","1","8","8","37","4.6","0","0","1","12.9","12.9","97.2%"
"17","Alexander Mattison (LV)","14","33","2.4","9","0","1","5","5","32","6.4","0","0","1","12.5","12.5","50.7%"
"18","Alvin Kamara (NO)","13","40","3.1","7","0","1","5","8","24","4.8","0","0","1","12.4","12.4","99.2%"
"19","Chase Brown (CIN)","10","53","5.3","30","1","1","2","3","11","5.5","0","0","1","12.4","12.4","77.7%"
