"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Fields (PIT)","22","34","64.7","312","9.2","1","0","4","10","55","2","1","1","32.0","32.0","11.1%"
"2","Jordan Love (GB)","32","54","59.3","389","7.2","4","3","1","1","6","0","0","1","31.2","31.2","88.1%"
"3","Baker Mayfield (TB)","30","47","63.8","347","7.4","2","0","2","4","10","1","0","1","28.9","28.9","84.1%"
"4","Jared Goff (DET)","18","18","100.0","292","16.2","2","0","3","2","-2","0","0","1","26.2","26.2","79.5%"
"5","Jayden Daniels (WAS)","26","30","86.7","233","7.8","1","1","0","8","47","1","0","1","25.0","25.0","98.1%"
"6","Lamar Jackson (BAL)","13","18","72.2","156","8.7","2","0","1","6","54","1","1","1","23.6","23.6","99.8%"
"7","C.J. Stroud (HOU)","27","40","67.5","345","8.6","2","0","2","3","17","0","0","1","23.5","23.5","93.6%"
"8","Geno Smith (SEA)","38","56","67.9","395","7.1","1","1","3","5","38","0","0","1","22.6","22.6","59.2%"
"9","Sam Darnold (MIN)","20","28","71.4","275","9.8","3","1","2","7","15","0","1","1","21.5","21.5","66.1%"
"10","Joe Burrow (CIN)","22","31","71.0","232","7.5","2","1","0","1","10","0","0","1","17.3","17.3","97.3%"
"11","Dak Prescott (DAL)","22","27","81.5","221","8.2","2","0","1","2","-1","0","0","1","16.7","16.7","61.0%"
"12","Andy Dalton (CAR)","25","40","62.5","220","5.5","2","1","0","3","9","0","0","1","16.7","16.7","2.1%"
"13","Jalen Hurts (PHI)","18","30","60.0","158","5.3","1","0","6","8","20","1","1","1","16.3","16.3","99.7%"
"14","Brock Purdy (SF)","15","27","55.6","288","10.7","1","1","1","5","11","0","0","1","15.6","15.6","91.5%"
"15","Joe Flacco (IND)","16","26","61.5","168","6.5","2","0","2","2","3","0","0","1","15.0","15.0","6.4%"
"16","Trevor Lawrence (JAC)","18","33","54.5","169","5.1","2","0","1","3","5","0","0","1","14.8","14.8","32.3%"
"17","Patrick Mahomes II (KC)","19","29","65.5","245","8.4","1","1","3","5","12","0","0","1","14.0","14.0","97.8%"
"18","Deshaun Watson (CLE)","24","32","75.0","176","5.5","1","1","3","8","32","0","0","1","13.2","13.2","7.6%"
"19","Tyler Huntley (MIA)","14","22","63.6","96","4.4","0","0","2","8","40","1","1","1","11.8","11.8","1.1%"
"20","Aaron Rodgers (NYJ)","24","42","57.1","225","5.4","0","0","5","5","26","0","0","1","11.6","11.6","45.1%"
"21","Caleb Williams (CHI)","17","23","73.9","157","6.8","1","0","3","5","12","0","0","1","11.5","11.5","51.0%"
"22","Justin Herbert (LAC)","16","27","59.3","179","6.6","1","0","2","3","0","0","0","1","11.2","11.2","64.8%"
"23","Daniel Jones (FA)","29","40","72.5","281","7.0","0","1","1","4","3","0","0","1","10.5","10.5","14.1%"
"24","Kyler Murray (ARI)","16","22","72.7","142","6.5","1","0","4","1","3","0","0","1","10.0","10.0","94.5%"
"25","Derek Carr (NO)","28","36","77.8","239","6.6","0","1","1","3","5","0","0","1","9.1","9.1","27.5%"
"26","Kirk Cousins (ATL)","21","35","60.0","238","6.8","0","1","1","0","0","0","0","1","8.5","8.5","63.9%"
"27","Jacoby Brissett (NE)","19","32","59.4","168","5.3","1","1","6","2","3","0","1","1","8.0","8.0","2.4%"
"28","Josh Allen (BUF)","16","29","55.2","180","6.2","0","0","3","5","21","0","1","1","7.3","7.3","99.7%"
"29","Bo Nix (DEN)","12","25","48.0","60","2.4","1","0","0","5","3","0","0","1","6.7","6.7","64.4%"
"30","Matthew Stafford (LAR)","20","29","69.0","224","7.7","0","1","3","1","-1","0","1","1","5.9","5.9","51.3%"
"31","Anthony Richardson (IND)","3","4","75.0","71","17.8","0","0","0","3","24","0","0","1","5.2","5.2","62.6%"
"32","Gardner Minshew II (LV)","14","24","58.3","130","5.4","0","0","2","2","-2","0","0","1","5.0","5.0","5.3%"
"33","Mason Rudolph (TEN)","9","17","52.9","85","5.0","0","0","1","0","0","0","0","1","3.4","3.4","0.7%"
"34","Will Levis (TEN)","3","4","75.0","25","6.3","0","1","0","2","5","0","0","1","0.5","0.5","9.4%"
