"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Cody Barton (DEN)","6","2","1","1","0","1","1","1","1","30.0","30.0","8.1%"
"2","Andrew Van Ginkel (MIN)","6","1","2","0","0","1","0","0","1","29.3","29.3","46.8%"
"3","Eric Wilson (GB)","5","0","2","1","0","0","0","0","1","27.0","27.0","0.8%"
"4","Nakobe Dean (PHI)","6","5","2","0","0","0","0","0","1","25.8","25.8","17.1%"
"5","Roquan Smith (BAL)","11","7","0","0","0","1","0","0","1","25.8","25.8","92.0%"
"6","Grant Stuard (IND)","11","7","0","0","0","0","0","0","1","24.3","24.3","0.8%"
"7","Ivan Pace Jr. (MIN)","3","7","1","0","0","0","1","1","1","23.8","23.8","32.9%"
"8","Zaire Franklin (IND)","5","11","0","0","0","1","0","0","1","19.8","19.8","91.1%"
"9","Terrel Bernard (BUF)","6","2","0","0","0","0","1","0","1","19.5","19.5","33.7%"
"10","Neville Hewitt (HOU)","6","3","0","2","1","0","0","0","1","19.3","19.3","0.9%"
"11","Devin Lloyd (JAC)","5","6","1","0","0","0","0","0","1","18.5","18.5","18.1%"
"12","Germaine Pratt (CIN)","10","3","0","0","0","0","0","0","1","17.3","17.3","37.6%"
"13","Malcolm Rodriguez (DET)","5","2","1","0","0","0","0","0","1","15.5","15.5","7.2%"
"14","Dorian Williams (BUF)","6","4","0","0","0","0","0","0","1","14.5","14.5","21.5%"
"15","Justin Strnad (DEN)","6","2","1","0","0","0","0","0","1","14.5","14.5","1.9%"
"16","Leo Chenal (KC)","4","0","0","1","0","1","0","0","1","14.0","14.0","2.7%"
"17","Jaylon Carlies (IND)","5","0","1","0","0","0","0","0","1","14.0","14.0","0.2%"
"18","Alex Anzalone (DET)","7","1","0","0","0","0","0","0","1","13.8","13.8","24.7%"
"19","Frankie Luvu (WAS)","2","2","1","0","0","0","0","0","1","13.5","13.5","23.1%"
"20","Jack Campbell (DET)","5","2","1","0","0","0","0","0","1","13.0","13.0","20.3%"
"21","Jordyn Brooks (MIA)","5","2","0","1","0","0","0","0","1","13.0","13.0","34.9%"
"22","Anfernee Jennings (NE)","6","1","0","0","0","0","0","0","1","12.3","12.3","23.9%"
"23","Nick Bolton (KC)","5","1","0","1","0","0","0","0","1","12.3","12.3","36.1%"
"24","Trenton Simpson (BAL)","5","3","0","0","0","0","0","0","1","12.3","12.3","8.2%"
"25","Logan Wilson (CIN)","6","4","0","0","0","0","0","0","1","12.0","12.0","45.0%"
"26","Rashan Gary (GB)","1","4","1","0","0","0","0","0","1","11.0","11.0","5.2%"
"27","Tomon Fox (FA)","3","0","1","0","0","0","0","0","1","11.0","11.0","0.0%"
"28","Segun Olubi (IND)","1","2","0","0","0","1","1","0","1","11.0","11.0","0.1%"
"29","Trevor Nowaske (DET)","3","0","1","0","0","0","0","0","1","11.0","11.0","0.1%"
"30","Leonard Floyd (SF)","1","4","1","0","0","0","0","0","1","11.0","11.0","5.7%"
"31","Jake Hansen (HOU)","4","3","0","0","0","0","0","0","1","10.8","10.8","0.1%"
"32","Troy Reeder (LAR)","5","4","0","0","0","0","0","0","1","10.5","10.5","2.0%"
"33","Fred Warner (SF)","6","2","0","0","0","0","0","0","1","10.5","10.5","92.7%"
"34","Ventrell Miller (JAC)","5","4","0","0","0","0","0","0","1","10.5","10.5","4.3%"
"35","Willie Gay Jr. (NO)","1","1","0","0","0","1","1","0","1","10.3","10.3","1.7%"
"36","Payton Wilson (PIT)","4","5","0","0","0","0","0","0","1","9.8","9.8","2.9%"
"37","Kaden Elliss (ATL)","3","7","0","0","0","0","0","0","1","9.8","9.8","43.9%"
"38","Kyzir White (ARI)","3","7","0","0","0","0","0","0","1","9.8","9.8","17.3%"
"39","Azeez Ojulari (NYG)","1","2","1","0","0","0","0","0","1","9.5","9.5","2.7%"
"40","Kyle Van Noy (BAL)","1","2","1","0","0","0","0","0","1","9.5","9.5","5.2%"
"41","Jalyx Hunt (PHI)","1","0","1","0","0","1","0","0","1","9.5","9.5","0.1%"
"42","Anfernee Orji (NO)","2","2","0","0","0","0","0","0","1","9.5","9.5","0.6%"
"43","Quincy Williams (NYJ)","4","1","0","0","0","0","0","0","1","9.3","9.3","38.8%"
"44","Demario Davis (NO)","5","2","0","0","0","0","0","0","1","9.0","9.0","11.0%"
"45","Ernest Jones (SEA)","5","0","0","1","0","0","0","0","1","9.0","9.0","54.1%"
"46","Edgerrin Cooper (GB)","2","1","0","0","0","0","0","0","1","8.8","8.8","4.7%"
"47","Za'Darius Smith (DET)","1","1","1","0","0","0","0","0","1","8.8","8.8","2.6%"
"48","Jerome Baker (TEN)","4","3","0","0","0","0","0","0","1","8.3","8.3","4.6%"
"49","Trevin Wallace (CAR)","4","3","0","0","0","0","0","0","1","8.3","8.3","6.3%"
"50","Jamien Sherwood (NYJ)","2","7","0","0","0","0","0","0","1","8.3","8.3","20.1%"
"51","Kenneth Murray Jr. (TEN)","4","3","0","0","0","0","0","0","1","8.3","8.3","7.3%"
"52","Harold Landry III (TEN)","1","3","0","1","0","0","0","0","1","7.8","7.8","24.5%"
"53","Jeremiah Owusu-Koramoah (CLE)","3","4","0","0","0","0","0","0","1","7.5","7.5","19.9%"
"54","Daiyan Henley (LAC)","4","0","0","1","0","0","0","0","1","7.5","7.5","19.4%"
"55","Zack Baun (PHI)","4","2","0","0","0","0","0","0","1","7.5","7.5","75.1%"
"56","Bobby Okereke (NYG)","4","2","0","0","0","0","0","0","1","7.5","7.5","63.5%"
"57","Chandler Wooten (FA)","4","2","0","0","0","0","0","0","1","7.5","7.5","0.0%"
"58","Robert Spillane (LV)","3","2","0","1","0","0","0","0","1","7.5","7.5","53.8%"
"59","Lavonte David (TB)","2","0","0","1","0","0","0","0","1","7.0","7.0","37.4%"
"60","Bobby Wagner (WAS)","3","3","0","0","0","0","0","0","1","6.8","6.8","72.2%"
"61","Christian Rozeboom (LAR)","2","4","0","0","0","0","0","0","1","6.0","6.0","6.2%"
"62","De'Vondre Campbell Sr. (SF)","4","0","0","0","0","0","0","0","1","6.0","6.0","3.6%"
"63","K.J. Britt (TB)","2","4","0","0","0","0","0","0","1","6.0","6.0","2.3%"
"64","Jahlani Tavai (NE)","1","6","0","0","0","0","0","0","1","6.0","6.0","6.0%"
"65","Jordan Hicks (CLE)","3","2","0","0","0","0","0","0","1","6.0","6.0","6.5%"
"66","Micah McFadden (NYG)","2","4","0","0","0","0","0","0","1","6.0","6.0","6.8%"
"67","Tyrel Dodson (MIA)","2","4","0","0","0","0","0","0","1","6.0","6.0","15.5%"
"68","Khalil Mack (LAC)","1","2","0","2","0","0","0","0","1","6.0","6.0","21.0%"
"69","Thomas Incoom (CAR)","2","0","0","0","0","0","0","0","1","5.5","5.5","0.0%"
"70","Mohamoud Diabate (CLE)","1","2","0","0","0","0","0","0","1","5.5","5.5","1.1%"
"71","Marquis Haynes Sr. (FA)","3","1","0","0","0","0","0","0","1","5.3","5.3","0.0%"
"72","Divine Deablo (LV)","3","1","0","0","0","0","0","0","1","5.3","5.3","4.1%"
