"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Aidan Hutchinson (DET)","4","1","4.5","0","0","1","0","0","1","38.8","38.8","36.9%"
"2","Will McDonald IV (NYJ)","4","0","3","0","0","1","0","0","1","29.5","29.5","9.5%"
"3","Maxx Crosby (LV)","5","1","2","1","0","0","0","0","1","27.8","27.8","60.7%"
"4","Odafe Oweh (BAL)","4","1","2.5","0","0","1","0","0","1","25.8","25.8","3.7%"
"5","Pat Jones II (MIN)","2","3","2","0","0","1","0","0","1","22.3","22.3","1.7%"
"6","Jared Verse (LAR)","6","1","0","0","0","1","0","0","1","21.3","21.3","20.4%"
"7","Nick Bosa (SF)","4","1","2","0","0","0","0","0","1","19.8","19.8","53.8%"
"8","Trey Hendrickson (CIN)","4","0","2","0","0","0","0","0","1","19.0","19.0","28.1%"
"9","Danielle Hunter (HOU)","3","2","1.5","0","0","0","0","0","1","17.0","17.0","45.7%"
"10","Will Anderson Jr. (HOU)","2","2","1.5","0","0","0","0","0","1","15.5","15.5","30.7%"
"11","Keion White (NE)","2","5","1.5","0","0","0","0","0","1","15.3","15.3","17.9%"
"12","Myles Garrett (CLE)","3","0","1","0","0","1","0","0","1","15.0","15.0","46.5%"
"13","Bryan Bresee (NO)","2","0","1","0","0","1","0","0","1","13.5","13.5","0.9%"
"14","Ed Oliver (BUF)","3","0","1","0","0","0","0","0","1","13.5","13.5","4.3%"
"15","Josh Hines-Allen (JAC)","3","1","1","1","0","0","0","0","1","13.3","13.3","38.4%"
"16","Carl Granderson (NO)","1","4","1.5","0","0","0","0","0","1","13.0","13.0","12.4%"
"17","Boye Mafe (SEA)","3","2","1","0","0","0","0","0","1","12.5","12.5","9.6%"
"18","Leonard Williams (SEA)","1","3","1.5","0","0","0","0","0","1","12.3","12.3","6.2%"
"19","Devonte Wyatt (GB)","2","0","1","0","0","0","0","0","1","12.0","12.0","1.1%"
