"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Joe Burrow (CIN)","34","56","60.7","428","7.6","4","0","3","2","6","0","0","1","33.7","33.7","97.3%"
"2","Lamar Jackson (BAL)","25","33","75.8","290","8.8","4","0","0","7","33","0","0","1","32.9","32.9","99.8%"
"3","Jalen Hurts (PHI)","14","20","70.0","202","10.1","2","1","5","7","56","2","1","1","30.7","30.7","99.7%"
"4","Kyler Murray (ARI)","22","24","91.7","266","11.1","1","0","1","3","21","2","0","1","28.7","28.7","94.5%"
"5","Brock Purdy (SF)","25","36","69.4","353","9.8","2","0","3","4","17","0","0","1","23.8","23.8","91.5%"
"6","Derek Carr (NO)","16","25","64.0","269","10.8","2","0","0","4","17","0","0","1","20.5","20.5","27.5%"
"7","Josh Allen (BUF)","22","37","59.5","280","7.6","0","2","2","8","50","1","0","1","20.2","20.2","99.7%"
"8","Justin Herbert (LAC)","14","18","77.8","164","9.1","1","0","0","9","32","1","0","1","19.8","19.8","64.8%"
"9","Russell Wilson (PIT)","14","28","50.0","195","7.0","3","1","3","4","3","0","0","1","19.1","19.1","38.3%"
"10","Will Levis (TEN)","18","23","78.3","175","7.6","2","0","7","5","41","0","0","1","19.1","19.1","9.4%"
"11","Patrick Mahomes II (KC)","28","42","66.7","266","6.3","1","0","4","3","19","0","0","1","16.5","16.5","97.8%"
"12","Bo Nix (DEN)","22","30","73.3","215","7.2","2","0","2","3","-5","0","0","1","16.1","16.1","64.4%"
"13","Daniel Jones (FA)","22","37","59.5","190","5.1","0","2","2","7","26","1","0","1","14.2","14.2","14.1%"
"14","Joe Flacco (IND)","26","35","74.3","272","7.8","2","3","4","0","0","0","1","1","13.9","13.9","6.4%"
"15","Jared Goff (DET)","15","30","50.0","240","8.0","2","5","0","1","2","0","0","1","12.8","12.8","79.5%"
"16","Drake Maye (NE)","15","25","60.0","184","7.4","1","1","1","4","24","0","0","1","12.8","12.8","21.5%"
"17","Bryce Young (CAR)","15","25","60.0","126","5.0","1","0","1","2","30","0","0","1","12.0","12.0","5.2%"
"18","C.J. Stroud (HOU)","19","33","57.6","232","7.0","1","2","4","1","5","0","0","1","11.8","11.8","93.6%"
"19","Kirk Cousins (ATL)","23","38","60.5","306","8.1","0","1","3","0","0","0","0","1","11.2","11.2","63.9%"
"20","Matthew Stafford (LAR)","32","46","69.6","293","6.4","0","1","4","1","0","0","0","1","10.7","10.7","51.3%"
"21","Sam Darnold (MIN)","24","38","63.2","241","6.3","0","3","1","7","28","0","0","1","9.4","9.4","66.1%"
"22","Tua Tagovailoa (MIA)","20","28","71.4","207","7.4","1","1","3","1","-1","0","1","1","9.2","9.2","62.7%"
"23","Baker Mayfield (TB)","18","29","62.1","116","4.0","1","0","2","3","3","0","0","1","8.9","8.9","84.1%"
"24","Jayden Daniels (WAS)","17","34","50.0","202","5.9","0","0","3","3","5","0","0","1","8.6","8.6","98.1%"
"25","Mac Jones (JAC)","14","22","63.6","111","5.0","0","2","3","5","8","1","1","1","7.2","7.2","1.8%"
"26","Caleb Williams (CHI)","16","30","53.3","120","4.0","0","0","9","2","15","0","0","1","6.3","6.3","51.0%"
"27","Aaron Rodgers (NYJ)","22","35","62.9","151","4.3","0","0","3","0","0","0","1","1","4.0","4.0","45.1%"
"28","Trey Lance (DAL)","4","6","66.7","21","3.5","0","1","2","3","17","0","0","1","1.5","1.5","1.1%"
"29","Kenny Pickett (PHI)","1","2","50.0","5","2.5","0","0","0","1","1","0","0","1","0.3","0.3","0.2%"
"30","Davis Mills (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"31","Michael Penix Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"32","Zach Wilson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"33","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"34","Trevor Lawrence (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.3%"
"35","Justin Fields (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.1%"
"36","Sam Ehlinger (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"37","Sean Clifford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Jake Fromm (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Jordan Love (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88.1%"
"40","Tyler Huntley (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"41","Shane Buechele (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Desmond Ridder (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"43","Feleipe Franks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"44","Dorian Thompson-Robinson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"45","Malik Cunningham (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Tyson Bagent (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"47","Jordan Travis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"48","Michael Pratt (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"49","Tommy DeVito (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.0%"
"50","Tanner Mordecai (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Devin Leary (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Jake Haener (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Tanner McKee (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","John Rhys Plumlee (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Joe Milton III (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"56","Austin Reed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"57","Carter Bradley (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Jack Plummer (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Jason Bean (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Kedon Slovis (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Malik Willis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"62","Adrian Martinez (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","J.J. McCarthy (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"64","Sam Howell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"65","Spencer Rattler (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"66","Chris Oladokun (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Aidan O'Connell (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"68","Hendon Hooker (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"69","Sam Hartman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Anthony Richardson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62.6%"
"71","Stetson Bennett (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Bailey Zappe (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Jaren Hall (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
