"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"55","Tre Tucker (LV)","3","4","28","9.3","22","1","0","1","7","0","0","1","3.5","3.5","6.7%"
"56","Tyler Boyd (TEN)","2","3","34","17.0","30","1","0","0","0","0","0","1","3.4","3.4","3.2%"
"57","John Metchie III (HOU)","3","3","33","11.0","16","0","0","0","0","0","0","1","3.3","3.3","1.0%"
"58","Kayshon Boutte (NE)","4","6","33","8.3","13","0","0","0","0","0","0","1","3.3","3.3","3.4%"
"59","Bryce Oliver (TEN)","1","1","33","33.0","33","1","0","0","0","0","0","1","3.3","3.3","0.0%"
"60","Kalif Raymond (DET)","2","2","30","15.0","21","1","0","0","0","0","0","1","3.0","3.0","1.6%"
"61","Rashod Bateman (BAL)","2","5","30","15.0","19","0","0","0","0","0","0","1","3.0","3.0","31.0%"
"62","DeVonta Smith (PHI)","4","6","29","7.3","21","1","0","0","0","0","0","1","2.9","2.9","95.6%"
"63","DeAndre Hopkins (KC)","3","4","29","9.7","13","0","0","0","0","0","0","1","2.9","2.9","89.4%"
"64","DJ Turner (LV)","3","3","29","9.7","12","0","0","0","0","0","0","1","2.9","2.9","0.6%"
"65","Darnell Mooney (ATL)","2","4","27","13.5","19","0","0","0","0","0","0","1","2.7","2.7","75.9%"
"66","Mack Hollins (BUF)","2","2","27","13.5","15","0","0","0","0","0","0","1","2.7","2.7","0.9%"
"67","Tim Patrick (DET)","3","4","26","8.7","13","0","0","0","0","0","0","1","2.6","2.6","0.8%"
"68","Justin Watson (KC)","2","2","26","13.0","16","0","0","0","0","0","0","1","2.6","2.6","0.7%"
"69","Joshua Palmer (LAC)","2","4","23","11.5","12","0","0","0","0","0","0","1","2.3","2.3","15.6%"
"70","KhaDarel Hodge (ATL)","2","2","22","11.0","18","0","0","0","0","0","0","1","2.2","2.2","0.1%"
"71","Deebo Samuel Sr. (SF)","4","7","22","5.5","11","0","0","1","-1","0","0","1","2.1","2.1","98.2%"
"72","Mecole Hardman Jr. (KC)","2","3","12","6.0","12","0","0","1","9","0","0","1","2.1","2.1","0.7%"
"73","Jalen Tolbert (DAL)","2","5","21","10.5","15","0","0","0","0","0","0","1","2.1","2.1","16.0%"
"74","Tutu Atwell (LAR)","1","2","21","21.0","21","1","0","0","0","0","0","1","2.1","2.1","4.6%"
"75","Derius Davis (LAC)","1","2","14","14.0","14","0","0","1","6","0","0","1","2.0","2.0","0.3%"
"76","Demarcus Robinson (LAR)","2","4","19","9.5","10","0","0","0","0","0","0","1","1.9","1.9","35.1%"
"77","Ryan Flournoy (DAL)","2","3","19","9.5","15","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"78","Tyler Lockett (SEA)","2","3","19","9.5","12","0","0","0","0","0","0","1","1.9","1.9","63.2%"
"79","Kevin Austin Jr. (NO)","1","2","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"80","Garrett Wilson (NYJ)","4","8","18","4.5","7","0","0","0","0","0","0","1","1.8","1.8","99.4%"
"81","Malik Washington (MIA)","3","3","11","3.7","9","0","0","1","7","0","0","1","1.8","1.8","1.2%"
"82","Romeo Doubs (GB)","1","2","17","17.0","17","0","0","0","0","0","0","1","1.7","1.7","54.7%"
"83","Xavier Gipson (NYJ)","1","1","17","17.0","17","0","0","0","0","0","0","1","1.7","1.7","0.6%"
"84","Trent Sherfield Sr. (MIN)","1","1","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","0.1%"
"85","Odell Beckham Jr. (MIA)","2","4","13","6.5","8","0","0","0","0","0","0","1","1.3","1.3","3.7%"
"86","Brandon Powell (MIN)","1","1","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"87","Robert Woods (HOU)","2","2","13","6.5","7","0","0","0","0","0","0","1","1.3","1.3","1.4%"
"88","Jamari Thrash (CLE)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
"89","Olamide Zaccheaus (WAS)","1","2","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.6%"
"90","Malachi Corley (NYJ)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","2.3%"
"91","Parker Washington (JAC)","1","3","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","2.5%"
"92","Terry McLaurin (WAS)","1","2","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","94.1%"
"93","Dante Pettis (NO)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.0%"
"94","JuJu Smith-Schuster (KC)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","9.0%"
"95","Jahan Dotson (PHI)","1","2","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","7.4%"
"96","Tylan Wallace (BAL)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.2%"
"97","Jermaine Burton (CIN)","1","4","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","2.1%"
"98","Allen Robinson II (DET)","1","2","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.1%"
"99","Ben Skowronek (PIT)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"100","Noah Brown (WAS)","1","4","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","8.4%"
"101","Dyami Brown (WAS)","1","2","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.6%"
"102","Gabe Davis (JAC)","1","3","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","26.2%"
"103","Dax Milne (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Jaelon Darden (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Dee Eskridge (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Chris Blair (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Steven Sims Jr. (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","D.J. Montgomery (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Nsimba Webster (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Malik Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Alex Bachman (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Deonte Harty (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"113","Brandon Aiyuk (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56.7%"
"114","KJ Hamler (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Devin Duvernay (JAC)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"116","Donovan Peoples-Jones (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"117","Jalen Reagor (LAC)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"118","James Proche II (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Isaiah Hodgins (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"120","Quintez Cephus (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Laviska Shenault Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"122","Tom Kennedy (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"123","Gunner Olszewski (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Parris Campbell (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Collin Johnson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Cody Thompson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Trenton Irwin (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"128","Darius Slayton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.9%"
"129","Scotty Miller (PIT)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"130","Juwann Winfree (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"132","David Sills V (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"133","Greg Dortch (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.5%"
