"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Saquon Barkley (PHI)","24","109","4.5","34","1","2","2","2","23","11.5","1","0","1","31.2","31.2","99.8%"
"2","Joe Mixon (HOU)","30","159","5.3","13","0","1","3","3","19","6.3","0","0","1","23.8","23.8","99.1%"
"3","Jordan Mason (SF)","28","147","5.3","24","1","1","1","1","5","5.0","0","0","1","21.2","21.2","69.5%"
"4","J.K. Dobbins (LAC)","10","135","13.5","61","2","1","3","3","4","1.3","0","0","1","19.9","19.9","91.4%"
"5","Rhamondre Stevenson (NE)","25","120","4.8","17","0","1","3","3","6","2.0","0","0","1","18.6","18.6","92.0%"
"6","Alvin Kamara (NO)","15","83","5.5","17","0","1","5","5","27","5.4","0","0","1","17.0","17.0","99.2%"
"7","Kenneth Walker III (SEA)","20","103","5.2","23","1","1","2","3","6","3.0","0","0","1","16.9","16.9","97.2%"
"8","Aaron Jones (MIN)","14","94","6.7","19","0","1","2","2","15","7.5","0","0","1","16.9","16.9","96.6%"
"9","James Conner (ARI)","16","50","3.1","20","1","1","3","4","33","11.0","0","0","1","16.3","16.3","95.8%"
"10","De'Von Achane (MIA)","10","24","2.4","9","0","1","7","7","76","10.9","0","0","1","16.0","16.0","99.5%"
"11","Tony Pollard (TEN)","16","82","5.1","26","1","1","3","4","12","4.0","0","0","1","15.4","15.4","92.1%"
"12","David Montgomery (DET)","17","91","5.4","21","1","1","1","1","2","2.0","0","0","1","15.3","15.3","96.1%"
"13","Brian Robinson Jr. (WAS)","12","40","3.3","7","0","1","3","4","49","16.3","0","0","1","14.9","14.9","91.2%"
"14","Isiah Pacheco (KC)","15","45","3.0","5","0","1","2","3","33","16.5","0","0","1","13.8","13.8","91.7%"
"15","Jahmyr Gibbs (DET)","11","40","3.6","8","0","1","4","6","34","8.5","0","0","1","13.4","13.4","99.8%"
"16","Breece Hall (NYJ)","16","54","3.4","16","0","1","5","6","39","7.8","0","1","1","13.3","13.3","99.6%"
"17","Jerome Ford (CLE)","12","44","3.7","11","0","1","6","7","25","4.2","0","0","1","12.9","12.9","50.8%"
"18","Alexander Mattison (LV)","5","19","3.8","7","0","0","4","6","43","10.8","1","0","1","12.2","12.2","50.7%"
"19","Zack Moss (CIN)","9","44","4.9","16","0","1","2","4","17","8.5","0","0","1","12.1","12.1","54.0%"
"20","Kyren Williams (LAR)","18","50","2.8","9","0","1","3","3","4","1.3","0","0","1","11.4","11.4","99.6%"
"21","Bijan Robinson (ATL)","18","68","3.8","13","0","0","5","5","43","8.6","0","0","1","11.1","11.1","99.8%"
"22","Jamaal Williams (NO)","11","38","3.5","14","0","1","1","1","13","13.0","0","0","1","11.1","11.1","3.8%"
