"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Houston Texans (HOU)","5","1","1","2","1","0","0","1","19.0","19.0","72.1%"
"2","Denver Broncos (DEN)","4","1","0","0","0","0","0","1","13.0","13.0","74.4%"
"3","Minnesota Vikings (MIN)","5","1","0","0","0","0","0","1","11.0","11.0","76.7%"
"4","Detroit Lions (DET)","1","1","0","0","0","0","0","1","10.0","10.0","75.1%"
"5","Pittsburgh Steelers (PIT)","2","1","2","2","0","0","0","1","9.0","9.0","87.9%"
"6","Los Angeles Rams (LAR)","3","1","1","2","0","0","0","1","9.0","9.0","13.2%"
"7","Baltimore Ravens (BAL)","4","1","0","0","0","0","0","1","7.0","7.0","73.2%"
"8","San Francisco 49ers (SF)","4","1","0","0","0","0","0","1","7.0","7.0","81.1%"
"9","Green Bay Packers (GB)","3","0","0","0","0","0","0","1","6.0","6.0","35.9%"
"10","Philadelphia Eagles (PHI)","3","1","0","0","0","0","0","1","6.0","6.0","64.9%"
"11","Miami Dolphins (MIA)","3","1","0","0","0","0","0","1","6.0","6.0","47.0%"
"12","Buffalo Bills (BUF)","2","2","0","0","0","0","0","1","6.0","6.0","55.2%"
"13","Seattle Seahawks (SEA)","2","1","0","0","0","0","0","1","5.0","5.0","11.1%"
"14","Chicago Bears (CHI)","1","1","0","0","0","0","0","1","4.0","4.0","51.7%"
"15","Tennessee Titans (TEN)","2","0","1","1","0","0","0","1","4.0","4.0","10.8%"
"16","New Orleans Saints (NO)","3","0","0","0","0","0","0","1","4.0","4.0","25.7%"
"17","New York Jets (NYJ)","2","0","1","1","0","0","0","1","3.0","3.0","70.6%"
"18","Cincinnati Bengals (CIN)","2","0","1","1","0","0","0","1","3.0","3.0","20.4%"
"19","Indianapolis Colts (IND)","3","0","0","1","0","0","0","1","3.0","3.0","8.1%"
"20","Los Angeles Chargers (LAC)","3","0","0","0","0","0","0","1","3.0","3.0","51.5%"
"21","Washington Commanders (WAS)","2","0","0","1","0","0","0","1","2.0","2.0","48.8%"
"22","Dallas Cowboys (DAL)","1","1","0","0","0","0","0","1","2.0","2.0","24.7%"
"23","Las Vegas Raiders (LV)","2","0","0","1","0","0","0","1","1.0","1.0","3.3%"
"24","Kansas City Chiefs (KC)","0","1","0","0","0","0","0","1","1.0","1.0","87.9%"
"25","Cleveland Browns (CLE)","1","1","1","2","0","0","0","1","1.0","1.0","34.4%"
"26","New York Giants (NYG)","0","0","0","0","0","0","0","0","0","0","19.3%"
"27","Tampa Bay Buccaneers (TB)","0","0","0","0","0","0","0","0","0","0","36.1%"
"28","Carolina Panthers (CAR)","0","0","0","0","0","0","0","0","0","0","1.0%"
"29","Arizona Cardinals (ARI)","0","0","0","0","0","0","0","0","0","0","9.7%"
"30","New England Patriots (NE)","0","0","0","0","0","0","0","1","-1.0","-1.0","5.8%"
"31","Atlanta Falcons (ATL)","1","0","0","1","0","0","0","1","-3.0","-3.0","14.8%"
"32","Jacksonville Jaguars (JAC)","0","0","0","0","0","0","0","1","-4.0","-4.0","6.0%"
""
""
