"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Troy Andersen (ATL)","9","7","0","1","1","0","0","1","1","33.8","33.8","5.3%"
"2","Lavonte David (TB)","5","3","2","1","0","1","0","0","1","28.3","28.3","37.4%"
"3","Jordyn Brooks (MIA)","9","4","1","1","0","0","0","0","1","27.0","27.0","34.9%"
"4","E.J. Speed (IND)","12","1","0","0","0","0","0","0","1","23.8","23.8","50.0%"
"5","Fred Warner (SF)","4","3","0","1","1","0","0","1","1","20.8","20.8","92.7%"
"6","Kyle Van Noy (BAL)","2","0","2","0","0","1","0","0","1","20.0","20.0","5.2%"
"7","Dorian Williams (BUF)","5","7","0","0","0","1","0","0","1","19.3","19.3","21.5%"
"8","Frankie Luvu (WAS)","5","2","0.5","0","0","1","1","0","1","19.0","19.0","23.1%"
"9","Robert Spillane (LV)","9","3","0","0","0","0","0","0","1","18.3","18.3","53.8%"
"10","Bobby Wagner (WAS)","7","4","0.5","0","0","0","0","0","1","18.0","18.0","72.2%"
"11","Baylon Spector (BUF)","4","2","1","0","0","0","1","0","1","18.0","18.0","1.2%"
"12","Quincy Williams (NYJ)","5","2","0","0","0","1","0","0","1","18.0","18.0","38.8%"
"13","Quay Walker (GB)","6","2","1","0","0","0","0","0","1","17.0","17.0","29.0%"
"14","Blake Cashman (MIN)","6","5","0","1","0","0","0","0","1","16.8","16.8","11.4%"
"15","Jack Campbell (DET)","6","1","0","0","0","1","0","0","1","16.3","16.3","20.3%"
"16","Bud Dupree (LAC)","2","0","2","0","0","0","0","0","1","16.0","16.0","0.7%"
"17","Ventrell Miller (JAC)","7","3","0","0","0","0","0","0","1","15.3","15.3","4.3%"
"18","Drue Tranquill (KC)","7","3","0","0","0","0","0","0","1","15.3","15.3","15.5%"
"19","Eric Kendricks (DAL)","6","7","0","0","0","0","0","0","1","14.3","14.3","37.0%"
"20","Justin Strnad (DEN)","3","1","1","0","0","0","0","0","1","14.3","14.3","1.9%"
"21","Jeremiah Owusu-Koramoah (CLE)","6","3","0","0","0","0","0","0","1","13.8","13.8","19.9%"
"22","Kenneth Murray Jr. (TEN)","6","3","0","0","0","0","0","0","1","13.8","13.8","7.3%"
"23","Tyrel Dodson (MIA)","4","6","0","0","0","0","0","0","1","13.0","13.0","15.5%"
"24","Christian Rozeboom (LAR)","6","5","0","0","0","0","0","0","1","12.8","12.8","6.2%"
"25","Germaine Pratt (CIN)","6","3","0","1","0","0","0","0","1","12.8","12.8","37.6%"
"26","Edgerrin Cooper (GB)","4","0","0","0","0","0","1","0","1","12.5","12.5","4.7%"
"27","Micah McFadden (NYG)","5","3","0","0","0","0","0","0","1","12.3","12.3","6.8%"
"28","Jamien Sherwood (NYJ)","6","1","0","0","0","0","0","0","1","12.3","12.3","20.1%"
