"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Dante Fowler Jr. (WAS)","2","0","1","1","1","0","0","1","1","22.0","22.0","10.4%"
"2","Sam Hubbard (CIN)","3","0","1","1","1","1","0","0","1","21.5","21.5","13.7%"
"3","Dexter Lawrence II (NYG)","5","0","2","0","0","0","0","0","1","20.5","20.5","18.4%"
"4","Trey Hendrickson (CIN)","2","1","2","1","0","0","0","0","1","18.3","18.3","28.1%"
"5","Jalen Carter (PHI)","3","1","2","0","0","0","0","0","1","18.3","18.3","12.7%"
"6","Yaya Diaby (TB)","5","0","1","0","0","0","0","0","1","16.5","16.5","2.7%"
"7","A.J. Epenesa (BUF)","2","1","1","1","0","1","0","0","1","15.8","15.8","2.1%"
"8","Tim Settle Jr. (HOU)","4","0","1","0","0","0","0","0","1","15.0","15.0","0.6%"
"9","Jonathan Greenard (MIN)","2","2","1","0","0","1","0","0","1","15.0","15.0","17.3%"
"10","Calais Campbell (MIA)","5","0","0","0","0","0","0","0","1","15.0","15.0","6.4%"
"11","Boye Mafe (SEA)","2","1","1","0","0","1","0","0","1","14.3","14.3","9.6%"
"12","Dre'Mont Jones (SEA)","2","0","1","1","0","0","0","0","1","13.5","13.5","0.7%"
"13","Brian Burns (NYG)","3","1","1","1","0","0","0","0","1","13.3","13.3","27.9%"
"14","Josh Paschal (DET)","4","0","1","0","0","0","0","0","1","12.5","12.5","0.3%"
"15","Will McDonald IV (NYJ)","3","0","1","1","0","0","0","0","1","12.5","12.5","9.5%"
"16","Michael Hoecht (LAR)","3","3","1","1","0","0","0","0","1","12.3","12.3","1.3%"
"17","Arden Key (TEN)","2","0","1","0","0","0","0","0","1","12.0","12.0","3.2%"
"18","Nolan Smith Jr. (PHI)","2","0","1","0","0","0","0","0","1","12.0","12.0","1.9%"
"19","Derick Hall (SEA)","1","0","0","0","0","0","1","1","1","11.5","11.5","3.3%"
"20","Odafe Oweh (BAL)","2","2","1","0","0","0","0","0","1","11.0","11.0","3.7%"
"21","Maxx Crosby (LV)","1","2","1","1","0","0","0","0","1","11.0","11.0","60.7%"
"22","Javon Kinlaw (NYJ)","5","1","0","0","0","0","0","0","1","10.8","10.8","0.3%"
"23","Isaiah McGuire (CLE)","2","4","0.5","0","0","0","0","0","1","10.5","10.5","0.1%"
"24","Laiatu Latu (IND)","2","1","1","0","0","0","0","0","1","10.3","10.3","6.2%"
"25","Travon Walker (JAC)","2","1","1","0","0","0","0","0","1","10.3","10.3","19.5%"
"26","George Karlaftis III (KC)","2","1","1","0","0","0","0","0","1","10.3","10.3","9.2%"
"27","Leonard Williams (SEA)","2","1","1","0","0","0","0","0","1","10.3","10.3","6.2%"
"28","Sheldon Rankins (CIN)","2","1","1","0","0","0","0","0","1","10.3","10.3","0.2%"
"29","Dawuane Smoot (BUF)","3","1","0.5","0","0","0","0","0","1","9.8","9.8","0.0%"
"30","Christian Elliss (NE)","4","5","0","0","0","0","0","0","1","9.8","9.8","2.1%"
"31","Danielle Hunter (HOU)","2","0","1","0","0","0","0","0","1","9.5","9.5","45.7%"
"32","Nik Bonitto (DEN)","1","2","1","0","0","0","0","0","1","9.5","9.5","3.7%"
"33","Naquan Jones (ARI)","2","0","1","0","0","0","0","0","1","9.5","9.5","0.1%"
"34","Larry Ogunjobi (PIT)","2","0","1","0","0","0","0","0","1","9.5","9.5","0.6%"
"35","Kenny Clark (GB)","2","2","0","0","0","0","0","0","1","9.5","9.5","1.6%"
"36","Josh Sweat (PHI)","1","0","1","1","0","0","0","0","1","9.5","9.5","4.7%"
"37","Jonathan Bullard (MIN)","1","3","0","2","0","0","0","0","1","9.3","9.3","0.3%"
"38","Zach Sieler (MIA)","3","1","0","0","0","0","1","0","1","9.3","9.3","7.3%"
"39","Shelby Harris (CLE)","1","1","1","0","0","0","0","0","1","8.8","8.8","0.6%"
"40","John Franklin-Myers (DEN)","1","1","1","0","0","0","0","0","1","8.8","8.8","0.5%"
"41","Bryce Huff (PHI)","1","1","1","0","0","0","0","0","1","8.8","8.8","2.6%"
"42","Calijah Kancey (TB)","3","2","0","0","0","0","0","0","1","8.5","8.5","2.0%"
"43","Myles Garrett (CLE)","4","0","0","0","0","0","0","0","1","8.5","8.5","46.5%"
"44","Rakeem Nunez-Roches (NYG)","3","2","0","0","0","0","0","0","1","8.5","8.5","0.7%"
"45","Grady Jarrett (ATL)","3","2","0","0","0","0","0","0","1","8.5","8.5","2.2%"
"46","Ben Stille (ARI)","1","0","1","0","0","0","0","0","1","8.0","8.0","1.3%"
"47","Will Anderson Jr. (HOU)","1","0","1","0","0","0","0","0","1","8.0","8.0","30.7%"
"48","James Smith-Williams (ATL)","1","0","1","0","0","0","0","0","1","8.0","8.0","0.1%"
"49","DaQuan Jones (BUF)","1","0","1","0","0","0","0","0","1","8.0","8.0","0.1%"
"50","Dante Stills (ARI)","1","0","1","0","0","0","0","0","1","8.0","8.0","1.3%"
"51","Kalia Davis (SF)","1","0","0","1","1","0","0","0","1","8.0","8.0","0.0%"
"52","Charles Harris (CAR)","1","0","1","0","0","0","0","0","1","8.0","8.0","2.1%"
"53","Jarran Reed (SEA)","3","1","0","0","0","0","0","0","1","7.8","7.8","1.6%"
"54","Arnold Ebiketie (ATL)","3","1","0","0","0","0","0","0","1","7.8","7.8","5.5%"
"55","Taven Bryan (IND)","2","1","0","0","0","0","1","0","1","7.8","7.8","0.0%"
"56","Adam Butler (LV)","4","2","0","0","0","0","0","0","1","7.5","7.5","7.3%"
"57","Byron Young (LAR)","4","2","0","0","0","0","0","0","1","7.5","7.5","15.8%"
"58","Greg Rousseau (BUF)","2","3","0.5","0","0","0","0","0","1","7.3","7.3","18.9%"
"59","Teair Tart (LAC)","0","1","0","1","1","0","0","0","1","7.3","7.3","0.0%"
"60","DeWayne Carter (BUF)","3","0","0","0","0","0","0","0","1","7.0","7.0","0.1%"
"61","DaVon Hamilton (JAC)","1","4","0","0","0","0","0","0","1","7.0","7.0","0.4%"
"62","Byron Murphy II (SEA)","2","2","0","0","0","0","0","0","1","7.0","7.0","3.2%"
"63","Carl Granderson (NO)","3","0","0","0","0","0","0","0","1","7.0","7.0","12.4%"
"64","Jared Verse (LAR)","2","2","0","0","0","0","0","0","1","7.0","7.0","20.4%"
"65","Da'Shawn Hand (MIA)","3","0","0","0","0","0","0","0","1","7.0","7.0","0.2%"
"66","Jaquelin Roy (NE)","4","1","0","0","0","0","0","0","1","6.8","6.8","0.1%"
"67","Neville Gallimore (LAR)","3","3","0","0","0","0","0","0","1","6.8","6.8","0.0%"
"68","Maliek Collins (SF)","2","2","0.5","0","0","0","0","0","1","6.5","6.5","1.7%"
"69","Ed Oliver (BUF)","1","1","0","0","0","1","0","0","1","6.3","6.3","4.3%"
"70","Grover Stewart (IND)","1","3","0","0","0","0","0","0","1","6.3","6.3","5.2%"
"71","Keeanu Benton (PIT)","2","0","0","2","0","0","0","0","1","6.0","6.0","0.3%"
"72","Nick Bosa (SF)","2","1","0.5","0","0","0","0","0","1","5.8","5.8","53.8%"
"73","Bobby Brown III (LAR)","1","2","0","0","0","0","0","0","1","5.5","5.5","0.2%"
"74","Folorunso Fatukasi (HOU)","2","0","0","0","0","0","0","0","1","5.5","5.5","0.7%"
"75","Dalvin Tomlinson (CLE)","2","0","0","0","0","0","0","0","1","5.5","5.5","0.2%"
"76","Jeremiah Ledbetter (JAC)","2","0","0","0","0","0","0","0","1","5.5","5.5","0.1%"
"77","Otito Ogbonnia (LAC)","3","1","0","0","0","0","0","0","1","5.3","5.3","0.1%"
"78","Jordan Elliott (SF)","3","1","0","0","0","0","0","0","1","5.3","5.3","0.1%"
"79","Brent Urban (BAL)","3","1","0","0","0","0","0","0","1","5.3","5.3","0.0%"
"80","Roy Robertson-Harris (SEA)","2","3","0","0","0","0","0","0","1","5.3","5.3","0.1%"
"81","Joseph Ossai (CIN)","3","1","0","0","0","0","0","0","1","5.3","5.3","0.6%"
"82","Zach Allen (DEN)","1","2","0.5","0","0","0","0","0","1","5.0","5.0","15.2%"
"83","James Lynch (TEN)","1","1","0","0","0","0","0","0","1","4.8","4.8","5.0%"
"84","Arik Armstead (JAC)","1","1","0","0","0","0","0","0","1","4.8","4.8","1.0%"
"85","Lukas Van Ness (GB)","1","1","0","0","0","0","0","0","1","4.8","4.8","2.1%"
"86","Keion White (NE)","2","2","0","0","0","0","0","0","1","4.5","4.5","17.9%"
"87","Kingsley Enagbare (GB)","2","2","0","0","0","0","0","0","1","4.5","4.5","0.1%"
"88","Harrison Phillips (MIN)","2","2","0","0","0","0","0","0","1","4.5","4.5","3.6%"
"89","Cameron Heyward (PIT)","2","0","0","1","0","0","0","0","1","4.5","4.5","11.3%"
"90","Deatrich Wise Jr. (NE)","1","0","0","0","0","0","0","0","1","4.0","4.0","0.7%"
"91","Felix Anudike-Uzomah (KC)","1","0","0","0","0","0","0","0","1","4.0","4.0","0.2%"
"92","Greg Gaines (TB)","1","0","0","0","0","0","0","0","1","4.0","4.0","0.1%"
"93","Nnamdi Madubuike (BAL)","1","0","0","0","0","0","0","0","1","4.0","4.0","13.8%"
"94","Jaylen Harrell (TEN)","1","0","0","0","0","0","0","0","1","4.0","4.0","0.0%"
"95","T'Vondre Sweat (TEN)","1","3","0","0","0","0","0","0","1","3.8","3.8","1.3%"
"96","Johnathan Hankins (SEA)","1","3","0","0","0","0","0","0","1","3.8","3.8","0.1%"
"97","Bryan Bresee (NO)","2","1","0","0","0","0","0","0","1","3.8","3.8","0.9%"
"98","LaBryan Ray (CAR)","1","3","0","0","0","0","0","0","1","3.8","3.8","0.2%"
"99","Daniel Ekuale (NE)","2","1","0","0","0","0","0","0","1","3.8","3.8","1.0%"
"100","Tuli Tuipulotu (LAC)","2","1","0","0","0","0","0","0","1","3.8","3.8","5.0%"
"101","David Onyemata (ATL)","1","3","0","0","0","0","0","0","1","3.8","3.8","1.1%"
"102","Daron Payne (WAS)","2","1","0","0","0","0","0","0","1","3.8","3.8","7.3%"
"103","Myles Murphy (CIN)","1","1","0","1","0","0","0","0","1","3.8","3.8","0.2%"
"104","Jerry Tillery (MIN)","1","3","0","0","0","0","0","0","1","3.8","3.8","0.1%"
"105","Jeffery Simmons (TEN)","1","1","0","1","0","0","0","0","1","3.8","3.8","18.7%"
"106","Sam Okuayinonu (SF)","2","1","0","0","0","0","0","0","1","3.8","3.8","0.6%"
"107","Shy Tuttle (CAR)","1","2","0","0","0","0","0","0","1","3.0","3.0","0.5%"
"108","D.J. Davidson (FA)","1","2","0","0","0","0","0","0","1","3.0","3.0","0.1%"
"109","Malcolm Roach (DEN)","1","0","0","1","0","0","0","0","1","3.0","3.0","0.1%"
"110","Sheldon Day (WAS)","2","0","0","0","0","0","0","0","1","3.0","3.0","0.1%"
"111","Leonard Taylor III (NYJ)","1","2","0","0","0","0","0","0","1","3.0","3.0","0.1%"
"112","Nick Thurman (FA)","1","2","0","0","0","0","0","0","1","3.0","3.0","0.0%"
"113","Pat Jones II (MIN)","2","0","0","0","0","0","0","0","1","3.0","3.0","1.7%"
"114","Leki Fotu (NYJ)","1","2","0","0","0","0","0","0","1","3.0","3.0","0.0%"
"115","Vita Vea (TB)","1","2","0","0","0","0","0","0","1","3.0","3.0","4.1%"
"116","Cameron Jordan (NO)","1","2","0","0","0","0","0","0","1","3.0","3.0","1.5%"
"117","Kobie Turner (LAR)","1","2","0","0","0","0","0","0","1","3.0","3.0","14.5%"
"118","DJ Reader (DET)","2","0","0","0","0","0","0","0","1","3.0","3.0","0.7%"
"119","Elijah Chatman (NYG)","1","2","0","0","0","0","0","0","1","3.0","3.0","0.1%"
"120","Thomas Booker IV (PHI)","1","2","0","0","0","0","0","0","1","3.0","3.0","0.0%"
"121","Maurice Hurst II Jr. (CLE)","0","1","0.5","0","0","0","0","0","1","2.8","2.8","0.1%"
"122","Jordon Riley (NYG)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"123","Clelin Ferrell (WAS)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.2%"
"124","Josh Hines-Allen (JAC)","1","1","0","0","0","0","0","0","1","2.3","2.3","38.4%"
"125","Malik Herring (KC)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"126","B.J. Hill (CIN)","0","1","0","1","0","0","0","0","1","2.3","2.3","1.9%"
"127","Mike Pennel Jr. (KC)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.1%"
"128","Colby Wooden (GB)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.1%"
"129","Micheal Clemons (NYJ)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.2%"
"130","Chop Robinson (MIA)","1","1","0","0","0","0","0","0","1","2.3","2.3","2.8%"
"131","Anthony Nelson (TB)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.1%"
"132","K'Lavon Chaisson (LV)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"133","Pat O'Connor (DET)","0","2","0","0","0","0","0","0","1","1.5","1.5","4.0%"
"134","Julian Okwara (ARI)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"135","Braden Fiske (LAR)","0","2","0","0","0","0","0","0","1","1.5","1.5","3.4%"
"136","Chris Braswell (TB)","1","0","0","0","0","0","0","0","1","1.5","1.5","1.2%"
"137","Payton Turner (NO)","0","0","0","1","0","0","0","0","1","1.5","1.5","0.1%"
"138","Derrick Nnadi (KC)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.1%"
"139","DeShawn Williams (CAR)","0","2","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"140","Derek Barnett (HOU)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.2%"
"141","Jalyn Holmes (WAS)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"142","Tyree Wilson (LV)","1","0","0","0","0","0","0","0","1","1.5","1.5","1.2%"
