"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Derrick Henry (BAL)","24","199","8.3","87","3","1","3","3","10","3.3","1","0","1","32.9","32.9","99.7%"
"2","Kenneth Walker III (SEA)","12","80","6.7","28","3","3","4","5","36","9.0","0","0","1","29.6","29.6","97.2%"
"3","D'Andre Swift (CHI)","16","93","5.8","36","1","1","7","7","72","10.3","0","0","1","22.5","22.5","92.9%"
"4","Jordan Mason (SF)","24","123","5.1","25","2","1","2","3","37","18.5","0","0","1","22.0","22.0","69.5%"
"5","Chase Brown (CIN)","15","80","5.3","20","1","2","2","3","12","6.0","0","0","1","21.2","21.2","77.7%"
"6","Jahmyr Gibbs (DET)","14","78","5.6","20","1","2","0","0","0","0","0","0","1","19.8","19.8","99.8%"
"7","Jeremy McNichols (WAS)","8","68","8.5","27","1","2","1","1","6","6.0","0","0","1","19.4","19.4","1.1%"
"8","Chuba Hubbard (CAR)","18","104","5.8","38","1","1","4","4","17","4.3","0","0","1","18.1","18.1","90.9%"
"9","Alvin Kamara (NO)","19","77","4.1","15","0","1","7","9","42","6.0","0","0","1","17.9","17.9","99.2%"
"10","James Conner (ARI)","18","104","5.8","20","1","1","1","1","9","9.0","0","0","1","17.3","17.3","95.8%"
"11","Brian Robinson Jr. (WAS)","21","101","4.8","18","0","1","3","3","12","4.0","0","0","1","17.3","17.3","91.2%"
"12","Jonathan Taylor (IND)","21","88","4.2","21","1","1","3","4","20","6.7","0","0","1","16.8","16.8","99.7%"
"13","Tony Pollard (TEN)","22","88","4.0","41","1","1","2","2","20","10.0","0","0","1","16.8","16.8","92.1%"
"14","Kyren Williams (LAR)","19","94","4.9","14","0","1","4","4","10","2.5","0","0","1","16.4","16.4","99.6%"
"15","Justice Hill (BAL)","4","18","4.5","11","0","0","6","6","78","13.0","1","0","1","15.6","15.6","24.5%"
"16","David Montgomery (DET)","12","40","3.3","13","0","1","1","1","40","40.0","0","0","1","14.0","14.0","96.1%"
"17","Aaron Jones (MIN)","22","93","4.2","17","0","0","4","5","46","11.5","0","0","1","13.9","13.9","96.6%"
"18","Zack Moss (CIN)","15","51","3.4","13","0","0","4","4","27","6.8","1","0","1","13.8","13.8","54.0%"
"19","Rico Dowdle (DAL)","11","46","4.2","9","0","0","1","1","15","15.0","1","0","1","12.1","12.1","66.5%"
