"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","CeeDee Lamb (DAL)","13","17","146","11.2","29","3","2","0","0","0","0","1","26.6","26.6","99.8%"
"2","Ladd McConkey (LAC)","6","6","111","18.5","60","1","2","0","0","0","0","1","23.1","23.1","84.7%"
"3","Cedric Tillman (CLE)","7","9","99","14.1","38","2","2","0","0","0","0","1","21.9","21.9","63.2%"
"4","Josh Downs (IND)","4","9","109","27.3","69","2","1","0","13","0","0","1","18.2","18.2","63.4%"
"5","Calvin Austin III (PIT)","3","4","54","18.0","29","1","1","0","0","0","0","1","17.4","17.4","1.8%"
"6","Marvin Harrison Jr. (ARI)","6","7","111","18.5","25","3","1","0","0","0","0","1","17.1","17.1","97.9%"
"7","Demarcus Robinson (LAR)","2","3","35","17.5","25","1","2","0","0","0","0","1","15.5","15.5","35.1%"
"8","Darnell Mooney (ATL)","4","6","86","21.5","30","3","1","0","0","0","0","1","14.6","14.6","75.9%"
"9","DeVonta Smith (PHI)","6","7","85","14.2","45","1","1","0","0","0","0","1","14.5","14.5","95.6%"
"10","Jalen Coker (CAR)","4","6","78","19.5","29","2","1","0","0","0","0","1","13.8","13.8","5.9%"
"11","Kalif Raymond (DET)","2","2","14","7.0","7","0","1","0","0","0","0","1","13.4","13.4","1.6%"
"12","Noah Brown (WAS)","3","6","73","24.3","52","1","1","0","0","0","0","1","13.3","13.3","8.4%"
"13","Keon Coleman (BUF)","5","7","70","14.0","25","2","1","0","0","0","0","1","13.0","13.0","54.8%"
"14","Calvin Ridley (TEN)","10","15","143","14.3","47","2","0","1","3","0","1","1","12.6","12.6","84.9%"
"15","Terry McLaurin (WAS)","5","8","125","25.0","61","2","0","0","0","0","0","1","12.5","12.5","94.1%"
"16","Brian Thomas Jr. (JAC)","3","4","60","20.0","28","1","1","0","0","0","0","1","12.0","12.0","88.2%"
"17","Zay Flowers (BAL)","7","12","115","16.4","29","4","0","0","0","0","0","1","11.5","11.5","96.5%"
