"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Will Anderson Jr. (HOU)","6","2","3","1","0","0","0","0","1","34.0","34.0","30.7%"
"2","Zach Allen (DEN)","5","3","0.5","0","0","0","0","0","1","21.8","21.8","15.2%"
"3","Dante Fowler Jr. (WAS)","4","0","2","0","0","0","0","0","1","21.5","21.5","10.4%"
"4","A.J. Epenesa (BUF)","3","1","2","0","0","1","0","0","1","19.8","19.8","2.1%"
"5","Brian Burns (NYG)","4","4","1","0","0","0","0","0","1","18.0","18.0","27.9%"
"6","Alim McNeill (DET)","2","2","2","0","0","0","0","0","1","17.5","17.5","2.0%"
"7","Trey Hendrickson (CIN)","2","0","2","0","0","0","0","0","1","16.0","16.0","28.1%"
"8","Travis Jones (BAL)","3","1","1","0","0","0","0","0","1","14.3","14.3","0.7%"
"9","Mario Edwards Jr. (HOU)","3","5","0","1","0","0","1","0","1","13.8","13.8","0.1%"
"10","Will McDonald IV (NYJ)","2","0","1","0","0","1","0","0","1","13.5","13.5","9.5%"
"11","Jonathon Cooper (DEN)","4","2","0.5","0","0","1","0","0","1","13.5","13.5","10.4%"
"12","Danielle Hunter (HOU)","1","1","1","0","0","1","0","0","1","12.8","12.8","45.7%"
"13","Josh Sweat (PHI)","3","2","1","0","0","0","0","0","1","12.5","12.5","4.7%"
"14","DeMarcus Walker (CHI)","4","0","1","0","0","0","0","0","1","12.5","12.5","1.1%"
"15","Calijah Kancey (TB)","2","0","1","0","0","0","0","0","1","12.0","12.0","2.0%"
"16","Cameron Heyward (PIT)","3","1","1","0","0","0","0","0","1","11.8","11.8","11.3%"
"17","Vita Vea (TB)","3","1","1","0","0","0","0","0","1","11.8","11.8","4.1%"
"18","Grady Jarrett (ATL)","4","0","0","0","0","0","0","0","1","11.0","11.0","2.2%"
"19","Myles Garrett (CLE)","4","0","0","0","0","0","0","0","1","11.0","11.0","46.5%"
"20","Maxx Crosby (LV)","2","1","0.5","0","0","0","0","0","1","10.8","10.8","60.7%"
"21","Chauncey Golston (DAL)","3","2","0.5","0","0","0","0","0","1","10.5","10.5","9.0%"
"22","B.J. Hill (CIN)","3","4","0","2","0","0","0","0","1","10.5","10.5","1.9%"
"23","Dexter Lawrence II (NYG)","2","1","1","0","0","0","0","0","1","10.3","10.3","18.4%"
"24","Jaquelin Roy (NE)","2","1","1","0","0","0","0","0","1","10.3","10.3","0.1%"
"25","Karl Brooks (GB)","1","0","0","0","0","1","1","0","1","9.5","9.5","0.7%"
"26","Aidan Hutchinson (DET)","1","2","1","0","0","0","0","0","1","9.5","9.5","36.9%"
"27","DaQuan Jones (BUF)","2","0","1","0","0","0","0","0","1","9.5","9.5","0.1%"
"28","William Gholston (TB)","1","2","1","0","0","0","0","0","1","9.5","9.5","3.0%"
"29","Sam Okuayinonu (SF)","2","0","1","0","0","0","0","0","1","9.5","9.5","0.6%"
"30","Brandon Graham (PHI)","4","1","0","0","0","0","0","0","1","9.3","9.3","0.3%"
"31","Davon Godchaux (NE)","4","4","0","0","0","0","0","0","1","9.0","9.0","1.7%"
"32","Johnathan Hankins (SEA)","3","2","0","0","0","0","0","0","1","8.5","8.5","0.1%"
"33","Shelby Harris (CLE)","4","3","0","0","0","0","0","0","1","8.3","8.3","0.6%"
"34","Chris Williams (CHI)","1","0","1","0","0","0","0","0","1","8.0","8.0","0.0%"
"35","Morgan Fox (LAC)","1","0","1","0","0","0","0","0","1","8.0","8.0","0.1%"
"36","Khalil Davis (SF)","2","0","0","0","0","0","0","0","1","8.0","8.0","0.1%"
"37","Roy Robertson-Harris (SEA)","1","0","1","0","0","0","0","0","1","8.0","8.0","0.1%"
"38","K'Lavon Chaisson (LV)","1","0","1","0","0","0","0","0","1","8.0","8.0","0.0%"
"39","Nik Bonitto (DEN)","1","0","1","0","0","0","0","0","1","8.0","8.0","3.7%"
"40","Yannick Ngakoue (NE)","1","0","1","0","0","0","0","0","1","8.0","8.0","2.0%"
"41","Jalen Carter (PHI)","1","0","1","0","0","0","0","0","1","8.0","8.0","12.7%"
"42","Nolan Smith Jr. (PHI)","2","1","1","0","0","0","0","0","1","7.8","7.8","1.9%"
"43","Leonard Williams (SEA)","3","1","0","0","0","0","0","0","1","7.8","7.8","6.2%"
"44","Keeanu Benton (PIT)","1","1","0","1","0","0","1","0","1","7.8","7.8","0.3%"
"45","Quinnen Williams (NYJ)","2","1","1","0","0","0","0","0","1","7.8","7.8","15.0%"
"46","Cameron Jordan (NO)","0","1","0","1","1","0","0","0","1","7.3","7.3","1.5%"
"47","Roy Lopez (ARI)","2","2","0","0","0","0","0","0","1","7.0","7.0","0.7%"
"48","Maason Smith (JAC)","1","0","1","1","0","0","0","0","1","7.0","7.0","1.1%"
"49","Jeffery Simmons (TEN)","3","0","0","0","0","0","0","0","1","7.0","7.0","18.7%"
"50","Maurice Hurst II Jr. (CLE)","3","0","0","0","0","0","0","0","1","7.0","7.0","0.1%"
"51","Naquan Jones (ARI)","2","5","0","0","0","0","0","0","1","6.8","6.8","0.1%"
"52","John Jenkins (LV)","1","4","0.5","0","0","0","0","0","1","6.5","6.5","0.8%"
"53","Jordan Davis (PHI)","2","1","0","0","0","0","0","0","1","6.3","6.3","1.2%"
"54","Teair Tart (LAC)","1","1","0","0","0","0","1","0","1","6.3","6.3","0.0%"
"55","Nathan Shepherd (NO)","2","1","0","0","0","0","0","0","1","6.3","6.3","0.2%"
"56","Greg Rousseau (BUF)","2","1","0","0","0","0","0","0","1","6.3","6.3","18.9%"
"57","Clelin Ferrell (WAS)","1","3","0","0","0","0","0","0","1","6.3","6.3","0.2%"
"58","Grover Stewart (IND)","2","2","0","1","0","0","0","0","1","6.0","6.0","5.2%"
"59","Keion White (NE)","0","4","0","2","0","0","0","0","1","6.0","6.0","17.9%"
"60","Adam Butler (LV)","3","2","0","0","0","0","0","0","1","6.0","6.0","7.3%"
"61","Malcolm Roach (DEN)","2","2","0","1","0","0","0","0","1","6.0","6.0","0.1%"
