"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"82","Case Keenum (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Joe Flacco (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.4%"
"84","Josh Johnson (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"85","Taysom Hill (NO)","1","2","50.0","18","9.0","0","1","0","7","138","3","1","1","0.0","0.0","45.2%"
"86","Mason Rudolph (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"87","Baker Mayfield (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84.1%"
"88","Logan Woodside (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"89","Mike White (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Mitchell Trubisky (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"91","Deshaun Watson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.6%"
"92","Nathan Peterman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Joshua Dobbs (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"94","C.J. Beathard (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Nick Mullens (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"96","Brett Rypien (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Easton Stick (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"98","Jake Browning (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"99","Will Grier (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Kyler Murray (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.5%"
"101","Jarrett Stidham (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"102","Alex McGough (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Tim Boyle (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Kyle Allen (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Drew Lock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"106","Marcus Mariota (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"107","Jimmy Garoppolo (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"108","Brett Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Taylor Heinicke (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Jeff Driskel (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Jacoby Brissett (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"112","Brandon Allen (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.1%"
"113","Dak Prescott (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61.0%"
"114","Carson Wentz (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"115","Trevor Siemian (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Jake Haener (NO)","0","0","0","0","0","0","0","0","2","-2","0","0","1","-0.2","-0.2","0.0%"
""
""
