"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jared Goff (DET)","24","29","82.8","412","14.2","4","0","0","4","21","0","0","1","34.6","34.6","79.5%"
"2","Joe Burrow (CIN)","28","50","56.0","356","7.1","3","0","3","2","28","0","0","1","29.0","29.0","97.3%"
"3","Bo Nix (DEN)","28","33","84.8","307","9.3","4","0","1","2","5","0","0","1","28.8","28.8","64.4%"
"4","Anthony Richardson (IND)","20","30","66.7","272","9.1","1","0","2","10","32","2","1","1","28.1","28.1","62.6%"
"5","Matthew Stafford (LAR)","18","27","66.7","295","10.9","4","0","0","4","0","0","0","1","27.8","27.8","51.3%"
"6","Jameis Winston (CLE)","30","46","65.2","395","8.6","2","0","3","1","8","0","0","1","26.6","26.6","13.1%"
"7","Josh Allen (BUF)","27","40","67.5","262","6.6","1","1","0","12","55","1","0","1","25.0","25.0","99.7%"
"8","Justin Herbert (LAC)","17","36","47.2","297","8.3","2","0","2","5","65","0","1","1","24.4","24.4","64.8%"
"9","Sam Darnold (MIN)","20","32","62.5","246","7.7","2","0","2","8","18","1","1","1","23.6","23.6","66.1%"
"10","Tua Tagovailoa (MIA)","28","36","77.8","288","8.0","3","0","2","0","0","0","0","1","23.5","23.5","62.7%"
"11","Jordan Love (GB)","13","17","76.5","261","15.4","1","1","1","4","18","1","0","1","21.2","21.2","88.1%"
"12","Brock Purdy (SF)","21","28","75.0","159","5.7","1","1","2","5","40","1","0","1","19.4","19.4","91.5%"
"13","Drake Maye (NE)","29","39","74.4","282","7.2","2","1","3","3","27","0","1","1","19.0","19.0","21.5%"
"14","Gardner Minshew II (LV)","30","43","69.8","282","6.6","2","1","3","2","7","0","0","1","19.0","19.0","5.3%"
"15","Derek Carr (NO)","21","27","77.8","248","9.2","2","0","1","1","8","0","0","1","18.7","18.7","27.5%"
"16","Jalen Hurts (PHI)","18","28","64.3","221","7.9","0","0","2","10","39","1","0","1","18.7","18.7","99.7%"
"17","Patrick Mahomes II (KC)","23","33","69.7","196","5.9","3","2","2","0","0","0","0","1","17.8","17.8","97.8%"
"18","Cooper Rush (DAL)","32","55","58.2","354","6.4","1","1","5","2","2","0","0","1","17.4","17.4","4.2%"
"19","Geno Smith (SEA)","25","32","78.1","221","6.9","0","1","4","4","29","1","0","1","16.7","16.7","59.2%"
"20","Will Levis (TEN)","17","31","54.8","295","9.5","1","1","5","7","18","0","0","1","16.6","16.6","9.4%"
"21","Caleb Williams (CHI)","23","31","74.2","231","7.5","0","0","3","9","70","0","0","1","16.2","16.2","51.0%"
"22","Aaron Rodgers (NYJ)","22","29","75.9","184","6.3","2","0","3","1","7","0","0","1","16.1","16.1","45.1%"
"23","Lamar Jackson (BAL)","16","33","48.5","207","6.3","1","1","2","4","46","0","0","1","15.9","15.9","99.8%"
"24","Jayden Daniels (WAS)","22","32","68.8","191","6.0","1","1","3","7","18","0","0","1","14.4","14.4","98.1%"
"25","C.J. Stroud (HOU)","23","34","67.6","257","7.6","0","1","1","3","26","0","0","1","11.9","11.9","93.6%"
"26","Russell Wilson (PIT)","23","36","63.9","205","5.7","0","1","4","4","1","0","0","1","7.3","7.3","38.3%"
"27","Kirk Cousins (ATL)","18","27","66.7","173","6.4","0","1","3","1","0","0","0","1","5.9","5.9","63.9%"
"28","Mac Jones (JAC)","17","29","58.6","138","4.8","0","1","1","2","7","0","0","1","5.2","5.2","1.8%"
"29","Hendon Hooker (DET)","3","4","75.0","37","9.3","0","0","0","4","3","0","0","1","1.8","1.8","0.2%"
"30","Justin Fields (PIT)","0","0","0","0","0","0","0","0","2","17","0","0","1","1.7","1.7","11.1%"
"31","Michael Penix Jr. (ATL)","2","4","50.0","24","6.0","0","0","1","0","0","0","0","1","1.0","1.0","1.9%"
"32","Bryce Young (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.2%"
"33","Davis Mills (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"34","Kenny Pickett (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"35","Zach Wilson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"36","Trevor Lawrence (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.3%"
"37","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"38","Sam Ehlinger (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Sean Clifford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","Jake Fromm (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"41","Tyler Huntley (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"42","Shane Buechele (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Dorian Thompson-Robinson (CLE)","0","1","0.0","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"44","Desmond Ridder (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"45","Feleipe Franks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Trey Lance (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"47","Malik Cunningham (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"48","Tyson Bagent (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"49","Jordan Travis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"50","Tanner Mordecai (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Tommy DeVito (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.0%"
"52","Clayton Tune (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Tanner McKee (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Michael Pratt (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","John Rhys Plumlee (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"56","Joe Milton III (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"57","Austin Reed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Carter Bradley (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Jack Plummer (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Jason Bean (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Devin Leary (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Kedon Slovis (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Malik Willis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"64","Adrian Martinez (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","J.J. McCarthy (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"66","Sam Howell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"67","Spencer Rattler (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"68","Aidan O'Connell (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"69","Sam Hartman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Chris Oladokun (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Anthony Brown Jr. (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"72","Stetson Bennett (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Bailey Zappe (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Jaren Hall (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Skylar Thompson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"76","Andy Dalton (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.1%"
"77","Tyrod Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"78","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"81","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
