"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Jonathan Greenard (MIN)","3","1","3","0","0","0","0","0","1","24.8","24.8","17.3%"
"2","Carl Granderson (NO)","4","1","1.5","0","0","1","0","0","1","21.8","21.8","12.4%"
"3","Derick Hall (SEA)","4","1","2","0","0","1","0","0","1","21.3","21.3","3.3%"
"4","Byron Young (LAR)","2","2","1","1","0","1","0","0","1","19.0","19.0","15.8%"
"5","Devonte Wyatt (GB)","3","1","2","0","0","0","0","0","1","18.3","18.3","1.1%"
"6","Dondrea Tillman (DEN)","3","0","2","0","0","0","0","0","1","17.5","17.5","0.0%"
"7","Brian Burns (NYG)","2","1","1","2","0","1","0","0","1","17.3","17.3","27.9%"
"8","Zach Sieler (MIA)","2","1","1","1","1","0","0","0","1","16.8","16.8","7.3%"
"9","Tim Settle Jr. (HOU)","2","1","2","0","0","0","0","0","1","16.8","16.8","0.6%"
"10","Kingsley Enagbare (GB)","1","3","1.5","0","0","1","0","0","1","16.3","16.3","0.1%"
"11","Bryan Bresee (NO)","2","0","2","0","0","0","0","0","1","16.0","16.0","0.9%"
"12","Dre'Mont Jones (SEA)","2","2","1","0","0","1","0","0","1","15.0","15.0","0.7%"
"13","Cameron Heyward (PIT)","3","1","1","0","0","0","0","0","1","14.3","14.3","11.3%"
"14","Dexter Lawrence II (NYG)","2","1","2","0","0","0","0","0","1","14.3","14.3","18.4%"
"15","Elijah Chatman (NYG)","2","1","1","0","0","0","1","0","1","14.3","14.3","0.1%"
"16","Aidan Hutchinson (DET)","4","2","1","0","0","0","0","0","1","14.0","14.0","36.9%"
"17","Montez Sweat (CHI)","2","2","1","0","0","0","0","0","1","13.5","13.5","15.6%"
"18","Felix Anudike-Uzomah (KC)","2","0","1","0","0","1","0","0","1","13.5","13.5","0.2%"
"19","Will McDonald IV (NYJ)","1","2","2","0","0","0","0","0","1","13.5","13.5","9.5%"
"20","Boye Mafe (SEA)","3","1","1","1","0","0","0","0","1","13.3","13.3","9.6%"
"21","Joshua Uche (KC)","4","1","1","0","0","0","0","0","1","13.3","13.3","0.1%"
"22","Jalen Carter (PHI)","3","1","0","2","0","0","0","0","1","13.3","13.3","12.7%"
"23","Da'Shawn Hand (MIA)","3","2","1","0","0","0","0","0","1","12.5","12.5","0.2%"
"24","Lukas Van Ness (GB)","1","0","1","0","0","0","1","0","1","12.0","12.0","2.1%"
"25","Laiatu Latu (IND)","1","0","1","0","0","1","0","0","1","12.0","12.0","6.2%"
"26","LaBryan Ray (CAR)","3","1","1","0","0","0","0","0","1","11.8","11.8","0.2%"
"27","Jeffery Simmons (TEN)","2","3","1","0","0","0","0","0","1","11.8","11.8","18.7%"
"28","Dante Stills (ARI)","2","3","1","0","0","0","0","0","1","11.8","11.8","1.3%"
"29","Jayden Peevy (HOU)","2","1","1","1","0","0","0","0","1","11.8","11.8","0.0%"
"30","Derek Barnett (HOU)","2","1","1","0","0","1","0","0","1","11.8","11.8","0.2%"
"31","Shelby Harris (CLE)","2","4","0","1","0","1","0","0","1","11.5","11.5","0.6%"
"32","Calais Campbell (MIA)","1","2","1","1","0","0","0","0","1","11.0","11.0","6.4%"
"33","Jordan Davis (PHI)","2","2","1","0","0","0","0","0","1","11.0","11.0","1.2%"
"34","Kwity Paye (IND)","3","2","0.5","0","0","0","0","0","1","10.5","10.5","3.2%"
"35","Javon Hargrave (SF)","2","1","1","0","0","0","0","0","1","10.3","10.3","1.9%"
"36","Jeremiah Ledbetter (JAC)","3","1","0","0","0","0","0","0","1","10.3","10.3","0.1%"
"37","Jarran Reed (SEA)","1","3","1","0","0","0","0","0","1","10.3","10.3","1.6%"
"38","Jonathon Cooper (DEN)","2","1","1","0","0","0","0","0","1","10.3","10.3","10.4%"
"39","Jonathan Bullard (MIN)","2","2","0","0","0","0","0","0","1","9.5","9.5","0.3%"
"40","Quinnen Williams (NYJ)","2","0","1","0","0","0","0","0","1","9.5","9.5","15.0%"
"41","Tuli Tuipulotu (LAC)","2","2","0","0","0","0","0","0","1","9.5","9.5","5.0%"
"42","Zach Allen (DEN)","1","2","1","0","0","0","0","0","1","9.5","9.5","15.2%"
"43","Taven Bryan (IND)","1","0","1","1","0","0","0","0","1","9.5","9.5","0.0%"
"44","A.J. Epenesa (BUF)","2","0","1","0","0","0","0","0","1","9.5","9.5","2.1%"
"45","Deatrich Wise Jr. (NE)","1","2","1","0","0","0","0","0","1","9.5","9.5","0.7%"
"46","John Franklin-Myers (DEN)","1","1","1","0","0","0","0","0","1","8.8","8.8","0.5%"
"47","Will Anderson Jr. (HOU)","1","1","1","0","0","0","0","0","1","8.8","8.8","30.7%"
"48","Jadeveon Clowney (CAR)","1","1","1","0","0","0","0","0","1","8.8","8.8","6.7%"
"49","Nik Bonitto (DEN)","2","0","1","1","0","0","0","0","1","8.5","8.5","3.7%"
"50","Tyquan Lewis (IND)","4","0","0","0","0","0","0","0","1","8.5","8.5","0.3%"
"51","David Onyemata (ATL)","3","2","0","0","0","0","0","0","1","8.5","8.5","1.1%"
"52","Keion White (NE)","5","1","0","0","0","0","0","0","1","8.3","8.3","17.9%"
"53","Adetomiwa Adebawore (IND)","1","0","1","0","0","0","0","0","1","8.0","8.0","0.1%"
"54","Javontae Jean-Baptiste (WAS)","1","0","1","0","0","0","0","0","1","8.0","8.0","0.0%"
