"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jaxon Smith-Njigba (SEA)","7","13","180","25.7","46","5","2","0","0","0","0","1","30.0","30.0","87.3%"
"2","Zay Flowers (BAL)","5","6","127","25.4","53","3","2","0","0","0","0","1","24.7","24.7","96.5%"
"3","Demarcus Robinson (LAR)","6","9","94","15.7","39","2","2","0","0","0","0","1","21.4","21.4","35.1%"
"4","Garrett Wilson (NYJ)","9","10","90","10.0","26","2","2","0","0","0","0","1","21.0","21.0","99.4%"
"5","DeAndre Hopkins (KC)","8","9","86","10.8","35","1","2","0","0","0","0","1","20.6","20.6","89.4%"
"6","Quentin Johnston (LAC)","4","5","118","29.5","66","3","1","1","2","0","0","1","18.0","18.0","56.2%"
"7","Courtland Sutton (DEN)","7","10","122","17.4","33","3","0","0","0","0","0","1","16.3","16.3","85.9%"
"8","Davante Adams (NYJ)","7","11","91","13.0","37","1","1","0","0","0","0","1","15.1","15.1","98.8%"
"9","Darnell Mooney (ATL)","5","9","88","17.6","36","2","1","0","0","0","0","1","14.8","14.8","75.9%"
"10","DeVonta Smith (PHI)","4","6","87","21.8","46","2","1","0","0","0","0","1","14.7","14.7","95.6%"
"11","Justin Jefferson (MIN)","7","9","137","19.6","41","5","0","0","0","0","0","1","14.6","14.6","99.8%"
"12","Terry McLaurin (WAS)","2","3","19","9.5","18","0","2","0","0","0","0","1","13.9","13.9","94.1%"
"13","Cedric Tillman (CLE)","6","11","75","12.5","17","0","1","0","0","0","0","1","13.5","13.5","63.2%"
"14","Tank Dell (HOU)","6","9","126","21.0","50","2","0","0","0","0","0","1","12.6","12.6","91.5%"
"15","Joshua Palmer (LAC)","2","4","63","31.5","28","2","1","0","0","0","0","1","12.3","12.3","15.6%"
"16","Tyler Lockett (SEA)","3","4","63","21.0","30","2","1","0","0","0","0","1","12.3","12.3","63.2%"
"17","Amon-Ra St. Brown (DET)","7","7","56","8.0","26","1","1","0","0","0","0","1","11.6","11.6","99.8%"
"18","Jayden Reed (GB)","5","6","113","22.6","41","3","0","0","0","0","0","1","11.3","11.3","92.9%"
"19","Jordan Addison (MIN)","5","5","42","8.4","21","1","1","1","9","0","0","1","11.1","11.1","77.1%"
"20","Nick Westbrook-Ikhine (TEN)","5","6","50","10.0","14","0","1","0","0","0","0","1","11.0","11.0","11.2%"
"21","Jakobi Meyers (LV)","8","11","105","13.1","23","3","0","0","0","0","0","1","10.5","10.5","64.9%"
"22","Cooper Kupp (LAR)","11","14","104","9.5","23","1","0","0","0","0","0","1","10.4","10.4","98.7%"
"23","Rome Odunze (CHI)","5","7","104","20.8","44","1","0","0","0","0","0","1","10.4","10.4","68.4%"
"24","Xavier Legette (CAR)","4","6","33","8.3","26","1","1","1","6","0","0","1","9.9","9.9","39.8%"
"25","Ray-Ray McCloud III (ATL)","3","3","28","9.3","11","0","1","1","7","0","0","1","9.5","9.5","16.1%"
"26","Mack Hollins (BUF)","5","5","30","6.0","13","0","1","0","0","0","0","1","9.0","9.0","0.9%"
"27","Drake London (ATL)","2","2","27","13.5","18","0","1","0","0","0","0","1","8.7","8.7","99.0%"
"28","CeeDee Lamb (DAL)","8","12","47","5.9","10","0","0","2","15","0","0","1","8.2","8.2","99.8%"
"29","Tyreek Hill (MIA)","4","5","80","20.0","28","2","0","0","0","0","0","1","8.0","8.0","99.6%"
"30","Jalen Tolbert (DAL)","3","6","19","6.3","12","0","1","0","0","0","0","1","7.9","7.9","16.0%"
"31","Calvin Ridley (TEN)","5","8","73","14.6","25","1","0","0","0","0","0","1","7.3","7.3","84.9%"
"32","Jerry Jeudy (CLE)","7","11","73","10.4","13","0","0","0","0","0","0","1","7.3","7.3","58.7%"
"33","Andrei Iosivas (CIN)","1","4","10","10.0","10","0","1","0","0","0","0","1","7.0","7.0","4.0%"
"34","Sterling Shepard (TB)","4","5","48","12.0","18","0","0","2","21","0","0","1","6.9","6.9","8.2%"
"35","Jalen Nailor (MIN)","1","1","7","7.0","7","0","1","0","0","0","0","1","6.7","6.7","9.4%"
"36","Ladd McConkey (LAC)","5","7","64","12.8","20","1","0","0","0","0","0","1","6.4","6.4","84.7%"
"37","Ryan Miller (TB)","1","3","1","1.0","1","0","1","0","0","0","0","1","6.1","6.1","0.0%"
"38","Noah Brown (WAS)","5","6","60","12.0","31","1","0","0","0","0","0","1","6.0","6.0","8.4%"
"39","Josh Downs (IND)","6","9","60","10.0","16","0","0","0","0","0","0","1","6.0","6.0","63.4%"
"40","Darius Slayton (NYG)","3","3","49","16.3","23","1","0","1","11","0","0","1","6.0","6.0","13.9%"
"41","Malik Nabers (NYG)","9","11","59","6.6","16","0","0","0","0","0","0","1","5.9","5.9","98.5%"
"42","Christian Watson (GB)","3","7","37","12.3","19","0","0","0","0","0","0","1","5.7","5.7","56.2%"
"43","Jaylen Waddle (MIA)","2","2","-4","-2.0","12","0","1","0","0","0","0","1","5.6","5.6","87.8%"
"44","Khalil Shakir (BUF)","6","7","50","8.3","14","0","0","0","0","0","0","1","5.0","5.0","77.7%"
"45","Olamide Zaccheaus (WAS)","2","2","48","24.0","42","1","0","0","0","0","0","1","4.8","4.8","0.6%"
"46","Cody White (SEA)","2","3","44","22.0","28","1","0","0","0","0","0","1","4.4","4.4","0.0%"
"47","Robert Woods (HOU)","2","3","44","22.0","32","1","0","0","0","0","0","1","4.4","4.4","1.4%"
"48","Ja'Marr Chase (CIN)","7","11","43","6.1","11","0","0","0","0","0","0","1","4.3","4.3","99.8%"
"49","Justin Watson (KC)","3","4","43","14.3","19","0","0","0","0","0","0","1","4.3","4.3","0.7%"
