"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Ja'Marr Chase (CIN)","11","17","264","24.0","70","4","3","0","0","0","0","1","44.4","44.4","99.8%"
"2","Marquez Valdes-Scantling (NO)","3","3","109","36.3","67","2","2","0","0","0","0","1","22.9","22.9","17.7%"
"3","Calvin Ridley (TEN)","5","9","84","16.8","41","1","2","0","0","0","0","1","20.4","20.4","84.9%"
"4","Tylan Wallace (BAL)","3","3","115","38.3","84","2","1","0","0","0","0","1","17.5","17.5","0.2%"
"5","George Pickens (PIT)","5","7","91","18.2","34","2","1","1","4","0","0","1","15.5","15.5","95.0%"
"6","Alec Pierce (IND)","4","7","81","20.3","32","2","1","0","0","0","0","1","14.1","14.1","23.7%"
"7","John Metchie III (HOU)","5","6","74","14.8","25","1","1","0","0","0","0","1","13.4","13.4","1.0%"
"8","Ricky Pearsall (SF)","4","6","73","18.3","46","1","1","0","0","0","0","1","13.3","13.3","38.9%"
"9","Courtland Sutton (DEN)","6","9","70","11.7","32","1","1","0","0","0","0","1","13.0","13.0","85.9%"
"10","Amon-Ra St. Brown (DET)","6","8","60","10.0","15","0","1","0","0","0","0","1","12.0","12.0","99.8%"
"11","Marvin Harrison Jr. (ARI)","5","5","54","10.8","18","0","1","0","0","0","0","1","11.4","11.4","97.9%"
"12","Rashod Bateman (BAL)","6","8","54","9.0","15","0","1","0","0","0","0","1","11.4","11.4","31.0%"
"13","Terry McLaurin (WAS)","5","6","113","22.6","54","2","0","0","0","0","0","1","11.3","11.3","94.1%"
"14","A.J. Brown (PHI)","5","7","109","21.8","44","2","0","0","0","0","0","1","10.9","10.9","99.6%"
"15","Devaughn Vele (DEN)","4","4","39","9.8","13","0","1","0","0","0","0","1","9.9","9.9","5.1%"
"16","Puka Nacua (LAR)","9","14","98","10.9","21","1","0","0","0","0","0","1","9.8","9.8","97.7%"
"17","Drake London (ATL)","8","13","97","12.1","20","1","0","0","0","0","0","1","9.7","9.7","99.0%"
"18","Darnell Mooney (ATL)","5","9","96","19.2","33","2","0","0","0","0","0","1","9.6","9.6","75.9%"
"19","Malik Washington (MIA)","1","2","17","17.0","17","0","0","1","18","1","0","1","9.5","9.5","1.2%"
"20","Jauan Jennings (SF)","7","11","93","13.3","30","1","0","0","0","0","0","1","9.3","9.3","72.3%"
"21","Mike Williams (PIT)","1","1","32","32.0","32","1","1","0","0","0","0","1","9.2","9.2","20.7%"
"22","Tyreek Hill (MIA)","3","4","16","5.3","12","0","1","2","11","0","0","1","8.7","8.7","99.6%"
"23","Mack Hollins (BUF)","4","4","86","21.5","44","1","0","0","0","0","0","1","8.6","8.6","0.9%"
"24","Quentin Johnston (LAC)","2","2","24","12.0","16","0","1","0","0","0","0","1","8.4","8.4","56.2%"
"25","Cooper Kupp (LAR)","7","7","80","11.4","19","0","0","0","0","0","0","1","8.0","8.0","98.7%"
"26","Deebo Samuel Sr. (SF)","5","6","62","12.4","32","1","0","3","14","0","0","1","7.6","7.6","98.2%"
"27","Josh Downs (IND)","7","10","72","10.3","21","1","0","0","0","0","0","1","7.2","7.2","63.4%"
"28","Adonai Mitchell (IND)","6","6","71","11.8","18","0","0","0","0","0","0","1","7.1","7.1","9.3%"
"29","Nelson Agholor (BAL)","1","2","6","6.0","6","0","1","0","0","0","0","1","6.6","6.6","0.4%"
"30","Johnny Wilson (PHI)","1","1","5","5.0","5","0","1","0","0","0","0","1","6.5","6.5","0.1%"
"31","Ja'Lynn Polk (NE)","1","1","2","2.0","2","0","1","0","0","0","0","1","6.2","6.2","6.2%"
"32","Khalil Shakir (BUF)","6","9","58","9.7","30","1","0","0","0","0","0","1","5.8","5.8","77.7%"
"33","Jaylen Waddle (MIA)","3","6","57","19.0","36","1","0","1","-1","0","0","1","5.6","5.6","87.8%"
"34","DeAndre Hopkins (KC)","4","5","56","14.0","31","1","0","0","0","0","0","1","5.6","5.6","89.4%"
"35","Jameson Williams (DET)","3","5","53","17.7","23","1","0","0","0","0","0","1","5.3","5.3","82.6%"
"36","Ladd McConkey (LAC)","2","2","52","26.0","37","1","0","0","0","0","0","1","5.2","5.2","84.7%"
"37","Wan'Dale Robinson (NYG)","5","8","51","10.2","23","1","0","0","0","0","0","1","5.1","5.1","49.8%"
"38","DeMario Douglas (NE)","4","5","50","12.5","17","0","0","0","0","0","0","1","5.0","5.0","23.1%"
"39","Malik Nabers (NYG)","6","10","50","8.3","19","0","0","1","-2","0","0","1","4.8","4.8","98.5%"
"40","Justin Jefferson (MIN)","5","9","48","9.6","15","0","0","0","0","0","0","1","4.8","4.8","99.8%"
"41","Kayshon Boutte (NE)","4","6","47","11.8","23","1","0","0","0","0","0","1","4.7","4.7","3.4%"
"42","Keenan Allen (CHI)","5","6","44","8.8","12","0","0","0","0","0","0","1","4.4","4.4","70.3%"
"43","Jalen Coker (CAR)","3","8","41","13.7","24","1","0","0","0","0","0","1","4.1","4.1","5.9%"
"44","Garrett Wilson (NYJ)","5","6","41","8.2","12","0","0","0","0","0","0","1","4.1","4.1","99.4%"
"45","Xavier Legette (CAR)","3","4","40","13.3","23","1","0","0","0","0","0","1","4.0","4.0","39.8%"
"46","Jalin Hyatt (NYG)","4","4","39","9.8","19","0","0","0","0","0","0","1","3.9","3.9","2.2%"
"47","Ray-Ray McCloud III (ATL)","3","4","30","10.0","20","1","0","1","6","0","0","1","3.6","3.6","16.1%"
"48","Kevin Austin Jr. (NO)","2","2","36","18.0","22","1","0","0","0","0","0","1","3.6","3.6","0.0%"
"49","Joshua Palmer (LAC)","1","2","36","36.0","36","1","0","0","0","0","0","1","3.6","3.6","15.6%"
"50","Curtis Samuel (BUF)","4","8","35","8.8","17","0","0","0","0","0","0","1","3.5","3.5","10.9%"
"51","Zay Flowers (BAL)","4","6","34","8.5","19","0","0","0","0","0","0","1","3.4","3.4","96.5%"
"52","Tank Dell (HOU)","5","9","39","7.8","13","0","0","1","-6","0","0","1","3.3","3.3","91.5%"
"53","Noah Brown (WAS)","3","7","33","11.0","14","0","0","0","0","0","0","1","3.3","3.3","8.4%"
"54","Davante Adams (NYJ)","6","13","31","5.2","14","0","0","0","0","0","0","1","3.1","3.1","98.8%"
"55","Nick Westbrook-Ikhine (TEN)","3","3","31","10.3","13","0","0","0","0","0","0","1","3.1","3.1","11.2%"
"56","Marvin Mims Jr. (DEN)","4","4","13","3.3","6","0","0","3","17","0","0","1","3.0","3.0","2.8%"
"57","Jordan Addison (MIN)","2","5","25","12.5","21","1","0","1","4","0","0","1","2.9","2.9","77.1%"
"58","Andrei Iosivas (CIN)","2","4","29","14.5","19","0","0","0","0","0","0","1","2.9","2.9","4.0%"
"59","DJ Moore (CHI)","3","6","24","8.0","18","0","0","1","3","0","0","1","2.7","2.7","94.0%"
"60","Jahan Dotson (PHI)","1","1","27","27.0","27","1","0","0","0","0","0","1","2.7","2.7","7.4%"
"61","Tyler Johnson (LAR)","3","4","25","8.3","10","0","0","0","0","0","0","1","2.5","2.5","10.0%"
"62","CeeDee Lamb (DAL)","6","10","21","3.5","6","0","0","1","3","0","0","1","2.4","2.4","99.8%"
"63","Michael Wilson (ARI)","3","4","24","8.0","11","0","0","0","0","0","0","1","2.4","2.4","13.2%"
"64","Luke McCaffrey (WAS)","1","3","23","23.0","23","1","0","0","0","0","0","1","2.3","2.3","2.7%"
"65","Lil'Jordan Humphrey (DEN)","2","3","23","11.5","20","1","0","0","0","0","0","1","2.3","2.3","1.1%"
"66","Demarcus Robinson (LAR)","1","5","23","23.0","23","1","0","0","0","0","0","1","2.3","2.3","35.1%"
"67","Bryce Oliver (TEN)","2","2","23","11.5","19","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"68","Rome Odunze (CHI)","3","6","23","7.7","11","0","0","0","0","0","0","1","2.3","2.3","68.4%"
"69","Derius Davis (LAC)","1","1","17","17.0","17","0","0","1","6","0","0","1","2.3","2.3","0.3%"
"70","Calvin Austin III (PIT)","2","6","20","10.0","13","0","0","0","0","0","0","1","2.0","2.0","1.8%"
"71","Gabe Davis (JAC)","1","4","19","19.0","19","0","0","0","0","0","0","1","1.9","1.9","26.2%"
"72","David Moore (CAR)","2","4","18","9.0","13","0","0","0","0","0","0","1","1.8","1.8","0.1%"
"73","Odell Beckham Jr. (MIA)","2","2","17","8.5","11","0","0","0","0","0","0","1","1.7","1.7","3.7%"
"74","Jalen Tolbert (DAL)","3","5","14","4.7","9","0","0","0","0","0","0","1","1.4","1.4","16.0%"
"75","DeVonta Smith (PHI)","2","3","14","7.0","9","0","0","0","0","0","0","1","1.4","1.4","95.6%"
"76","Brian Thomas Jr. (JAC)","2","3","12","6.0","10","0","0","0","0","0","0","1","1.2","1.2","88.2%"
"77","Trent Sherfield Sr. (MIN)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.1%"
"78","Jermaine Burton (CIN)","1","5","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","2.1%"
"79","Xavier Worthy (KC)","1","4","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","81.4%"
"80","Ryan Miller (TB)","1","3","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.0%"
