"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","DeMarvion Overshown (DAL)","7","4","2","0","0","0","0","0","1","26.5","26.5","8.7%"
"2","Daiyan Henley (LAC)","10","4","1","0","0","0","0","0","1","24.5","24.5","19.4%"
"3","Bud Dupree (LAC)","4","1","2","0","0","1","0","0","1","23.8","23.8","0.7%"
"4","Zack Baun (PHI)","3","5","0","0","0","2","1","0","1","22.8","22.8","75.1%"
"5","T.J. Edwards (CHI)","7","5","0","1","1","0","0","0","1","20.8","20.8","68.0%"
"6","Josey Jewell (CAR)","2","4","0","2","1","0","1","0","1","20.5","20.5","16.4%"
"7","Jamien Sherwood (NYJ)","7","10","0","0","0","0","0","0","1","20.5","20.5","20.1%"
"8","Quincy Williams (NYJ)","3","7","1","0","0","1","0","0","1","20.3","20.3","38.8%"
"9","Foyesade Oluokun (JAC)","6","5","0","1","1","0","0","0","1","19.3","19.3","68.7%"
"10","Anfernee Jennings (NE)","4","0","2","0","0","0","0","0","1","19.0","19.0","23.9%"
"11","Devin Lloyd (JAC)","9","7","0","0","0","0","0","0","1","18.8","18.8","18.1%"
"12","Azeez Al-Shaair (HOU)","5","3","0","0","0","1","0","0","1","18.8","18.8","28.3%"
"13","Jack Gibbens (TEN)","10","5","0","0","0","0","0","0","1","18.8","18.8","3.7%"
"14","Jahlani Tavai (NE)","6","2","1","1","0","0","0","0","1","18.5","18.5","6.0%"
"15","Micah Parsons (DAL)","2","0","2","0","0","1","0","0","1","17.5","17.5","49.6%"
"16","Roquan Smith (BAL)","6","6","0","0","0","0","1","0","1","17.5","17.5","92.0%"
"17","Patrick Queen (PIT)","6","1","0","1","0","0","0","0","1","16.3","16.3","33.9%"
"18","Henry To'oTo'o (HOU)","3","3","0","1","1","0","0","0","1","15.8","15.8","15.9%"
"19","Anthony Walker Jr. (MIA)","3","6","0","1","1","0","0","0","1","15.5","15.5","2.4%"
"20","E.J. Speed (IND)","4","2","0","2","1","0","0","0","1","15.5","15.5","50.0%"
"21","Jordyn Brooks (MIA)","6","5","0","0","0","0","0","0","1","15.3","15.3","34.9%"
"22","Blake Cashman (MIN)","3","2","1","0","0","0","0","0","1","15.0","15.0","11.4%"
"23","Ivan Pace Jr. (MIN)","3","2","1","0","0","0","0","0","1","15.0","15.0","32.9%"
"24","Frankie Luvu (WAS)","3","4","1","0","0","0","0","0","1","14.0","14.0","23.1%"
"25","Nick Bolton (KC)","4","2","1","0","0","0","0","0","1","14.0","14.0","36.1%"
"26","Dorian Williams (BUF)","6","3","0","0","0","0","0","0","1","13.8","13.8","21.5%"
"27","Andrew Van Ginkel (MIN)","3","0","1","0","0","0","0","0","1","13.5","13.5","46.8%"
"28","Preston Smith (PIT)","3","0","1","0","0","0","0","0","1","13.5","13.5","2.2%"
"29","Omar Speights (LAR)","6","2","0","0","0","0","0","0","1","13.0","13.0","1.6%"
"30","Christian Rozeboom (LAR)","2","0","0","3","1","0","0","0","1","12.5","12.5","6.2%"
"31","De'Vondre Campbell Sr. (SF)","4","3","0","1","0","0","0","0","1","12.3","12.3","3.6%"
"32","Logan Wilson (CIN)","5","3","0","0","0","0","0","0","1","12.3","12.3","45.0%"
"33","Bobby Okereke (NYG)","4","7","0","0","0","0","0","0","1","11.3","11.3","63.5%"
"34","Terrel Bernard (BUF)","4","5","0","1","0","0","0","0","1","11.3","11.3","33.7%"
"35","Fred Warner (SF)","6","3","0","0","0","0","0","0","1","11.3","11.3","92.7%"
"36","Zaire Franklin (IND)","4","5","0","1","0","0","0","0","1","11.3","11.3","91.1%"
"37","Germaine Pratt (CIN)","6","2","0","0","0","0","0","0","1","10.5","10.5","37.6%"
"38","Kaden Elliss (ATL)","4","6","0","0","0","0","0","0","1","10.5","10.5","43.9%"
"39","Nate Landman (ATL)","6","2","0","0","0","0","0","0","1","10.5","10.5","3.7%"
"40","Demario Davis (NO)","2","8","0","1","0","0","0","0","1","10.5","10.5","11.0%"
"41","Jack Campbell (DET)","5","2","0","1","0","0","0","0","1","10.5","10.5","20.3%"
"42","Marist Liufau (DAL)","4","0","0","0","0","0","1","0","1","10.0","10.0","1.2%"
"43","Joe Tryon-Shoyinka (TB)","2","0","1","0","0","0","0","0","1","9.5","9.5","0.8%"
"44","Lavonte David (TB)","4","4","0","0","0","0","0","0","1","9.0","9.0","37.4%"
"45","Eric Kendricks (DAL)","4","4","0","0","0","0","0","0","1","9.0","9.0","37.0%"
"46","Jesse Luketa (ARI)","1","1","1","0","0","0","0","0","1","8.8","8.8","0.0%"
"47","Kyzir White (ARI)","1","4","0","0","0","0","1","0","1","8.5","8.5","17.3%"
"48","Jacob Martin (CHI)","3","0","1","0","0","0","0","0","1","8.5","8.5","0.1%"
"49","Pete Werner (NO)","4","1","0","1","0","0","0","0","1","8.3","8.3","2.6%"
"50","Alex Anzalone (DET)","4","1","0","1","0","0","0","0","1","8.3","8.3","24.7%"
"51","Trenton Simpson (BAL)","4","3","0","0","0","0","0","0","1","8.3","8.3","8.2%"
"52","James Houston (DET)","1","0","1","0","0","0","0","0","1","8.0","8.0","0.2%"
"53","Micah McFadden (NYG)","3","4","0","0","0","0","0","0","1","7.5","7.5","6.8%"
"54","Bobby Wagner (WAS)","3","4","0","0","0","0","0","0","1","7.5","7.5","72.2%"
"55","Trevin Wallace (CAR)","2","5","0","0","0","0","0","0","1","6.8","6.8","6.3%"
"56","Kenneth Murray Jr. (TEN)","3","3","0","0","0","0","0","0","1","6.8","6.8","7.3%"
"57","Cody Barton (DEN)","1","7","0","0","0","0","0","0","1","6.8","6.8","8.1%"
"58","Elandon Roberts (PIT)","4","1","0","0","0","0","0","0","1","6.8","6.8","1.0%"
"59","Ventrell Miller (JAC)","3","1","0","1","0","0","0","0","1","6.8","6.8","4.3%"
"60","Nakobe Dean (PHI)","3","3","0","0","0","0","0","0","1","6.8","6.8","17.1%"
"61","Justin Strnad (DEN)","1","3","0","0","0","0","0","0","1","6.3","6.3","1.9%"
"62","Harold Landry III (TEN)","3","2","0","0","0","0","0","0","1","6.0","6.0","24.5%"
"63","Tremaine Edmunds (CHI)","1","3","0","1","0","0","0","0","1","5.3","5.3","13.4%"
"64","Drue Tranquill (KC)","2","2","0","0","0","0","0","0","1","4.5","4.5","15.5%"
"65","Sam Eguavoen (NYJ)","2","2","0","0","0","0","0","0","1","4.5","4.5","0.1%"
"66","Zaven Collins (ARI)","3","0","0","0","0","0","0","0","1","4.5","4.5","3.4%"
"67","Willie Gay Jr. (NO)","2","1","0","0","0","0","0","0","1","3.8","3.8","1.7%"
"68","D.J. Johnson (CAR)","1","3","0","0","0","0","0","0","1","3.8","3.8","0.1%"
"69","Yasir Abdullah (JAC)","1","2","0","0","0","0","0","0","1","3.0","3.0","0.0%"
"70","Leo Chenal (KC)","0","4","0","0","0","0","0","0","1","3.0","3.0","2.7%"
"71","Trevor Nowaske (DET)","2","0","0","0","0","0","0","0","1","3.0","3.0","0.1%"
"72","K.J. Britt (TB)","1","2","0","0","0","0","0","0","1","3.0","3.0","2.3%"
"73","Leonard Floyd (SF)","1","0","0","1","0","0","0","0","1","3.0","3.0","5.7%"
"74","Jalyx Hunt (PHI)","1","0","0","1","0","0","0","0","1","3.0","3.0","0.1%"
"75","Devin White (HOU)","1","2","0","0","0","0","0","0","1","3.0","3.0","3.1%"
"76","Oren Burks (PHI)","2","0","0","0","0","0","0","0","1","3.0","3.0","1.1%"
"77","Mack Wilson Sr. (ARI)","2","0","0","0","0","0","0","0","1","3.0","3.0","10.9%"
"78","Jonah Elliss (DEN)","1","0","0","1","0","0","0","0","1","3.0","3.0","0.6%"
"79","Austin Booker (CHI)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.9%"
"80","Cam Gill (CAR)","0","3","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"81","J.J. Russell (TB)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.1%"
"82","Kyle Van Noy (BAL)","1","1","0","0","0","0","0","0","1","2.3","2.3","5.2%"
"83","Nick Vigil (DAL)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"84","Ben Niemann (DET)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.3%"
"85","Akeem Davis-Gaither (CIN)","0","1","0","1","0","0","0","0","1","2.3","2.3","0.2%"
"86","Denzel Perryman (LAC)","1","1","0","0","0","0","0","0","1","2.3","2.3","1.9%"
"87","T.J. Watt (PIT)","0","0","0","1","0","0","0","0","1","1.5","1.5","75.7%"
"88","Owen Pappoe (ARI)","0","0","0","1","0","0","0","0","1","1.5","1.5","0.1%"
"89","Jeremiah Trotter Jr. (PHI)","1","0","0","0","0","0","0","0","1","1.5","1.5","1.1%"
"90","Azeez Ojulari (NYG)","0","2","0","0","0","0","0","0","1","1.5","1.5","2.7%"
"91","Payton Wilson (PIT)","1","0","0","0","0","0","0","0","1","1.5","1.5","2.9%"
"92","Tyus Bowser (MIA)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.1%"
"93","Mykal Walker (WAS)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.2%"
"94","Marte Mapu (NE)","1","0","0","0","0","0","0","0","1","1.5","1.5","2.6%"
"95","L.J. Collier (ARI)","0","2","0","0","0","0","0","0","1","1.5","1.5","3.0%"
"96","Jack Sanborn (CHI)","0","2","0","0","0","0","0","0","1","1.5","1.5","0.9%"
"97","Curtis Jacobs (NE)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.1%"
"98","Matthew Judon (ATL)","0","1","0","0","0","0","0","0","1","0.8","0.8","10.7%"
"99","Braiden McGregor (NYJ)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"100","Sione Takitaki (NE)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.2%"
"101","Nicholas Morrow (BUF)","0","1","0","0","0","0","0","0","1","0.8","0.8","4.1%"
"102","Quinton Bell (MIA)","2","0","1","0","0","1","0","0","1","0.0","0.0","0.0%"
"103","Cole Holcomb (PIT)","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"104","Joe Giles-Harris (NE)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"105","David Long Jr. (DET)","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"106","Jacob Bobenmoyer (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Tyrel Dodson (MIA)","0","0","0","0","0","0","0","0","0","0","0","15.5%"
"108","David Long Jr. (IND)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Anthony Nelson (TB)","1","0","0","0","0","0","1","0","1","0.0","0.0","0.1%"
"110","Luke Gifford (TEN)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"111","Troy Reeder (LAR)","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"112","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Darius Harris (DAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Del'Shawn Phillips (HOU)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"115","Nick Moore (BAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Demetrius Flannigan-Fowles (SF)","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"117","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Josh Woods (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"119","Josh Hines-Allen (JAC)","0","1","0","0","0","0","0","0","1","0.0","0.0","38.4%"
"120","Rashan Gary (GB)","0","0","0","0","0","0","0","0","0","0","0","5.2%"
"121","Jachai Polite (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Brian Burns (NYG)","4","5","1","0","0","0","0","0","1","0.0","0.0","27.9%"
"123","Oshane Ximines (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"124","Devin Bush Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"125","Robert Spillane (LV)","0","0","0","0","0","0","0","0","0","0","0","53.8%"
"126","Ty Summers (NYG)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"127","Dre Greenlaw (SF)","0","0","0","0","0","0","0","0","0","0","0","4.8%"
"128","Cole Christiansen (KC)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"129","Carlo Kemp (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Markus Bailey (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Liam McCullough (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Michael Hoecht (LAR)","1","2","0","0","0","0","0","0","1","0.0","0.0","1.3%"
"133","Ross Matiscik (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Kristian Welch (BAL)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"135","Blake Ferguson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Sam Franklin Jr. (CAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"137","Malik Harrison (BAL)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.4%"
"138","Joshua Uche (KC)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"139","Troy Dye (LAC)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"140","Darrell Taylor (CHI)","0","0","0","0","0","0","0","0","0","0","0","2.0%"
