"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Zack Baun (PHI)","11","4","2","0","0","0","0","0","1","30.0","30.0","75.1%"
"2","Eric Kendricks (DAL)","6","3","2","1","1","0","0","0","1","28.3","28.3","37.0%"
"3","T.J. Edwards (CHI)","10","5","0","0","0","0","1","0","1","27.8","27.8","68.0%"
"4","Alex Anzalone (DET)","10","3","0","0","0","0","0","0","1","24.8","24.8","24.7%"
"5","Foyesade Oluokun (JAC)","9","2","0","1","0","0","0","0","1","21.5","21.5","68.7%"
"6","Andrew Van Ginkel (MIN)","2","2","1","1","1","0","0","1","1","21.0","21.0","46.8%"
"7","Alex Singleton (DEN)","6","3","0","1","1","0","0","0","1","20.3","20.3","12.5%"
"8","Logan Wilson (CIN)","6","6","0","0","0","1","0","0","1","20.0","20.0","45.0%"
"9","Bobby Wagner (WAS)","5","5","0","0","0","0","0","0","1","18.8","18.8","72.2%"
"10","Tyrel Dodson (MIA)","9","1","0","1","0","0","0","0","1","18.3","18.3","15.5%"
"11","Eku Leota (PIT)","4","0","1","0","0","0","0","0","1","17.5","17.5","0.0%"
"12","T.J. Watt (PIT)","2","2","1","0","0","0","1","0","1","17.5","17.5","75.7%"
"13","Roquan Smith (BAL)","4","3","0","1","1","0","0","0","1","17.3","17.3","92.0%"
"14","Darius Muasau (NYG)","5","1","0","1","1","0","0","0","1","17.3","17.3","0.6%"
"15","Khalil Mack (LAC)","1","2","1.5","1","0","0","1","0","1","17.0","17.0","21.0%"
"16","DeMarvion Overshown (DAL)","5","4","1","0","0","0","0","0","1","17.0","17.0","8.7%"
"17","Mack Wilson Sr. (ARI)","8","1","0","1","0","0","0","0","1","16.8","16.8","10.9%"
"18","Ja'Whaun Bentley (NE)","7","5","0.5","0","0","0","0","0","1","16.3","16.3","2.8%"
"19","Quay Walker (GB)","7","4","0","0","0","0","0","0","1","16.0","16.0","29.0%"
"20","Terrel Bernard (BUF)","10","1","0","0","0","0","0","0","1","15.8","15.8","33.7%"
"21","Shaq Thompson (CAR)","4","6","0","0","0","0","0","0","1","15.5","15.5","2.2%"
"22","Dorian Williams (BUF)","6","3","0","0","0","0","1","0","1","15.3","15.3","21.5%"
"23","Robert Spillane (LV)","7","3","0","0","0","0","0","0","1","15.3","15.3","53.8%"
"24","Kyzir White (ARI)","5","6","0","0","0","0","0","0","1","14.5","14.5","17.3%"
"25","Devin Lloyd (JAC)","7","2","0","0","0","0","0","0","1","14.5","14.5","18.1%"
"26","SirVocea Dennis (TB)","4","2","1","0","0","0","0","0","1","14.0","14.0","1.2%"
"27","Joe Tryon-Shoyinka (TB)","2","0","1","0","0","1","0","0","1","13.5","13.5","0.8%"
"28","E.J. Speed (IND)","8","2","0","0","0","0","0","0","1","13.5","13.5","50.0%"
"29","Micah Parsons (DAL)","3","1","1","1","0","0","0","0","1","13.3","13.3","49.6%"
"30","Harold Landry III (TEN)","3","3","1","0","0","0","0","0","1","13.3","13.3","24.5%"
"31","Zaven Collins (ARI)","5","4","0","0","0","0","0","0","1","13.0","13.0","3.4%"
"32","Fred Warner (SF)","5","2","0","0","0","1","0","0","1","13.0","13.0","92.7%"
"33","Leo Chenal (KC)","3","4","0","2","0","0","0","0","1","13.0","13.0","2.7%"
"34","Jeremiah Owusu-Koramoah (CLE)","6","3","0","1","0","0","0","0","1","12.8","12.8","19.9%"
"35","C.J. Mosley (NYJ)","8","1","0","0","0","0","0","0","1","12.8","12.8","11.8%"
"36","Jerome Baker (TEN)","3","2","0","0","0","0","1","0","1","12.5","12.5","4.6%"
"37","Nakobe Dean (PHI)","4","0","0","1","0","0","0","0","1","12.5","12.5","17.1%"
"38","Germaine Pratt (CIN)","3","5","0","1","0","0","0","0","1","12.3","12.3","37.6%"
"39","Henry To'oTo'o (HOU)","3","4","0","1","0","0","0","0","1","11.5","11.5","15.9%"
"40","David Long Jr. (DET)","7","1","0","0","0","0","0","0","1","11.3","11.3","2.4%"
"41","Troy Reeder (LAR)","5","3","0","1","0","0","0","0","1","11.3","11.3","2.0%"
"42","Rashan Gary (GB)","1","2","1","1","0","0","0","0","1","11.0","11.0","5.2%"
"43","Za'Darius Smith (DET)","2","1","1","0","0","0","0","0","1","10.3","10.3","2.6%"
"44","Eric Wilson (GB)","3","1","0","0","0","0","0","0","1","10.3","10.3","0.8%"
"45","Kaden Elliss (ATL)","4","5","0","0","0","0","0","0","1","9.8","9.8","43.9%"
"46","Quincy Williams (NYJ)","5","1","0","1","0","0","0","0","1","9.8","9.8","38.8%"
"47","Von Miller (BUF)","2","0","1","0","0","0","0","0","1","9.5","9.5","1.1%"
"48","Jack Campbell (DET)","2","5","0","0","0","0","0","0","1","9.3","9.3","20.3%"
"49","Christian Rozeboom (LAR)","4","4","0","0","0","0","0","0","1","9.0","9.0","6.2%"
"50","Zaire Franklin (IND)","4","4","0","0","0","0","0","0","1","9.0","9.0","91.1%"
"51","Josey Jewell (CAR)","3","4","0","1","0","0","0","0","1","9.0","9.0","16.4%"
"52","Nick Bolton (KC)","3","4","0","1","0","0","0","0","1","9.0","9.0","36.1%"
"53","Leonard Floyd (SF)","1","1","1","0","0","0","0","0","1","8.8","8.8","5.7%"
"54","Trenton Simpson (BAL)","2","3","0.5","1","0","0","0","0","1","8.8","8.8","8.2%"
"55","Jahlani Tavai (NE)","2","2","0","1","0","0","0","0","1","8.5","8.5","6.0%"
"56","Demario Davis (NO)","2","2","1","0","0","0","0","0","1","8.5","8.5","11.0%"
"57","Demetrius Flannigan-Fowles (SF)","1","0","0","1","1","0","0","0","1","8.0","8.0","0.6%"
"58","Matthew Judon (ATL)","2","4","0.5","0","0","0","0","0","1","8.0","8.0","10.7%"
"59","Bobby Okereke (NYG)","2","1","0","0","0","0","1","0","1","7.8","7.8","63.5%"
"60","Nate Landman (ATL)","4","2","0","0","0","0","0","0","1","7.5","7.5","3.7%"
"61","Denzel Perryman (LAC)","5","0","0","0","0","0","0","0","1","7.5","7.5","1.9%"
"62","Jordan Hicks (CLE)","3","4","0","0","0","0","0","0","1","7.5","7.5","6.5%"
"63","Daiyan Henley (LAC)","4","2","0","0","0","0","0","0","1","7.5","7.5","19.4%"
"64","Lavonte David (TB)","4","2","0","0","0","0","0","0","1","7.5","7.5","37.4%"
"65","Blake Cashman (MIN)","4","2","0","0","0","0","0","0","1","7.5","7.5","11.4%"
"66","Baron Browning (ARI)","1","4","0","0","0","0","0","0","1","7.0","7.0","1.0%"
"67","Kenneth Murray Jr. (TEN)","3","3","0","0","0","0","0","0","1","6.8","6.8","7.3%"
"68","Isaiah McDuffie (GB)","3","3","0","0","0","0","0","0","1","6.8","6.8","1.9%"
"69","Alex Highsmith (PIT)","1","5","0","1","0","0","0","0","1","6.8","6.8","10.0%"
"70","Lorenzo Carter (ATL)","4","1","0","0","0","0","0","0","1","6.8","6.8","0.7%"
"71","Troy Andersen (ATL)","4","1","0","0","0","0","0","0","1","6.8","6.8","5.3%"
"72","Azeez Al-Shaair (HOU)","2","3","0","1","0","0","0","0","1","6.8","6.8","28.3%"
"73","Jamin Davis (GB)","2","1","0","0","0","0","0","0","1","6.3","6.3","1.6%"
"74","K.J. Britt (TB)","3","2","0","0","0","0","0","0","1","6.0","6.0","2.3%"
