"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"167","K'Lavon Chaisson (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Joshua Uche (KC)","4","1","1","0","0","0","0","0","1","0.0","0.0","0.1%"
"169","Darrell Taylor (CHI)","1","0","0","0","0","0","0","0","1","0.0","0.0","2.0%"
"170","Jonathan Greenard (MIN)","3","1","3","0","0","0","0","0","1","0.0","0.0","17.3%"
"171","Carlo Kemp (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Bryce Huff (PHI)","0","0","0","0","0","0","0","0","1","0.0","0.0","2.6%"
"173","Mykal Walker (WAS)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"174","Tanner Muse (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"175","Khaleke Hudson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Justin Strnad (DEN)","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"177","Andrew Farmer II (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Marte Mapu (NE)","0","0","0","0","0","0","0","0","0","0","0","2.6%"
"179","Anfernee Orji (NO)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"180","Zaire Barnes (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","David Perales (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Abraham Beauplan (DET)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Jalen Graham (SF)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Dee Winters (SF)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"185","Jose Ramirez (TB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Caleb Murphy (LAC)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"187","DJ Coleman (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Mohamoud Diabate (CLE)","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"189","Nick Hampton (LAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"190","Keion White (NE)","5","1","0","0","0","0","0","0","1","0.0","0.0","17.9%"
"191","D.J. Johnson (CAR)","1","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"192","Lukas Van Ness (GB)","1","0","1","0","0","0","1","0","1","0.0","0.0","2.1%"
"193","Gabriel Murphy (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Tuli Tuipulotu (LAC)","2","2","0","0","0","0","0","0","1","0.0","0.0","5.0%"
"195","Titus Leo (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Byron Young (LAR)","2","2","1","1","0","1","0","0","1","0.0","0.0","15.8%"
"197","Ivan Pace Jr. (MIN)","0","0","0","0","0","0","0","0","0","0","0","32.9%"
"198","Mike Morris (SEA)","1","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"199","Yasir Abdullah (JAC)","2","1","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"200","Tavius Robinson (BAL)","2","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"201","Austin Ajiake (IND)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Dequan Jackson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Andre Carter II (MIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","Dyontae Johnson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","Claudin Cherelus (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"206","Cam Jones (KC)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"207","Eku Leota (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Ben VanSumeren (PHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Trevor Nowaske (DET)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"210","Mitchell Agude (DET)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Malik Hamm (BAL)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"212","Liam Anderson (IND)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Keshawn Banks (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Micah Baskerville (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Patrick O'Connell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Kenneth Odumegwu (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Shaka Heyward (CIN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Yaya Diaby (TB)","1","1","0","0","0","0","0","0","1","0.0","0.0","2.7%"
"219","Bralen Trice (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"220","Nolan Smith Jr. (PHI)","1","1","0","0","0","0","0","0","1","0.0","0.0","1.9%"
"221","Jack Gibbens (TEN)","0","0","0","0","0","0","0","0","1","0.0","0.0","3.7%"
"222","BJ Ojulari (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"223","Derick Hall (SEA)","4","1","2","0","0","1","0","0","1","0.0","0.0","3.3%"
"224","Noah Sewell (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"225","Segun Olubi (IND)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"226","Joshua Onujiogu (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Vi Jones (TB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Nate Landman (ATL)","0","0","0","0","0","0","0","0","0","0","0","3.7%"
"229","Marcelino McCrary-Ball (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Benton Whitley (NYG)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Devin Harper (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","James Houston (DET)","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"233","Mark Robinson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"234","Daniel Hardy (CHI)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"235","Jacob Hummel (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Drew Sanders (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"237","Jared Verse (LAR)","1","3","0","0","0","0","0","0","1","0.0","0.0","20.4%"
"238","Keir Thomas (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Kana'i Mauga (LV)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"240","William Kwenkeu (BAL)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"241","Brandon Bouyer-Randle (CLE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"242","Nate Lynn (DET)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"243","Omar Speights (LAR)","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"244","Max Tooley (MIN)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"245","Elias Neal (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","Swayze Bozeman (KC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"247","Isaac Ukwu (DET)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"248","Levelle Bailey (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"249","Jimmy Ciarlo (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"250","Carl Jones Jr. (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"251","Jackson Sirmon (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"252","Maema Njongmeta (CIN)","0","0","0","0","0","0","0","0","1","0.0","0.0","2.0%"
"253","Winston Reid (CLE)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"254","Brock Mogensen (DAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"255","Julius Wood (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"256","Derrick McLendon II (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"257","Jamie Sheriff (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"258","Dondrea Tillman (DEN)","3","0","2","0","0","0","0","0","1","0.0","0.0","0.0%"
"259","Kenny Dyson Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"260","Jotham Russell (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"261","Chris Collins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"262","Adisa Isaac (BAL)","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"263","Jonah Elliss (DEN)","1","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"264","Cedric Gray (TEN)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"265","Cedric Johnson (CIN)","2","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
