"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","T.J. Watt (PIT)","5","2","2","0","0","1","1","0","1","30.0","30.0","75.7%"
"2","Bobby Okereke (NYG)","7","7","0.5","0","0","1","1","0","1","25.8","25.8","63.5%"
"3","Drue Tranquill (KC)","4","2","1","0","0","0","1","0","1","23.0","23.0","15.5%"
"4","Jeremiah Owusu-Koramoah (CLE)","5","2","1","0","0","0","0","0","1","20.5","20.5","19.9%"
"5","Azeez Ojulari (NYG)","3","4","2","0","0","0","0","0","1","20.5","20.5","2.7%"
"6","Edgerrin Cooper (GB)","3","5","1","1","0","1","0","0","1","20.3","20.3","4.7%"
"7","Zack Baun (PHI)","8","4","0","0","0","1","0","0","1","19.0","19.0","75.1%"
"8","Alex Highsmith (PIT)","4","0","2","0","0","0","0","0","1","19.0","19.0","10.0%"
"9","Nakobe Dean (PHI)","7","2","0","0","0","0","1","0","1","18.5","18.5","17.1%"
"10","Ivan Pace Jr. (MIN)","7","6","0","0","0","0","0","0","1","17.5","17.5","32.9%"
"11","Pete Werner (NO)","7","2","0","0","0","0","0","0","1","17.0","17.0","2.6%"
"12","Ernest Jones (SEA)","7","8","0","0","0","0","0","0","1","16.5","16.5","54.1%"
"13","Zaire Franklin (IND)","7","4","0","0","0","0","0","0","1","16.0","16.0","91.1%"
"14","Robert Spillane (LV)","6","6","0","0","0","0","0","0","1","16.0","16.0","53.8%"
"15","Jamien Sherwood (NYJ)","6","5","0","0","0","0","0","0","1","15.3","15.3","20.1%"
"16","E.J. Speed (IND)","5","5","0","1","0","0","0","0","1","15.3","15.3","50.0%"
"17","DeMarvion Overshown (DAL)","3","5","1","0","0","0","0","0","1","14.8","14.8","8.7%"
"18","T.J. Edwards (CHI)","5","1","1","0","0","0","0","0","1","14.8","14.8","68.0%"
"19","Josey Jewell (CAR)","6","4","0","0","0","0","0","0","1","14.5","14.5","16.4%"
"20","Alex Anzalone (DET)","5","0","1","0","0","0","0","0","1","14.0","14.0","24.7%"
"21","Nate Landman (ATL)","6","1","0","0","0","1","0","0","1","13.8","13.8","3.7%"
"22","Kyzir White (ARI)","6","1","0","1","0","0","0","0","1","13.8","13.8","17.3%"
