"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Josh Allen (BUF)","18","23","78.3","232","10.1","2","0","2","9","39","2","1","1","31.2","31.2","99.7%"
"2","Baker Mayfield (TB)","24","30","80.0","289","9.6","4","0","1","3","21","0","0","1","29.7","29.7","84.1%"
"3","Jayden Daniels (WAS)","17","24","70.8","184","7.7","0","0","2","16","88","2","0","1","28.2","28.2","98.1%"
"4","Anthony Richardson (IND)","9","19","47.4","212","11.2","2","1","2","6","56","1","0","1","27.1","27.1","62.6%"
"5","Lamar Jackson (BAL)","26","41","63.4","273","6.7","1","0","1","16","122","0","1","1","25.1","25.1","99.8%"
"6","Derek Carr (NO)","19","23","82.6","200","8.7","3","0","1","2","13","0","0","1","21.3","21.3","27.5%"
"7","Geno Smith (SEA)","18","25","72.0","171","6.8","1","1","2","4","30","1","0","1","18.8","18.8","59.2%"
"8","C.J. Stroud (HOU)","24","32","75.0","234","7.3","2","0","4","4","13","0","0","1","18.7","18.7","93.6%"
"9","Tua Tagovailoa (MIA)","23","37","62.2","338","9.1","1","0","3","1","11","0","0","1","18.6","18.6","62.7%"
"10","Jalen Hurts (PHI)","20","34","58.8","278","8.2","2","2","2","13","33","0","1","1","18.4","18.4","99.7%"
"11","Jordan Love (GB)","17","34","50.0","260","7.6","2","1","1","0","0","0","0","1","17.4","17.4","88.1%"
"12","Matthew Stafford (LAR)","34","49","69.4","317","6.5","1","1","2","0","0","0","0","1","15.7","15.7","51.3%"
"13","Sam Darnold (MIN)","19","24","79.2","208","8.7","2","1","1","3","3","0","0","1","15.6","15.6","66.1%"
"14","Patrick Mahomes II (KC)","20","28","71.4","291","10.4","1","1","2","2","3","0","0","1","15.1","15.1","97.8%"
"15","Kyler Murray (ARI)","21","31","67.7","162","5.2","1","0","4","5","57","0","1","1","14.2","14.2","94.5%"
"16","Bo Nix (DEN)","26","42","61.9","138","3.3","0","2","2","5","35","1","0","1","13.0","13.0","64.4%"
"17","Deshaun Watson (CLE)","24","45","53.3","169","3.8","1","2","6","5","39","0","0","1","12.7","12.7","7.6%"
"18","Jared Goff (DET)","18","28","64.3","217","7.8","1","1","2","1","7","0","0","1","12.4","12.4","79.5%"
"19","Justin Fields (PIT)","17","23","73.9","156","6.8","0","0","2","14","57","0","0","1","11.9","11.9","11.1%"
"20","Gardner Minshew II (LV)","25","33","75.8","257","7.8","1","1","4","3","5","0","1","1","11.8","11.8","5.3%"
"21","Bryce Young (CAR)","13","30","43.3","161","5.4","0","2","4","4","12","1","0","1","11.6","11.6","5.2%"
"22","Dak Prescott (DAL)","19","32","59.4","179","5.6","1","0","3","1","3","0","0","1","11.5","11.5","61.0%"
"23","Trevor Lawrence (JAC)","12","21","57.1","162","7.7","1","0","3","1","8","0","0","1","11.3","11.3","32.3%"
"24","Justin Herbert (LAC)","17","26","65.4","144","5.5","1","0","1","4","6","0","0","1","10.4","10.4","64.8%"
"25","Brock Purdy (SF)","19","29","65.5","231","8.0","0","0","2","1","11","0","0","1","10.3","10.3","91.5%"
"26","Aaron Rodgers (NYJ)","13","21","61.9","167","8.0","1","1","1","1","-1","0","0","1","9.6","9.6","45.1%"
"27","Will Levis (TEN)","19","32","59.4","127","4.0","1","2","3","4","36","0","1","1","8.7","8.7","9.4%"
"28","Kirk Cousins (ATL)","16","26","61.5","155","6.0","1","2","2","1","0","0","0","1","8.2","8.2","63.9%"
"29","Joe Burrow (CIN)","21","29","72.4","164","5.7","0","0","3","4","15","0","0","1","8.1","8.1","97.3%"
"30","Jacoby Brissett (NE)","15","24","62.5","121","5.0","0","0","1","7","32","0","0","1","8.0","8.0","2.4%"
"31","Caleb Williams (CHI)","14","29","48.3","93","3.2","0","0","2","5","15","0","0","1","7.2","7.2","51.0%"
"32","Daniel Jones (FA)","22","42","52.4","186","4.4","0","2","5","6","15","0","0","1","6.9","6.9","14.1%"
"33","Tyrod Taylor (NYJ)","6","8","75.0","36","4.5","1","0","0","1","7","0","0","1","6.1","6.1","1.0%"
"34","Jack Plummer (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"35","Zach Wilson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"36","Kenny Pickett (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"37","Davis Mills (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"38","Sam Ehlinger (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"39","Jake Fromm (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","Tyler Huntley (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"41","Shane Buechele (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"42","Jake Luton (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"43","Mac Jones (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"44","Feleipe Franks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"45","Sean Clifford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"46","Desmond Ridder (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"47","Trey Lance (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"48","Dorian Thompson-Robinson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"49","Jake Haener (NO)","0","1","0.0","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"50","Tanner McKee (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"51","Devin Leary (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Michael Pratt (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Chris Oladokun (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"54","Clayton Tune (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"55","Joe Milton III (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"56","Austin Reed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"57","Carter Bradley (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
