"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Dennis Gardeck (ARI)","6","0","3","0","0","1","0","0","1","35.0","35.0","1.0%"
"2","Fred Warner (SF)","7","2","1","2","1","2","0","0","1","34.5","34.5","92.7%"
"3","Germaine Pratt (CIN)","7","9","0","0","0","1","1","0","1","25.3","25.3","37.6%"
"4","Blake Cashman (MIN)","5","8","1","3","0","0","0","0","1","24.5","24.5","11.4%"
"5","Henry To'oTo'o (HOU)","9","4","1","0","0","0","0","0","1","23.0","23.0","15.9%"
"6","Robert Spillane (LV)","8","3","0","2","1","0","0","0","1","22.3","22.3","53.8%"
"7","Micah McFadden (NYG)","8","5","1","0","0","0","0","0","1","22.3","22.3","6.8%"
"8","Tremaine Edmunds (CHI)","8","3","1","0","0","0","0","0","1","20.8","20.8","13.4%"
"9","David Long Jr. (DET)","9","2","0","0","0","0","0","0","1","20.0","20.0","2.4%"
"10","Kyle Van Noy (BAL)","3","0","2","0","0","0","0","0","1","20.0","20.0","5.2%"
"11","Harold Landry III (TEN)","2","1","2","2","0","0","0","0","1","19.8","19.8","24.5%"
"12","Azeez Al-Shaair (HOU)","6","4","1","0","0","0","0","0","1","18.5","18.5","28.3%"
"13","Josey Jewell (CAR)","8","3","0","0","0","0","1","0","1","18.3","18.3","16.4%"
"14","Bobby Okereke (NYG)","4","4","1","0","0","0","0","0","1","18.0","18.0","63.5%"
"15","Quincy Williams (NYJ)","8","2","0","0","0","0","1","0","1","17.5","17.5","38.8%"
"16","Devin Lloyd (JAC)","5","3","0","2","0","1","0","0","1","16.8","16.8","18.1%"
"17","Andrew Van Ginkel (MIN)","4","0","1","1","0","0","0","0","1","16.5","16.5","46.8%"
"18","Shaq Thompson (CAR)","8","6","0","0","0","0","0","0","1","16.5","16.5","2.2%"
"19","Denzel Perryman (LAC)","5","3","1","0","0","0","0","0","1","16.3","16.3","1.9%"
"20","Ernest Jones (SEA)","6","3","0","0","0","0","0","0","1","16.3","16.3","54.1%"
