"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Kwity Paye (IND)","6","1","2","0","0","1","0","0","1","26.8","26.8","3.2%"
"2","Pat Jones II (MIN)","4","1","2","0","0","0","0","0","1","22.3","22.3","1.7%"
"3","Danielle Hunter (HOU)","3","0","2","1","0","0","0","0","1","21.5","21.5","45.7%"
"4","Nik Bonitto (DEN)","4","3","2","0","0","0","0","0","1","21.3","21.3","3.7%"
"5","Odafe Oweh (BAL)","3","2","2.5","0","0","0","0","0","1","21.0","21.0","3.7%"
"6","Braden Fiske (LAR)","2","1","2","0","0","1","0","0","1","20.8","20.8","3.4%"
"7","Javon Kinlaw (NYJ)","2","3","1","0","0","1","1","0","1","19.8","19.8","0.3%"
"8","Derek Barnett (HOU)","1","0","1","0","0","1","1","1","1","19.5","19.5","0.2%"
"9","Quinnen Williams (NYJ)","4","3","1","0","0","0","0","0","1","17.3","17.3","15.0%"
"10","Arden Key (TEN)","5","0","1","0","0","0","0","0","1","16.5","16.5","3.2%"
"11","Tuli Tuipulotu (LAC)","2","3","1.5","0","0","0","0","0","1","16.3","16.3","5.0%"
"12","Kobie Turner (LAR)","3","4","0","1","0","0","1","0","1","15.5","15.5","14.5%"
"13","Nick Bosa (SF)","2","2","1.5","0","0","0","0","0","1","15.5","15.5","53.8%"
"14","Carl Granderson (NO)","3","1","1","0","0","0","0","0","1","14.3","14.3","12.4%"
"15","Adam Butler (LV)","2","3","1","0","0","0","0","0","1","14.3","14.3","7.3%"
"16","Brandon Graham (PHI)","3","1","1","0","0","0","0","0","1","14.3","14.3","0.3%"
"17","Jeffery Simmons (TEN)","4","0","0","0","0","1","1","0","1","14.0","14.0","18.7%"
"18","Denico Autry (HOU)","3","1","1","1","0","0","0","0","1","13.3","13.3","2.4%"
"19","Laiatu Latu (IND)","2","1","1","0","0","0","0","0","1","12.8","12.8","6.2%"
"20","Tyree Wilson (LV)","1","1","1","0","0","1","0","0","1","12.8","12.8","1.2%"
"21","Malcolm Roach (DEN)","2","1","1","0","0","0","0","0","1","12.8","12.8","0.1%"
"22","Zach Sieler (MIA)","3","1","1","0","0","0","0","0","1","11.8","11.8","7.3%"
"23","Bryan Bresee (NO)","1","2","1.5","0","0","0","0","0","1","11.5","11.5","0.9%"
"24","Broderick Washington Jr. (BAL)","2","2","1","0","0","0","0","0","1","11.0","11.0","0.1%"
"25","Josh Sweat (PHI)","3","0","1","0","0","0","0","0","1","11.0","11.0","4.7%"
"26","Jalen Carter (PHI)","4","3","0","0","0","0","0","0","1","10.8","10.8","12.7%"
"27","Nolan Smith Jr. (PHI)","2","1","1","0","0","0","0","0","1","10.3","10.3","1.9%"
"28","Derick Hall (SEA)","2","1","1","0","0","0","0","0","1","10.3","10.3","3.3%"
"29","Joseph Ossai (CIN)","1","2","1","0","0","0","0","0","1","9.5","9.5","0.6%"
"30","Leonard Taylor III (NYJ)","2","0","0","1","0","0","0","0","1","9.5","9.5","0.1%"
"31","Osa Odighizuwa (DAL)","2","0","1","0","0","0","0","0","1","9.5","9.5","1.6%"
"32","John Jenkins (LV)","2","2","0","0","0","0","0","0","1","9.5","9.5","0.8%"
"33","Tim Settle Jr. (HOU)","2","0","1","0","0","0","0","0","1","9.5","9.5","0.6%"
"34","Jonathan Greenard (MIN)","4","1","0","0","0","0","0","0","1","9.3","9.3","17.3%"
"35","Chris Jones (KC)","4","1","0","0","0","0","0","0","1","9.3","9.3","19.7%"
"36","T'Vondre Sweat (TEN)","4","1","0","0","0","0","0","0","1","9.3","9.3","1.3%"
"37","Byron Young (LAR)","1","1","1","0","0","0","0","0","1","8.8","8.8","15.8%"
"38","Calais Campbell (MIA)","1","1","1","0","0","0","0","0","1","8.8","8.8","6.4%"
"39","DeMarcus Walker (CHI)","1","1","1","0","0","0","0","0","1","8.8","8.8","1.1%"
"40","Poona Ford (LAC)","1","1","1","0","0","0","0","0","1","8.8","8.8","0.3%"
"41","Yetur Gross-Matos (SF)","1","1","1","0","0","0","0","0","1","8.8","8.8","0.2%"
"42","DeForest Buckner (IND)","2","4","0","0","0","0","0","0","1","8.5","8.5","25.5%"
"43","Micheal Clemons (NYJ)","3","5","0","0","0","0","0","0","1","8.3","8.3","0.2%"
"44","Trey Hendrickson (CIN)","1","2","0.5","2","0","0","0","0","1","8.0","8.0","28.1%"
"45","T.J. Slaton (GB)","1","0","1","0","0","0","0","0","1","8.0","8.0","0.1%"
