"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Chris Godwin (TB)","11","13","125","11.4","55","2","2","0","0","0","0","1","24.5","24.5","41.7%"
"2","Deebo Samuel Sr. (SF)","3","5","102","34.0","76","1","1","4","15","0","0","1","17.7","17.7","98.2%"
"3","A.J. Brown (PHI)","6","9","116","19.3","40","2","1","0","0","0","0","1","17.6","17.6","99.6%"
"4","Allen Lazard (NYJ)","6","7","114","19.0","52","2","1","0","0","0","0","1","17.4","17.4","19.3%"
"5","Terry McLaurin (WAS)","6","7","53","8.8","14","0","2","1","0","0","0","1","17.3","17.3","94.1%"
"6","Romeo Doubs (GB)","3","4","49","16.3","20","1","2","0","0","0","0","1","16.9","16.9","54.7%"
"7","Garrett Wilson (NYJ)","8","10","107","13.4","24","2","1","0","0","0","0","1","16.7","16.7","99.4%"
"8","Gabe Davis (JAC)","5","8","45","9.0","21","1","2","0","0","0","0","1","16.5","16.5","26.2%"
"9","Keenan Allen (CHI)","5","5","41","8.2","11","0","2","0","0","0","0","1","16.1","16.1","70.3%"
"10","DeMario Douglas (NE)","6","9","92","15.3","35","2","1","0","0","0","0","1","15.2","15.2","23.1%"
"11","Jameson Williams (DET)","3","4","76","25.3","37","2","1","1","11","0","0","1","14.7","14.7","82.6%"
"12","Diontae Johnson (BAL)","6","10","78","13.0","19","0","1","0","0","0","0","1","13.8","13.8","72.8%"
"13","Stefon Diggs (HOU)","6","7","77","12.8","26","1","1","0","0","0","0","1","13.7","13.7","43.5%"
"14","Drake London (ATL)","6","10","74","12.3","24","1","1","0","0","0","0","1","13.4","13.4","99.0%"
"15","Zay Flowers (BAL)","9","9","132","14.7","44","2","0","1","2","0","0","1","13.4","13.4","96.5%"
"16","Christian Watson (GB)","3","4","68","22.7","44","1","1","0","0","0","0","1","12.8","12.8","56.2%"
"17","Tyler Lockett (SEA)","4","8","65","16.3","37","1","1","0","0","0","0","1","12.5","12.5","63.2%"
"18","Josh Downs (IND)","7","9","66","9.4","22","1","1","1","-1","0","0","1","12.5","12.5","63.4%"
"19","DeVonta Smith (PHI)","3","4","64","21.3","45","1","1","0","0","0","0","1","12.4","12.4","95.6%"
"20","Kayshon Boutte (NE)","3","3","59","19.7","40","1","1","0","0","0","0","1","11.9","11.9","3.4%"
"21","Tank Dell (HOU)","7","9","57","8.1","20","1","1","0","0","0","0","1","11.7","11.7","91.5%"
"22","Courtland Sutton (DEN)","4","6","53","13.3","20","1","1","0","0","0","0","1","11.3","11.3","85.9%"
"23","Bub Means (NO)","5","8","45","9.0","14","0","1","0","0","0","0","1","10.5","10.5","1.2%"
"24","Amon-Ra St. Brown (DET)","4","4","37","9.3","16","0","1","0","0","0","0","1","9.7","9.7","99.8%"
"25","Troy Franklin (DEN)","2","3","31","15.5","29","1","1","1","5","0","0","1","9.6","9.6","3.7%"
"26","Michael Pittman Jr. (IND)","3","5","35","11.7","16","0","1","0","0","0","0","1","9.5","9.5","85.7%"
"27","CeeDee Lamb (DAL)","7","14","89","12.7","27","1","0","1","2","0","0","1","9.1","9.1","99.8%"
"28","Jayden Reed (GB)","6","6","28","4.7","7","0","1","1","0","0","0","1","8.8","8.8","92.9%"
"29","Xavier Legette (CAR)","3","4","23","7.7","13","0","1","0","0","0","0","1","8.3","8.3","39.8%"
"30","Michael Wilson (ARI)","2","4","21","10.5","18","0","1","0","0","0","0","1","8.1","8.1","13.2%"
"31","Devaughn Vele (DEN)","4","6","78","19.5","37","2","0","0","0","0","0","1","7.8","7.8","5.1%"
"32","Kristian Wilkerson (LV)","2","3","18","9.0","9","0","1","0","0","0","0","1","7.8","7.8","0.0%"
