"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Joe Mixon (HOU)","20","109","5.5","45","1","3","2","4","44","22.0","0","0","1","33.3","33.3","99.1%"
"2","Saquon Barkley (PHI)","26","146","5.6","39","2","2","2","3","52","26.0","0","0","1","31.8","31.8","99.8%"
"3","Breece Hall (NYJ)","16","78","4.9","18","0","1","7","7","43","6.1","1","0","1","24.1","24.1","99.6%"
"4","David Montgomery (DET)","15","75","5.0","11","0","2","3","3","20","6.7","0","0","1","21.5","21.5","96.1%"
"5","Josh Jacobs (GB)","18","76","4.2","12","0","1","4","5","58","14.5","0","0","1","19.4","19.4","98.6%"
"6","Jahmyr Gibbs (DET)","11","69","6.3","23","1","1","1","1","54","54.0","0","0","1","18.3","18.3","99.8%"
"7","J.K. Dobbins (LAC)","11","56","5.1","29","1","2","1","1","3","3.0","0","0","1","17.9","17.9","91.4%"
"8","De'Von Achane (MIA)","17","73","4.3","30","1","1","4","4","32","8.0","0","0","1","16.5","16.5","99.5%"
"9","Javonte Williams (DEN)","9","59","6.6","14","0","1","4","5","28","7.0","0","0","1","14.7","14.7","85.3%"
"10","James Cook (BUF)","9","20","2.2","6","0","2","5","6","7","1.4","0","0","1","14.7","14.7","98.3%"
"11","D'Andre Swift (CHI)","14","71","5.1","39","1","1","2","2","13","6.5","0","0","1","14.4","14.4","92.9%"
"12","Chase Brown (CIN)","22","86","3.9","27","1","0","5","7","57","11.4","0","0","1","14.3","14.3","77.7%"
"13","Brian Robinson Jr. (WAS)","16","63","3.9","18","0","1","1","1","9","9.0","0","0","1","13.2","13.2","91.2%"
"14","Kenneth Walker III (SEA)","14","54","3.9","11","0","1","2","2","5","2.5","0","0","1","11.9","11.9","97.2%"
"15","Christian McCaffrey (SF)","19","79","4.2","11","0","0","4","5","27","6.8","0","0","1","10.6","10.6","99.7%"
"16","Derrick Henry (BAL)","13","65","5.0","31","1","1","0","0","0","0","0","1","1","10.5","10.5","99.7%"
"17","Roschon Johnson (CHI)","10","33","3.3","7","0","1","1","1","8","8.0","0","0","1","10.1","10.1","21.4%"
"18","Austin Ekeler (WAS)","2","7","3.5","6","0","0","8","9","89","11.1","0","0","1","9.6","9.6","81.4%"
"19","Cam Akers (MIN)","10","25","2.5","12","0","0","2","2","11","5.5","1","0","1","9.6","9.6","27.0%"
"20","Najee Harris (PIT)","18","63","3.5","13","0","0","4","5","30","7.5","0","0","1","9.3","9.3","91.8%"
"21","Rhamondre Stevenson (NE)","20","73","3.7","12","0","0","4","4","16","4.0","0","0","1","8.9","8.9","92.0%"
"22","Alvin Kamara (NO)","16","67","4.2","18","0","0","4","4","22","5.5","0","0","1","8.9","8.9","99.2%"
"23","Kyren Williams (LAR)","15","86","5.7","18","0","0","0","0","0","0","0","0","1","8.6","8.6","99.6%"
"24","Ameer Abdullah (LV)","1","1","1.0","1","0","0","3","3","16","5.3","1","0","1","7.7","7.7","25.9%"
"25","Alexander Mattison (LV)","5","19","3.8","8","0","0","3","3","50","16.7","0","0","1","6.9","6.9","50.7%"
"26","Jaylen Warren (PIT)","9","41","4.6","9","0","0","4","4","27","6.8","0","0","1","6.8","6.8","62.0%"
"27","Bijan Robinson (ATL)","12","35","2.9","9","0","0","4","4","28","7.0","0","0","1","6.3","6.3","99.8%"
"28","Jonathan Taylor (IND)","24","57","2.4","10","0","0","1","2","3","3.0","0","0","1","6.0","6.0","99.7%"
"29","Kareem Hunt (KC)","14","60","4.3","17","0","0","0","0","0","0","0","0","1","6.0","6.0","88.5%"
"30","Nick Chubb (CLE)","11","50","4.5","14","0","0","0","0","0","0","0","0","1","5.0","5.0","84.3%"
"31","Kenneth Gainwell (PHI)","4","43","10.8","14","0","0","1","1","6","6.0","0","0","1","4.9","4.9","2.7%"
"32","Aaron Jones (MIN)","15","39","2.6","5","0","0","1","1","4","4.0","0","0","1","4.3","4.3","96.6%"
"33","Justice Hill (BAL)","2","13","6.5","9","0","0","4","7","28","7.0","0","0","1","4.1","4.1","24.5%"
"34","Jerome Ford (CLE)","5","10","2.0","5","0","0","4","4","29","7.3","0","0","1","3.9","3.9","50.8%"
"35","Rico Dowdle (DAL)","10","28","2.8","9","0","0","2","5","6","3.0","0","0","1","3.4","3.4","66.5%"
"36","Travis Etienne Jr. (JAC)","12","27","2.3","9","0","0","3","3","6","2.0","0","0","1","3.3","3.3","85.6%"
"37","Tony Pollard (TEN)","9","15","1.7","4","0","0","2","4","14","7.0","0","0","1","2.9","2.9","92.1%"
"38","Blake Corum (LAR)","5","21","4.2","10","0","0","1","1","7","7.0","0","0","1","2.8","2.8","16.8%"
"39","Gus Edwards (LAC)","6","27","4.5","9","0","0","0","0","0","0","0","0","1","2.7","2.7","22.9%"
"40","Audric Estime (DEN)","6","16","2.7","5","0","0","3","3","9","3.0","0","0","1","2.5","2.5","22.0%"
"41","Ezekiel Elliott (DAL)","1","8","8.0","8","0","0","3","3","16","5.3","0","0","1","2.4","2.4","36.5%"
"42","Craig Reynolds (DET)","2","21","10.5","19","0","0","0","0","0","0","0","0","1","2.1","2.1","0.2%"
