"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jahmyr Gibbs (DET)","15","116","7.7","45","1","2","4","4","44","11.0","0","0","1","28.0","28.0","99.8%"
"2","Saquon Barkley (PHI)","17","176","10.4","55","3","1","2","3","11","5.5","0","0","1","24.7","24.7","99.8%"
"3","Joe Mixon (HOU)","25","115","4.6","32","1","2","2","3","9","4.5","0","0","1","24.4","24.4","99.1%"
"4","Derrick Henry (BAL)","15","169","11.3","81","2","0","1","1","13","13.0","1","0","1","24.2","24.2","99.7%"
"5","Tank Bigsby (JAC)","26","118","4.5","13","0","2","0","1","0","0","0","0","1","23.8","23.8","38.4%"
"6","Javonte Williams (DEN)","14","88","6.3","20","1","2","3","3","23","7.7","0","0","1","23.1","23.1","85.3%"
"7","Rachaad White (TB)","10","40","4.0","8","0","0","6","6","71","11.8","2","0","1","23.1","23.1","92.8%"
"8","Kenneth Walker III (SEA)","14","69","4.9","20","1","1","2","2","24","12.0","1","0","1","21.3","21.3","97.2%"
"9","Kareem Hunt (KC)","22","78","3.5","13","0","2","2","2","5","2.5","0","0","1","20.3","20.3","88.5%"
"10","Bijan Robinson (ATL)","21","103","4.9","26","1","1","3","5","40","13.3","0","0","1","20.3","20.3","99.8%"
"11","Breece Hall (NYJ)","12","38","3.2","13","0","1","6","9","103","17.2","0","0","1","20.1","20.1","99.6%"
"12","Kyren Williams (LAR)","21","76","3.6","14","0","2","0","0","0","0","0","0","1","19.6","19.6","99.6%"
"13","Aaron Jones (MIN)","14","93","6.6","34","1","1","3","3","23","7.7","0","0","1","17.6","17.6","96.6%"
"14","Najee Harris (PIT)","21","102","4.9","34","1","1","0","1","0","0","0","0","1","16.2","16.2","91.8%"
"15","James Conner (ARI)","19","101","5.3","14","0","0","2","4","51","25.5","0","0","1","15.2","15.2","95.8%"
"16","Josh Jacobs (GB)","12","76","6.3","27","1","0","5","5","16","3.2","1","0","1","15.2","15.2","98.6%"
"17","Bucky Irving (TB)","9","23","2.6","6","0","1","3","3","54","18.0","0","0","1","13.7","13.7","76.2%"
"18","Brian Robinson Jr. (WAS)","12","71","5.9","11","0","1","0","0","0","0","0","0","1","13.1","13.1","91.2%"
"19","Alexander Mattison (LV)","23","92","4.0","13","0","0","3","3","31","10.3","0","0","1","12.3","12.3","50.7%"
"20","Chuba Hubbard (CAR)","17","52","3.1","9","0","1","0","0","0","0","0","0","1","11.2","11.2","90.9%"
"21","Tyler Goodson (IND)","14","51","3.6","19","0","1","0","0","0","0","0","0","1","11.1","11.1","1.8%"
"22","Justice Hill (BAL)","5","4","0.8","3","0","0","3","3","44","14.7","1","0","1","10.8","10.8","24.5%"
"23","Ray Davis (BUF)","5","41","8.2","22","1","1","1","1","6","6.0","0","0","1","10.7","10.7","20.8%"
"24","JaMycal Hasty (NE)","2","-2","-1.0","2","0","0","5","5","49","9.8","1","0","1","10.7","10.7","0.3%"
"25","Nick Chubb (CLE)","11","22","2.0","5","0","1","1","3","10","10.0","0","0","1","9.2","9.2","84.3%"
"26","James Cook (BUF)","12","32","2.7","11","0","1","0","0","0","0","0","0","1","9.2","9.2","98.3%"
"27","De'Von Achane (MIA)","15","77","5.1","15","0","0","2","3","8","4.0","0","0","1","8.5","8.5","99.5%"
"28","D'Ernest Johnson (JAC)","9","38","4.2","10","0","0","3","4","32","10.7","0","0","1","7.0","7.0","2.4%"
"29","Jordan Mason (SF)","14","58","4.1","26","1","0","2","2","11","5.5","0","0","1","6.9","6.9","69.5%"
"30","Kenneth Gainwell (PHI)","13","56","4.3","14","0","0","1","1","11","11.0","0","0","1","6.7","6.7","2.7%"
"31","J.K. Dobbins (LAC)","14","40","2.9","11","0","0","3","3","26","8.7","0","0","1","6.6","6.6","91.4%"
"32","Tony Pollard (TEN)","16","61","3.8","14","0","0","2","6","4","2.0","0","0","1","6.5","6.5","92.1%"
"33","Ty Johnson (BUF)","0","0","0","0","0","0","1","1","4","4.0","1","0","1","6.4","6.4","1.7%"
"34","Jaylen Warren (PIT)","12","44","3.7","10","0","0","2","3","15","7.5","0","0","1","5.9","5.9","62.0%"
"35","Chase Brown (CIN)","15","44","2.9","22","1","0","2","2","9","4.5","0","0","1","5.3","5.3","77.7%"
"36","David Montgomery (DET)","9","31","3.4","8","0","0","3","4","39","13.0","0","1","1","5.0","5.0","96.1%"
"37","Trey Sermon (IND)","8","36","4.5","11","0","0","1","1","13","13.0","0","0","1","4.9","4.9","6.7%"
"38","Tyler Allgeier (ATL)","5","36","7.2","24","1","0","1","1","9","9.0","0","0","1","4.5","4.5","39.5%"
"39","Jeremy McNichols (WAS)","7","42","6.0","10","0","0","0","0","0","0","0","0","1","4.2","4.2","1.1%"
"40","Zack Moss (CIN)","6","7","1.2","3","0","0","3","3","33","11.0","0","0","1","4.0","4.0","54.0%"
"41","Sean Tucker (TB)","5","29","5.8","15","0","0","1","2","9","9.0","0","0","1","3.8","3.8","2.8%"
"42","Kendre Miller (NO)","6","36","6.0","16","0","0","2","3","1","0.5","0","0","1","3.7","3.7","7.4%"
"43","Jaleel McLaughlin (DEN)","4","35","8.8","21","1","0","0","0","0","0","0","0","1","3.5","3.5","15.4%"
"44","Jaylen Wright (MIA)","5","33","6.6","19","0","0","0","0","0","0","0","0","1","3.3","3.3","9.0%"
"45","Tyrone Tracy Jr. (NYG)","6","23","3.8","8","0","0","3","3","9","3.0","0","0","1","3.2","3.2","81.9%"
"46","Raheem Mostert (MIA)","11","50","4.5","14","0","0","0","0","0","0","0","1","1","3.0","3.0","65.8%"
"47","Samaje Perine (KC)","2","6","3.0","3","0","0","1","1","22","22.0","0","0","1","2.8","2.8","17.4%"
"48","Miles Sanders (CAR)","3","34","11.3","26","1","0","1","2","-6","-6.0","0","0","1","2.8","2.8","3.4%"
