"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Frankie Luvu (WAS)","4","3","2.5","0","0","0","1","0","1","27.3","27.3","23.1%"
"2","Jeremiah Owusu-Koramoah (CLE)","5","0","1","1","1","1","0","0","1","27.0","27.0","19.9%"
"3","Jerome Baker (TEN)","8","6","1","0","0","1","0","0","1","24.5","24.5","4.6%"
"4","T.J. Watt (PIT)","7","1","1.5","0","0","1","0","0","1","23.8","23.8","75.7%"
"5","Bobby Wagner (WAS)","3","3","1.5","0","0","1","0","0","1","19.3","19.3","72.2%"
"6","Dorian Williams (BUF)","9","2","0","0","0","0","1","0","1","19.0","19.0","21.5%"
"7","Trevin Wallace (CAR)","10","5","0","0","0","0","0","0","1","18.8","18.8","6.3%"
"8","Mack Wilson Sr. (ARI)","5","1","0","1","1","0","1","0","1","18.8","18.8","10.9%"
"9","Lavonte David (TB)","6","2","0","2","1","0","0","0","1","18.5","18.5","37.4%"
"10","Eric Kendricks (DAL)","4","6","0","1","0","1","0","0","1","18.5","18.5","37.0%"
"11","Nick Bolton (KC)","6","5","0","0","0","0","0","0","1","17.8","17.8","36.1%"
"12","Robert Spillane (LV)","6","4","0","0","0","0","0","0","1","17.0","17.0","53.8%"
"13","Fred Warner (SF)","7","5","0","0","0","0","0","0","1","16.8","16.8","92.7%"
"14","Azeez Al-Shaair (HOU)","5","3","0","3","0","0","0","0","1","16.8","16.8","28.3%"
"15","Jamien Sherwood (NYJ)","7","5","0","0","0","0","0","0","1","16.8","16.8","20.1%"
"16","Roquan Smith (BAL)","7","7","0","0","0","0","0","0","1","15.8","15.8","92.0%"
"17","Tyrel Dodson (MIA)","3","6","1","0","0","0","0","0","1","15.5","15.5","15.5%"
"18","Germaine Pratt (CIN)","6","3","0","0","0","0","1","0","1","15.3","15.3","37.6%"
"19","Devin Bush Jr. (CLE)","8","2","0","1","0","0","0","0","1","15.0","15.0","1.2%"
"20","Ivan Pace Jr. (MIN)","4","0","1","0","0","0","0","0","1","15.0","15.0","32.9%"
"21","Kaden Elliss (ATL)","4","3","0","0","0","0","1","0","1","14.8","14.8","43.9%"
"22","Justin Strnad (DEN)","7","2","0","0","0","0","0","0","1","14.5","14.5","1.9%"
"23","Quay Walker (GB)","6","3","0","0","0","0","0","0","1","13.8","13.8","29.0%"
"24","Andrew Van Ginkel (MIN)","0","1","0","1","1","0","0","1","1","13.3","13.3","46.8%"
"25","Kyzir White (ARI)","1","3","0","1","1","0","0","0","1","12.8","12.8","17.3%"
"26","Anfernee Orji (NO)","7","3","0","0","0","0","0","0","1","12.8","12.8","0.6%"
"27","Leonard Floyd (SF)","3","2","1","0","0","0","0","0","1","12.5","12.5","5.7%"
"28","Edgerrin Cooper (GB)","3","2","1","0","0","0","0","0","1","12.5","12.5","4.7%"
"29","Winston Reid (CLE)","4","2","0.5","2","0","0","0","0","1","12.5","12.5","0.1%"
"30","Ventrell Miller (JAC)","6","1","0","0","0","0","0","0","1","12.3","12.3","4.3%"
"31","Quincy Williams (NYJ)","5","1","0","0","0","0","1","0","1","12.3","12.3","38.8%"
"32","E.J. Speed (IND)","6","1","0","0","0","0","0","0","1","12.3","12.3","50.0%"
"33","Demario Davis (NO)","5","6","0","0","0","0","0","0","1","12.0","12.0","11.0%"
"34","Terrel Bernard (BUF)","2","3","0","1","1","0","0","0","1","11.8","11.8","33.7%"
"35","Tremaine Edmunds (CHI)","4","2","0","0","0","1","0","0","1","11.5","11.5","13.4%"
"36","DeMarvion Overshown (DAL)","6","1","0","1","0","0","0","0","1","11.3","11.3","8.7%"
"37","Patrick Queen (PIT)","6","3","0","0","0","0","0","0","1","11.3","11.3","33.9%"
"38","Trenton Simpson (BAL)","2","5","0","1","0","0","0","0","1","10.8","10.8","8.2%"
"39","Nick Herbig (PIT)","1","1","0.5","0","0","0","1","0","1","10.8","10.8","1.5%"
"40","Logan Wilson (CIN)","5","4","0","0","0","0","0","0","1","10.5","10.5","45.0%"
"41","Payton Wilson (PIT)","5","4","0","0","0","0","0","0","1","10.5","10.5","2.9%"
"42","Cody Barton (DEN)","7","0","0","0","0","0","0","0","1","10.5","10.5","8.1%"
"43","K.J. Britt (TB)","5","4","0","0","0","0","0","0","1","10.5","10.5","2.3%"
"44","Zaire Franklin (IND)","2","8","0","1","0","0","0","0","1","10.5","10.5","91.1%"
"45","Anfernee Jennings (NE)","3","5","0.5","0","0","0","0","0","1","10.3","10.3","23.9%"
"46","Krys Barnes (ARI)","2","1","1","0","0","0","0","0","1","10.3","10.3","0.9%"
"47","Za'Darius Smith (DET)","2","1","1","0","0","0","0","0","1","10.3","10.3","2.6%"
"48","De'Vondre Campbell Sr. (SF)","2","7","0","1","0","0","0","0","1","9.8","9.8","3.6%"
"49","Zaven Collins (ARI)","4","1","0","0","0","0","0","0","1","9.3","9.3","3.4%"
"50","Isaiah McDuffie (GB)","3","6","0","0","0","0","0","0","1","9.0","9.0","1.9%"
"51","Elandon Roberts (PIT)","3","0","0","0","0","1","0","0","1","8.5","8.5","1.0%"
"52","Jordyn Brooks (MIA)","4","3","0","0","0","0","0","0","1","8.3","8.3","34.9%"
"53","Christian Rozeboom (LAR)","3","5","0","0","0","0","0","0","1","8.3","8.3","6.2%"
"54","Charles Snowden (LV)","2","3","0","0","0","0","0","0","1","7.8","7.8","1.0%"
"55","Jahlani Tavai (NE)","2","3","0","0","0","0","0","0","1","7.8","7.8","6.0%"
"56","Blake Cashman (MIN)","3","2","0","1","0","0","0","0","1","7.5","7.5","11.4%"
"57","T.J. Edwards (CHI)","4","2","0","0","0","0","0","0","1","7.5","7.5","68.0%"
"58","Raekwon McMillan (FA)","3","4","0","0","0","0","0","0","1","7.5","7.5","1.6%"
"59","Marte Mapu (NE)","2","4","0","1","0","0","0","0","1","7.5","7.5","2.6%"
"60","JD Bertrand (ATL)","4","1","0","0","0","0","0","0","1","6.8","6.8","0.6%"
"61","Drue Tranquill (KC)","3","2","0","0","0","0","0","0","1","6.0","6.0","15.5%"
"62","Henry To'oTo'o (HOU)","2","4","0","0","0","0","0","0","1","6.0","6.0","15.9%"
"63","Chad Muma (JAC)","3","2","0","0","0","0","0","0","1","6.0","6.0","0.7%"
"64","Devin Lloyd (JAC)","2","4","0","0","0","0","0","0","1","6.0","6.0","18.1%"
"65","Bobby Okereke (NYG)","3","2","0","0","0","0","0","0","1","6.0","6.0","63.5%"
"66","Kyle Van Noy (BAL)","2","0","0","0","0","0","0","0","1","5.5","5.5","5.2%"
"67","Micah McFadden (NYG)","3","1","0","0","0","0","0","0","1","5.3","5.3","6.8%"
"68","Anthony Walker Jr. (MIA)","2","1","0","1","0","0","0","0","1","5.3","5.3","2.4%"
"69","Preston Smith (PIT)","0","4","0.5","0","0","0","0","0","1","5.0","5.0","2.2%"
"70","Jesse Luketa (ARI)","0","1","0","0","0","1","0","0","1","4.8","4.8","0.0%"
"71","Matthew Judon (ATL)","2","0","0","1","0","0","0","0","1","4.5","4.5","10.7%"
"72","Jaylon Carlies (IND)","2","2","0","0","0","0","0","0","1","4.5","4.5","0.2%"
"73","Claudin Cherelus (CAR)","1","4","0","0","0","0","0","0","1","4.5","4.5","0.2%"
"74","Takk McKinley (NYJ)","1","0","0","0","0","0","0","0","1","4.0","4.0","0.0%"
"75","Akeem Davis-Gaither (CIN)","1","0","0","0","0","0","0","0","1","4.0","4.0","0.2%"
"76","D'Marco Jackson (NO)","2","1","0","0","0","0","0","0","1","3.8","3.8","0.1%"
"77","Uchenna Nwosu (SEA)","2","1","0","0","0","0","0","0","1","3.8","3.8","2.1%"
"78","Troy Reeder (LAR)","1","3","0","0","0","0","0","0","1","3.8","3.8","2.0%"
"79","Joe Tryon-Shoyinka (TB)","1","1","0","1","0","0","0","0","1","3.8","3.8","0.8%"
"80","Kamu Grugier-Hill (MIN)","2","1","0","0","0","0","0","0","1","3.8","3.8","5.6%"
"81","Jamin Davis (GB)","2","1","0","0","0","0","0","0","1","3.8","3.8","1.6%"
"82","Jack Sanborn (CHI)","2","1","0","0","0","0","0","0","1","3.8","3.8","0.9%"
"83","David Long Jr. (DET)","0","4","0","0","0","0","0","0","1","3.0","3.0","2.4%"
"84","Dee Winters (SF)","0","2","0","1","0","0","0","0","1","3.0","3.0","0.2%"
"85","Rashan Gary (GB)","1","1","0","0","0","0","0","0","1","2.3","2.3","5.2%"
"86","Nathaniel Watson (CLE)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"87","Lorenzo Carter (ATL)","1","1","0","0","0","0","0","0","1","2.3","2.3","0.7%"
"88","Marist Liufau (DAL)","0","1","0","1","0","0","0","0","1","2.3","2.3","1.2%"
"89","Dennis Gardeck (ARI)","0","0","0","1","0","0","0","0","1","1.5","1.5","1.0%"
"90","Javon Solomon (BUF)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"91","Amen Ogbongbemiga (CHI)","1","0","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"92","Azeez Ojulari (NYG)","1","0","0","0","0","0","0","0","1","1.5","1.5","2.7%"
"93","Leo Chenal (KC)","1","0","0","0","0","0","0","0","1","1.5","1.5","2.7%"
"94","Tyus Bowser (MIA)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.1%"
"95","Maema Njongmeta (CIN)","0","1","0","0","0","0","0","0","1","0.8","0.8","2.0%"
"96","Tommy Eichenberg (LV)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.7%"
"97","Casey Toohill (BUF)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"98","Eric Wilson (GB)","0","1","0","0","0","0","0","0","1","0.8","0.8","0.8%"
"99","Jeremiah Trotter Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"100","Cole Holcomb (PIT)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"101","Joe Giles-Harris (NE)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"103","David Long Jr. (IND)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Anthony Nelson (TB)","1","0","1","0","0","0","0","0","1","0.0","0.0","0.1%"
"105","Jacob Bobenmoyer (LV)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Luke Gifford (TEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Darius Harris (DAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Del'Shawn Phillips (HOU)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"110","Nick Moore (BAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Demetrius Flannigan-Fowles (SF)","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"112","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Sam Eguavoen (NYJ)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"114","Josh Hines-Allen (JAC)","2","0","1","0","0","0","1","0","1","0.0","0.0","38.4%"
"115","Devin White (HOU)","0","0","0","0","0","0","0","0","0","0","0","3.1%"
