"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jauan Jennings (SF)","11","12","175","15.9","34","3","3","0","0","0","0","1","35.5","35.5","72.3%"
"2","Ja'Marr Chase (CIN)","6","7","118","19.7","41","3","2","0","0","0","0","1","23.8","23.8","99.8%"
"3","Amari Cooper (BUF)","7","12","86","12.3","24","2","2","0","0","0","0","1","20.6","20.6","89.5%"
"4","Malik Nabers (NYG)","8","12","78","9.8","28","1","2","2","4","0","0","1","20.2","20.2","98.5%"
"5","Diontae Johnson (BAL)","8","14","122","15.3","35","2","1","0","0","0","0","1","18.2","18.2","72.8%"
"6","Rome Odunze (CHI)","6","11","112","18.7","47","2","1","1","2","0","0","1","17.4","17.4","68.4%"
"7","Rashee Rice (KC)","12","14","110","9.2","27","1","1","1","1","0","0","1","17.1","17.1","34.9%"
"8","DK Metcalf (SEA)","4","6","104","26.0","71","2","1","0","0","0","0","1","16.4","16.4","97.7%"
"9","Terry McLaurin (WAS)","4","6","100","25.0","55","2","1","0","0","0","0","1","16.0","16.0","94.1%"
"10","Tre Tucker (LV)","7","9","96","13.7","54","1","1","0","0","0","0","1","15.6","15.6","6.7%"
"11","Calvin Austin III (PIT)","4","5","95","23.8","55","2","1","0","0","0","0","1","15.5","15.5","1.8%"
"12","Chris Olave (NO)","6","6","86","14.3","29","1","1","0","0","0","0","1","14.6","14.6","87.6%"
"13","Jakobi Meyers (LV)","7","9","62","8.9","16","0","1","0","0","0","0","1","14.2","14.2","64.9%"
"14","Justin Jefferson (MIN)","6","8","81","13.5","28","2","1","0","0","0","0","1","14.1","14.1","99.8%"
"15","Amon-Ra St. Brown (DET)","7","8","75","10.7","20","1","1","0","0","0","0","1","13.5","13.5","99.8%"
"16","DeAndre Hopkins (KC)","6","7","73","12.2","20","1","1","0","0","0","0","1","13.3","13.3","89.4%"
"17","Khalil Shakir (BUF)","6","6","72","12.0","27","1","1","0","0","0","0","1","13.2","13.2","77.7%"
"18","Drake London (ATL)","6","9","67","11.2","14","0","1","0","0","0","0","1","12.7","12.7","99.0%"
"19","Marvin Harrison Jr. (ARI)","5","11","64","12.8","17","0","1","0","0","0","0","1","12.4","12.4","97.9%"
"20","Chris Godwin (TB)","6","9","53","8.8","13","0","1","0","0","0","0","1","11.3","11.3","41.7%"
"21","KaVontae Turpin (DAL)","3","3","51","17.0","23","1","1","1","1","0","0","1","11.2","11.2","1.5%"
"22","Andrei Iosivas (CIN)","5","7","52","10.4","16","0","1","0","0","0","0","1","11.2","11.2","4.0%"
"23","Allen Lazard (NYJ)","3","3","48","16.0","27","1","1","0","0","0","0","1","10.8","10.8","19.3%"
"24","Quentin Johnston (LAC)","2","2","44","22.0","27","1","1","0","0","0","0","1","10.4","10.4","56.2%"
"25","Jalen Tolbert (DAL)","3","5","42","14.0","19","0","1","0","0","0","0","1","10.2","10.2","16.0%"
"26","Adam Thielen (CAR)","3","5","40","13.3","31","1","1","0","0","0","0","1","10.0","10.0","31.7%"
"27","Stefon Diggs (HOU)","10","12","94","9.4","19","0","0","0","0","0","0","1","9.9","9.9","43.5%"
"28","Jalen Nailor (MIN)","3","4","31","10.3","18","0","1","1","3","0","0","1","9.4","9.4","9.4%"
"29","Tutu Atwell (LAR)","4","5","93","23.3","50","2","0","0","0","0","0","1","9.3","9.3","4.6%"
"30","Garrett Wilson (NYJ)","5","9","33","6.6","9","0","1","0","0","0","0","1","9.3","9.3","99.4%"
"31","Rashod Bateman (BAL)","3","4","28","9.3","13","0","1","0","0","0","0","1","8.8","8.8","31.0%"
"32","Nico Collins (HOU)","4","10","86","21.5","34","2","0","0","0","0","0","1","8.6","8.6","99.0%"
"33","Keon Coleman (BUF)","1","1","24","24.0","24","1","1","0","0","0","0","1","8.4","8.4","54.8%"
"34","Christian Kirk (JAC)","8","10","79","9.9","24","1","0","0","0","0","0","1","7.9","7.9","48.4%"
"35","DeVonta Smith (PHI)","7","10","79","11.3","21","1","0","0","0","0","0","1","7.9","7.9","95.6%"
"36","DeMario Douglas (NE)","7","9","69","9.9","22","1","0","1","9","0","0","1","7.8","7.8","23.1%"
"37","JuJu Smith-Schuster (KC)","2","3","17","8.5","13","0","1","0","0","0","0","1","7.7","7.7","9.0%"
"38","DJ Moore (CHI)","8","10","78","9.8","44","1","0","1","-6","0","0","1","7.2","7.2","94.0%"
"39","Jayden Reed (GB)","4","6","50","12.5","30","1","0","2","19","0","0","1","6.9","6.9","92.9%"
"40","Courtland Sutton (DEN)","7","11","68","9.7","22","1","0","0","0","0","0","1","6.8","6.8","85.9%"
"41","Christian Watson (GB)","2","2","67","33.5","37","2","0","0","0","0","0","1","6.7","6.7","56.2%"
"42","Darnell Mooney (ATL)","8","8","66","8.3","26","1","0","0","0","0","0","1","6.6","6.6","75.9%"
"43","Michael Wilson (ARI)","8","9","64","8.0","28","1","0","0","0","0","0","1","6.4","6.4","13.2%"
"44","Tank Dell (HOU)","5","6","62","12.4","19","0","0","0","0","0","0","1","6.2","6.2","91.5%"
"45","Wan'Dale Robinson (NYG)","7","8","61","8.7","20","1","0","0","0","0","0","1","6.1","6.1","49.8%"
"46","George Pickens (PIT)","5","7","57","11.4","27","1","0","0","0","0","0","1","5.7","5.7","95.0%"
"47","Nelson Agholor (BAL)","1","1","56","56.0","56","1","0","0","0","0","0","1","5.6","5.6","0.4%"
"48","Brandon Aiyuk (SF)","5","10","48","9.6","12","0","0","0","0","0","0","1","4.8","4.8","56.7%"
"49","Brian Thomas Jr. (JAC)","5","9","48","9.6","16","0","0","0","0","0","0","1","4.8","4.8","88.2%"
"50","CeeDee Lamb (DAL)","4","7","67","16.8","31","1","0","0","0","0","1","1","4.7","4.7","99.8%"
"51","Jerry Jeudy (CLE)","4","7","27","6.8","12","0","0","0","0","0","0","1","4.7","4.7","58.7%"
"52","Tyler Lockett (SEA)","5","8","46","9.2","18","0","0","0","0","0","0","1","4.6","4.6","63.2%"
"53","Alec Pierce (IND)","1","2","44","44.0","44","1","0","0","0","0","0","1","4.4","4.4","23.7%"
"54","Ladd McConkey (LAC)","3","6","44","14.7","18","0","0","0","0","0","0","1","4.4","4.4","84.7%"
"55","Luke McCaffrey (WAS)","3","3","44","14.7","30","1","0","0","0","0","0","1","4.4","4.4","2.7%"
"56","Xavier Legette (CAR)","2","3","42","21.0","35","1","0","0","0","0","0","1","4.2","4.2","39.8%"
"57","Davante Adams (NYJ)","4","9","40","10.0","15","0","0","0","0","0","0","1","4.0","4.0","98.8%"
"58","Tyreek Hill (MIA)","3","5","40","13.3","17","0","0","0","0","0","0","1","4.0","4.0","99.6%"
"59","Tee Higgins (CIN)","3","6","39","13.0","16","0","0","0","0","0","0","1","3.9","3.9","93.6%"
"60","Jaxon Smith-Njigba (SEA)","3","3","39","13.0","18","0","0","0","0","0","0","1","3.9","3.9","87.3%"
"61","Ray-Ray McCloud III (ATL)","2","3","17","8.5","15","0","0","1","20","0","0","1","3.7","3.7","16.1%"
"62","Lil'Jordan Humphrey (DEN)","6","8","37","6.2","17","0","0","0","0","0","0","1","3.7","3.7","1.1%"
"63","Josh Reynolds (DEN)","2","2","36","18.0","31","1","0","0","0","0","0","1","3.6","3.6","3.3%"
"64","Michael Pittman Jr. (IND)","4","5","36","9.0","13","0","0","0","0","0","0","1","3.6","3.6","85.7%"
"65","Greg Dortch (ARI)","3","6","35","11.7","13","0","0","0","0","0","0","1","3.5","3.5","6.5%"
"66","Mike Williams (PIT)","3","4","34","11.3","18","0","0","0","0","0","0","1","3.4","3.4","20.7%"
"67","Tyler Boyd (TEN)","3","4","33","11.0","20","1","0","0","0","0","0","1","3.3","3.3","3.2%"
"68","Demarcus Robinson (LAR)","1","4","32","32.0","32","1","0","0","0","0","0","1","3.2","3.2","35.1%"
"69","Scotty Miller (PIT)","2","2","31","15.5","20","1","0","0","0","0","0","1","3.1","3.1","0.1%"
"70","Xavier Worthy (KC)","2","4","17","8.5","10","0","0","3","13","0","0","1","3.0","3.0","81.4%"
"71","Dee Eskridge (MIA)","1","1","30","30.0","30","1","0","0","0","0","0","1","3.0","3.0","0.0%"
"72","Noah Brown (WAS)","3","3","29","9.7","16","0","0","0","0","0","0","1","2.9","2.9","8.4%"
"73","Jordan Whittington (LAR)","3","3","28","9.3","15","0","0","0","0","0","0","1","2.8","2.8","2.9%"
"74","Jaylen Waddle (MIA)","4","5","26","6.5","10","0","0","0","0","0","0","1","2.6","2.6","87.8%"
"75","Jalen Brooks (DAL)","1","3","24","24.0","24","1","0","0","0","0","0","1","2.4","2.4","0.1%"
"76","Zay Flowers (BAL)","3","4","20","6.7","9","0","0","1","3","0","0","1","2.3","2.3","96.5%"
"77","Curtis Samuel (BUF)","3","3","22","7.3","10","0","0","1","0","0","0","1","2.2","2.2","10.9%"
"78","DeAndre Carter (CHI)","3","6","22","7.3","9","0","0","0","0","0","0","1","2.2","2.2","0.1%"
"79","Josh Downs (IND)","3","5","22","7.3","13","0","0","0","0","0","0","1","2.2","2.2","63.4%"
"80","Tyler Johnson (LAR)","3","4","20","6.7","9","0","0","0","0","0","0","1","2.0","2.0","10.0%"
"81","Jonathan Mingo (DAL)","3","4","18","6.0","15","0","0","1","2","0","0","1","2.0","2.0","1.3%"
"82","Parker Washington (JAC)","2","3","18","9.0","12","0","0","0","0","0","0","1","1.8","1.8","2.5%"
"83","Robert Woods (HOU)","2","2","18","9.0","13","0","0","0","0","0","0","1","1.8","1.8","1.4%"
"84","Gabe Davis (JAC)","2","6","18","9.0","13","0","0","0","0","0","0","1","1.8","1.8","26.2%"
"85","Romeo Doubs (GB)","1","2","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","54.7%"
"86","Simi Fehoko (LAC)","1","3","17","17.0","17","0","0","0","0","0","0","1","1.7","1.7","1.0%"
"87","Elijah Moore (CLE)","2","3","17","8.5","12","0","0","0","0","0","0","1","1.7","1.7","15.4%"
"88","Mike Evans (TB)","2","3","17","8.5","9","0","0","0","0","0","0","1","1.7","1.7","97.5%"
