"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","T.J. Watt (PIT)","5","0","0","0","0","2","0","0","1","20.5","20.5","75.7%"
"2","Trevin Wallace (CAR)","6","3","0","0","0","1","1","0","1","19.3","19.3","6.3%"
"3","Fred Warner (SF)","6","5","0","1","0","1","0","0","1","18.3","18.3","92.7%"
"4","Quay Walker (GB)","10","1","0","0","0","0","0","0","1","18.3","18.3","29.0%"
"5","Lavonte David (TB)","6","3","1","0","0","0","0","0","1","17.8","17.8","37.4%"
"6","Azeez Ojulari (NYG)","2","2","2","0","0","0","0","0","1","17.5","17.5","2.7%"
"7","Ventrell Miller (JAC)","8","2","0","0","0","1","0","0","1","17.5","17.5","4.3%"
"8","Nate Landman (ATL)","4","4","0","0","0","2","0","0","1","17.0","17.0","3.7%"
"9","Patrick Queen (PIT)","6","7","0","0","0","0","0","0","1","16.8","16.8","33.9%"
"10","Willie Gay Jr. (NO)","3","1","1","3","0","0","0","0","1","16.3","16.3","1.7%"
"11","Krys Barnes (ARI)","8","2","0","0","0","0","0","0","1","16.0","16.0","0.9%"
"12","Divine Deablo (LV)","3","3","1","0","0","0","0","0","1","15.8","15.8","4.1%"
"13","Damone Clark (DAL)","4","5","0.5","1","0","0","0","0","1","15.8","15.8","2.2%"
"14","Germaine Pratt (CIN)","5","2","0","1","1","0","0","0","1","15.5","15.5","37.6%"
"15","Jeremiah Owusu-Koramoah (CLE)","3","4","1","1","0","0","0","0","1","15.5","15.5","19.9%"
"16","Zaire Franklin (IND)","8","1","0","0","0","0","0","0","1","15.3","15.3","91.1%"
"17","Jamien Sherwood (NYJ)","7","6","0","0","0","0","0","0","1","15.0","15.0","20.1%"
"18","Nakobe Dean (PHI)","7","5","0","0","0","0","0","0","1","14.3","14.3","17.1%"
"19","Harold Landry III (TEN)","5","2","0","0","0","0","0","0","1","14.0","14.0","24.5%"
"20","Micah McFadden (NYG)","3","2","0","0","0","1","1","0","1","14.0","14.0","6.8%"
"21","Bobby Wagner (WAS)","6","6","0","0","0","0","0","0","1","13.5","13.5","72.2%"
"22","Kenneth Murray Jr. (TEN)","6","2","0","0","0","0","0","0","1","13.0","13.0","7.3%"
"23","Justin Strnad (DEN)","5","2","1","0","0","0","0","0","1","13.0","13.0","1.9%"
"24","Jerome Baker (TEN)","4","3","0","1","0","0","0","0","1","12.3","12.3","4.6%"
"25","Devin Lloyd (JAC)","4","5","0","0","0","0","0","0","1","12.3","12.3","18.1%"
"26","T.J. Edwards (CHI)","2","5","0","1","0","1","0","0","1","12.3","12.3","68.0%"
"27","Robert Spillane (LV)","5","3","0","1","0","0","0","0","1","11.3","11.3","53.8%"
"28","Bobby Okereke (NYG)","2","3","0","1","0","1","0","0","1","10.8","10.8","63.5%"
"29","Tyrel Dodson (MIA)","4","3","0","0","0","0","0","0","1","10.8","10.8","15.5%"
"30","Payton Wilson (PIT)","5","1","0","0","0","0","0","0","1","10.8","10.8","2.9%"
"31","Logan Wilson (CIN)","5","4","0","0","0","0","0","0","1","10.5","10.5","45.0%"
"32","Ernest Jones (SEA)","4","6","0","0","0","0","0","0","1","10.5","10.5","54.1%"
"33","Dorian Williams (BUF)","4","2","0","0","0","0","0","0","1","10.0","10.0","21.5%"
"34","Trevor Nowaske (DET)","2","0","1","0","0","0","0","0","1","9.5","9.5","0.1%"
"35","Terrel Bernard (BUF)","3","3","0","0","0","0","0","0","1","9.3","9.3","33.7%"
"36","DeMarvion Overshown (DAL)","3","1","0","0","0","1","0","0","1","9.3","9.3","8.7%"
"37","Tremaine Edmunds (CHI)","4","2","0","1","0","0","0","0","1","9.0","9.0","13.4%"
"38","Roquan Smith (BAL)","5","2","0","0","0","0","0","0","1","9.0","9.0","92.0%"
"39","Mack Wilson Sr. (ARI)","3","4","0","1","0","0","0","0","1","9.0","9.0","10.9%"
"40","Zack Baun (PHI)","4","4","0","0","0","0","0","0","1","9.0","9.0","75.1%"
"41","Edgerrin Cooper (GB)","5","2","0","0","0","0","0","0","1","9.0","9.0","4.7%"
"42","Anfernee Jennings (NE)","3","2","0","0","0","0","0","0","1","8.5","8.5","23.9%"
"43","Elandon Roberts (PIT)","3","2","0","0","0","0","0","0","1","8.5","8.5","1.0%"
"44","Khalil Mack (LAC)","2","0","0","1","0","1","0","0","1","8.5","8.5","21.0%"
"45","Denzel Perryman (LAC)","5","1","0","0","0","0","0","0","1","8.3","8.3","1.9%"
"46","Amen Ogbongbemiga (CHI)","1","0","1","0","0","0","0","0","1","8.0","8.0","0.0%"
"47","Marte Mapu (NE)","1","4","0.5","1","0","0","0","0","1","8.0","8.0","2.6%"
"48","Azeez Al-Shaair (HOU)","2","1","0","0","0","1","0","0","1","7.8","7.8","28.3%"
"49","Jahlani Tavai (NE)","3","4","0","0","0","0","0","0","1","7.5","7.5","6.0%"
"50","E.J. Speed (IND)","4","2","0","0","0","0","0","0","1","7.5","7.5","50.0%"
